Rmo	Reverendíssimo	AQSMS0	reverendo
Snr	senhor	NP00000	senhor
Fr	frei	NP00000	frei
Jozeph	José	NP00000	josé
da	da	SPS00+DA0FS0	de+o
Natividade	Natividade	NP00000	natividade
.	.	Fp	.
Meo	Meu	DP1MSS	meu
estimado	estimado	VMP00SM	estimar
Primo	primo	NCMS000	primo
,	.	Fp	.
já	Já	RG	já
nao	não	RN	não
cuidava	cuidava	VMII0S0	cuidar
que	que	CS	que
tinha	tinha	VMII0S0	ter
parentes	parentes	NCMP000	parente
,	,	Fc	,
quando	quando	CS	quando
me	me	PP1CS000	me
persuadião	persuadiam	VMII3P0	persuadir
os	os	DA0MP0	o
annos	anos	NCMP000	ano
que	que	PR0CN000	que
corrião	corriam	VMII3P0	correr
não	não	RN	não
ser	ser	VSN0000	ser
possivel	possível	AQ0CS0	possível
havelos	havê-los	VMN0000+PP3MPA00	haver+o
e	e	CC	e
não	não	RN	não
receber	receber	VMN0000	receber
eu	eu	PP1CSN00	eu
ao	ao	SPS00+DA0MS0	a+o
menos	menos	RC	menos
hua	uma	DI0FS0	um
carta	carta	NCFS000	carta
delles	deles	SPS00+PP3MP000	de+ele
.	.	Fp	.
Asim	Assim	RG	assim
descorria	discorria	VMII0S0	discorrer
a	a	SPS00	a
respto	respeito	NCMS000	respeito
de	de	SPS00	de
todos	todos	DI0MP0	todo
,	,	Fc	,
principalmente	principalmente	RG	principalmente
de	de	SPS00	de
VP	VP	NP00000	vp
que	que	PR0CN000	que
tanto	tanto	DI0MS0	tanto
afecto	afeto	NCMS000	afeto
me	me	PP1CS000	me
deveo	deveu	VMIS3S0	dever
.	.	Fp	.
Mas	Mas	CC	mas
	,	Fc	,
se	se	CS	se
por	por	SPS00	por
esta	esta	DD0FS0	este
cauza	causa	NCFS000	causa
foi	foi	VSIS3S0	ser
grde	grande	AQ0CS0	grande
o	o	DA0MS0	o
meo	meu	DP1MSS	meu
tormento	tormento	NCMS000	tormento
,	,	Fc	,
agora	agora	RG	agora
que	que	CS	que
recebi	recebi	VMIS1S0	receber
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
letras	letras	NCFP000	letra
,	,	Fc	,
trocada	trocada	VMP00SF	trocar
a	a	DA0FS0	o
magoa	mágoa	NCFS000	mágoa
em	em	SPS00	em
alegria	alegria	NCFS000	alegria
,	,	Fc	,
o	o	DA0MS0	o
dissabor	dissabor	NCMS000	dissabor
em	em	SPS00	em
contentamento	contentamento	NCMS000	contentamento
,	,	Fc	,
já	já	RG	já
resuscita	ressuscita	VMIP3S0	ressuscitar
o	o	DA0MS0	o
meo	meu	DP1MSS	meu
prazer	prazer	NCMS000	prazer
	,	Fc	,
porque	porque	CS	porque
tambem	também	RG	também
revive	revive	VMIP3S0	reviver
das	das	SPS00+DA0FP0	de+o
cinzas	cinzas	NCFP000	cinza
do	do	SPS00+DA0MS0	de+o
esquecimento	esquecimento	NCMS000	esquecimento
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
lembransa	lembrança	NCFS000	lembrança
.	.	Fp	.
Mui	Muito	RQ	muito
satisfeito	satisfeito	AQ0MS0	satisfeito
estou	estou	VMIP1S0	estar
com	com	SPS00	com
o	o	DA0MS0	o
progresso	progresso	NCMS000	progresso
e	e	CC	e
adiantamento	adiantamento	NCMS000	adiantamento
dos	dos	SPS00+DA0MP0	de+o
Seos	seus	DP3MP0	seu
estudos	estudos	NCMP000	estudo
,	,	Fc	,
em	em	SPS00	em
que	que	PR0CN000	que
espero	espero	VMIP1S0	esperar
que	que	CS	que
as	as	DA0FP0	o
ramas	ramas	NCFP000	rama
de	de	SPS00	de
louro	louro	NCMS000	louro
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
cingirem	cingirem	VMSF3P0	cingir
a	a	DA0FS0	o
fronte	fronte	NCFS000	fronte
ennobreção	enobreçam	VMSP3P0	enobrecer
o	o	DA0MS0	o
tronco	tronco	NCMS000	tronco
e	e	CC	e
arvore	árvore	NCFS000	árvore
da	da	SPS00+DA0FS0	de+o
nossa	nossa	DP1FSP	nosso
geração	geração	NCFS000	geração
.	.	Fp	.
Mande-me	Mande-me	VMSP0S0+PP1CS000	mandar+me
com	com	SPS00	com
mais	mais	RC	mais
miudeza	miudeza	NCFS000	miudeza
noticias	notícias	NCFP000	notícia
dos	dos	SPS00+DA0MP0	de+o
Snr	Senhores	NP00000	senhor
Seos	seus	DP3MP0	seu
Paes	pais	NCMP000	pai
e	e	CC	e
prezados	prezados	AQ0FP0	prezado
tios	tios	NCMP000	tio
meos	meus	DP1MPS	meu
e	e	CC	e
dos	dos	SPS00+DA0MP0	de+o
Snrs	Senhores	NP00000	senhor
Irmaons	Irmãos	NP00000	irmão
meos	meus	DP1MPS	meu
primos	primos	NCMP000	primo
.	.	Fp	.
Sinto	Sinto	VMIP1S0	sentir
que	que	CS	que
a	a	DA0FS0	o
Snra	Senhora	NP00000	senhor
minha	minha	DP1FSS	meu
prima	prima	NCFS000	primo
Thereza	Teresa	NP00000	teresa
ficasse	ficasse	VMSI0S0	ficar
,	,	Fc	,
alem	além	RG	além
de	de	SPS00	de
viuva	viúva	NCFS000	viúvo
,	,	Fc	,
pobre	pobre	AQ0CS0	pobre
e	e	CC	e
com	com	SPS00	com
filhos	filhos	NCMP000	filho
.	.	Fp	.
Cá	Cá	RG	cá
fico	fico	VMIP1S0	ficar
encommendando	encomendando	VMG0000	encomendar
a	a	SPS00	a
Ds	Deus	NP00000	deus
a	a	DA0FS0	o
alma	alma	NCFS000	alma
do	do	SPS00+DA0MS0	de+o
defunto	defunto	NCMS000	defunto
Seo	seu	DP3MS0	seu
marido	marido	NCMS000	marido
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
defunta	defunta	NCFS000	defunto
Caetana	Caetana	NP00000	caetana
.	.	Fp	.
O	O	DA0MS0	o
P	padre	NCMS000	padre
Jozeph	José	NP00000	josé
de	de	SPS00	de
Olivra	Oliveira	NP00000	oliveira
,	,	Fc	,
q	que	CS	que
VP	VP	NP00000	vp
me	me	PP1CS000	me
recommenda	recomenda	VMIP3S0	recomendar
,	,	Fc	,
bem	bem	RG	bem
pode	pode	VMIP3S0	poder
significar-lhe	significar-lhe	VMN0000+PP3CSD00	significar+lhe
os	os	DA0MP0	o
effeitos	efeitos	NCMP000	efeito
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
recommendação	recomendação	NCFS000	recomendação
nas	nas	SPS00+DA0FP0	em+o
attençoens	atenções	NCFP000	atenção
com	com	SPS00	com
q	que	PR0CN000	que
o	o	PP3MSA00	o
trato	trato	VMIP1S0	tratar
e	e	CC	e
no	no	SPS00+DA0MS0	em+o
muito	muito	RQ	muito
que	que	PR0CN000	que
o	o	PP3MSA00	o
dezejo	desejo	VMIP1S0	desejar
servir	servir	VMN0000	servir
.	.	Fp	.
Muitos	Muitos	PI0MP000	muito
são	são	VSIP3P0	ser
os	os	DA0MP0	o
magoados	magoados	NCMP000	magoado
pelo	pelo	SPS00+DA0MS0	por+o
infortunio	infortúnio	NCMS000	infortúnio
do	do	SPS00+DA0MS0	de+o
Ldo	licenciado	NCMS000	licenciado
Antonio	António	NP00000	antónio
de	de	SPS00	de
Sá	Sá	NP00000	sá
Tinoco	Tinoco	NP00000	tinoco
:	.	Fp	.
esperamos	Esperamos	VMIP1P0	esperar
em	em	SPS00	em
Deos	Deus	NP00000	deus
que	que	CS	que
a	a	DA0FS0	o
verde	verdade	NCFS000	verdade
se	se	P00CN000	se
patentêe	patenteie	VMSP0S0	patentear
e	e	CC	e
ella	ela	PP3FS000	ele
triunfe	triunfe	VMSP0S0	triunfar
da	da	SPS00+DA0FS0	de+o
maledicencia	maledicência	NCFS000	maledicência
.	.	Fp	.
Acceite	Aceite	VMSP0S0	aceitar
lembranças	lembranças	NCFP000	lembrança
de	de	SPS00	de
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
gente	gente	NCFS000	gente
,	,	Fc	,
e	e	CC	e
	,	Fc	,
se	se	CS	se
quer	quer	VMIP3S0	querer
multiplicar-me	multiplicar-me	VMN0000+PP1CS000	multiplicar+me
o	o	DA0MS0	o
gto	gosto	NCMS000	gosto
,	,	Fc	,
