Mto	Muito	RQ	muito
Rdo	reverendo	NP00000	reverendo
pe	padre	NP00000	padre
cura	cura	NP00000	cura
e	e	CC	e
sñr	senhor	NP00000	senhor
da	da	SPS00+DA0FS0	de+o
frgca	freguesia	NCFS000	freguesia
de	de	SPS00	de
N	Nossa	NP00000	nossa
Snra	Senhora	NP00000	senhor
do	do	SPS00+DA0MS0	de+o
monte	Monte	NP00000	monte
da	da	SPS00+DA0FS0	de+o
vila	vila	NCFS000	vila
de	de	SPS00	de
Caparica	Caparica	NP00000	caparica
.	.	Fp	.
Meu	Meu	DP1MSS	meu
sñor	senhor	NP00000	senhor
	,	Fc	,
dou	dou	VMIP1S0	dar
a	a	SPS00	a
vmce	VM	NP00000	VM
parte	parte	NCFS000	parte
a	a	SPS00	a
21	21	Z	21
do	do	SPS00+DA0MS0	de+o
mes	mês	NCMS000	mês
de	de	SPS00	de
ferbereiro	fevereiro	NCMS000	fevereiro
Bautizou	batizou	VMIS3S0	batizar
vmce	VM	NP00000	VM
hũa	uma	DI0FS0	um
crianca	criança	NCFS000	criança
por	por	SPS00	por
nome	nome	NCMS000	nome
João	João	NP00000	joão
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
tal	tal	DD0CS0	tal
crianca	criança	NCFS000	criança
a	a	DA0FS0	o
mai	mãe	NCFS000	mãe
franca	Francisca	NP00000	francisca
q	que	PR0CN000	que
foi	foi	VSIS3S0	ser
Regateira	regateira	NCFS000	regateira
ca	cá	RG	cá
em	em	SPS00	em
Lisboa	Lisboa	NP00000	lisboa
e	e	CC	e
o	o	DA0MS0	o
pai	pai	NCMS000	pai
chamase	chama-se	VMIP3S0+P00CN000	chamar+se
por	por	SPS00	por
alcunha	alcunha	NCFS000	alcunha
o	o	DA0MS0	o
pimenta	Pimenta	NP00000	pimenta
e	e	CC	e
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
nome	nome	NCMS000	nome
he	é	VSIP3S0	ser
joze	José	NP00000	josé
	,	Fc	,
filho	filho	NCMS000	filho
de	de	SPS00	de
Capariqua	Caparica	NP00000	caparica
	,	Fc	,
e	e	CC	e
a	a	DA0FS0	o
madrinha	madrinha	NCFS000	madrinha
filha	filha	NCFS000	filho
do	do	SPS00+DA0MS0	de+o
mestre	mestre	NCMS000	mestre
João	João	NP00000	joão
Remualdo	Remualdo	NP00000	remualdo
q	que	PR0CN000	que
tem	tem	VMIP3S0	ter
Redes	redes	NCFP000	rede
na	na	SPS00+DA0FS0	em+o
Costa	costa	NCFS000	costa
e	e	CC	e
Saveiros	saveiros	NCMP000	saveiro
.	.	Fp	.
e	E	CC	e
João	João	NP00000	joão
Remualdo	Remualdo	NP00000	remualdo
fes	fez	VMIS3S0	fazer
procuracão	procuração	NCFS000	procuração
a	a	SPS00	a
Bras	Brás	NP00000	brás
Rodrigues	Rodrigues	NP00000	rodrigues
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
pai	pai	NCMS000	pai
da	da	SPS00+DA0FS0	de+o
dita	dita	VMP00SF	dizer
parida	parida	NCFS000	parida
	,	Fc	,
e	e	CC	e
a	a	DA0FS0	o
tal	tal	RC	tal
franca	Francisca	NP00000	francisca
nunca	nunca	RN	nunca
esteve	esteve	VMIS3S0	estar
prenha	prenha	AQ0FS0	prenhe
nem	nem	CC	nem
pario	pariu	VMIS3S0	parir
	.	Fp	.
a	A	DA0FS0	o
crianca	criança	NCFS000	criança
q	que	PR0CN000	que
se	se	P00CN000	se
bautizou	batizou	VMIS3S0	batizar
hera	era	VSII0S0	ser
emgeitado	enjeitado	VMP00SM	enjeitar
do	do	SPS00+DA0MS0	de+o
espital	hospital	NCMS000	hospital
	.	Fp	.
chamavase	Chamava-se	VMII0S0+P00CN000	chamar+se
joze	José	NP00000	josé
e	e	CC	e
lla	lá	RG	lá
puzeramlhe	puseram-lhe	VMIS3P0+PP3CSD00	pôr+lhe
joão	João	NP00000	joão
e	e	CC	e
ja	já	RG	já
o	o	DA0MS0	o
santo	santo	AQ0MS0	santo
espital	hospital	NCMS000	hospital
tomou	tomou	VMIS3S0	tomar
conta	conta	NCFS000	conta
delle	dele	SPS00+PP3MS000	de+ele
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
tal	tal	RC	tal
franca	Francisca	NP00000	francisca
e	e	CC	e
Anda	anda	VMIP3S0	andar
amigada	amigada	AQ0FS0	amigar
com	com	SPS00	com
o	o	DA0MS0	o
tal	tal	DD0CS0	tal
mestre	mestre	NCMS000	mestre
joão	João	NP00000	joão
Remualdo	Remualdo	NP00000	remualdo
e	e	CC	e
fingio	fingiu	VMIS3S0	fingir
q	que	CS	que
estava	estava	VMII0S0	estar
prenha	prenha	AQ0FS0	prenhe
delle	dele	SPS00+PP3MS000	de+ele
	,	Fc	,
q	que	CS	que
hera	era	VSII0S0	ser
seo	seu	DP3MS0	seu
filho	filho	NCMS000	filho
	.	Fp	.
por	Por	SPS00	por
ico	isso	PD0NN000	isso
o	o	DA0MS0	o
pai	pai	NCMS000	pai
de	de	SPS00	de
franca	Francisca	NP00000	francisca
foi	foi	VMIS3S0	ir
tomar	tomar	VMN0000	tomar
parte	parte	NCFS000	parte
da	da	SPS00+DA0FS0	de+o
crianca	criança	NCFS000	criança
pello	pelo	SPS00+DA0MS0	por+o
mestre	mestre	NCMS000	mestre
joão	João	NP00000	joão
pa	para	SPS00	para
querer	querer	VMN0000	querer
senpre	sempre	RG	sempre
tratar	tratar	VMN0000	tratar
com	com	SPS00	com
ella	ela	PP3FS000	ele
	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
tal	tal	DD0CS0	tal
mestre	mestre	NCMS000	mestre
joão	João	NP00000	joão
comprou	comprou	VMIS3S0	comprar
hua	uma	DI0FS0	um
hegoa	égua	NCFS000	égua
por	por	SPS00	por
vinte	vinte	Z	vinte
mil	mil	Z	mil
reis	réis	NCMP000	réis
pa	para	SPS00	para
o	o	DA0MS0	o
marido	marido	NCMS000	marido
da	da	SPS00+DA0FS0	de+o
franca	Francisca	NP00000	francisca
pella	pela	SPS00+DA0FS0	por+o
somana	Semana	NP00000	semana
santa	Santa	NP00000	santa
	.	Fp	.
a	A	DA0FS0	o
tal	tal	RC	tal
franca	Francisca	NP00000	francisca
e	e	CC	e
sua	sua	DP3FS0	seu
mai	mãe	NCFS000	mãe
e	e	CC	e
seo	seu	DP3MS0	seu
pai	pai	NCMS000	pai
veio	veio	VMIS3S0	vir
corridos	corridos	VMP00PM	correr
de	de	SPS00	de
lla	lá	RG	lá
pa	para	SPS00	para
ca	cá	RG	cá
por	por	SPS00	por
emganar	enganar	VMN0000	enganar
os	os	DA0MP0	o
homes	homens	NCMP000	homem
	.	Fp	.
e	E	CC	e
outra	outra	DI0FS0	outro
irmão	irmão	NCMS000	irmão
da	da	SPS00+DA0FS0	de+o
dita	dita	VMP00SF	dizer
franca	Francisca	NP00000	francisca
	,	Fc	,
q	que	PR0CN000	que
chamão	chamam	VMIP3P0	chamar
Roza	Rosa	NP00000	rosa
	,	Fc	,
veio	veio	VMIS3S0	vir
tambem	também	RG	também
de	de	SPS00	de
lla	lá	RG	lá
pa	para	SPS00	para
ca	cá	RG	cá
e	e	CC	e
andava	andava	VMII0S0	andar
dezenquieta	desinquieta	VMP00SF	desinquietar
com	com	SPS00	com
hum	um	DI0MS0	um
homem	homem	NCMS000	homem
em	em	SPS00	em
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
comeu	comeu	VMIS3S0	comer
hũas	umas	DI0FP0	um
poucas	poucas	NCFP000	pouco
de	de	SPS00	de
moedas	moedas	NCFP000	moeda
	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
pai	pai	NCMS000	pai
as	as	PP3FPA00	o
levou	levou	VMIS3S0	levar
pa	para	SPS00	para
lla	lá	RG	lá
pa	para	SPS00	para
comer	comer	VMN0000	comer
dellas	delas	SPS00+PP3FP000	de+ele
e	e	CC	e
a	a	DA0FS0	o
mesma	mesma	AQ0FS0	mesmo
mai	mãe	NCFS000	mãe
foi	foi	VMIS3S0	ir
buscar	buscar	VMN0000	buscar
sangue	sangue	NCMS000	sangue
de	de	SPS00	de
galinha	galinha	NCFS000	galinha
pa	para	SPS00	para
fingir	fingir	VMN0000	fingir
o	o	DA0MS0	o
parto	parto	NCMS000	parto
e	e	CC	e
o	o	DA0MS0	o
pai	pai	NCMS000	pai
	.	Fp	.
todos	Todos	PI0MP000	todo
consentirão	consentiram	VMIP3P0	consentir
nisso	nisso	SPS00+PD0NN000	em+isso
	.	Fp	.
athe	Até	SPS00	até
o	o	DA0MS0	o
mestre	mestre	NCMS000	mestre
joão	João	NP00000	joão
e	e	CC	e
sua	sua	DP3FS0	seu
mer	mulher	NCFS000	mulher
a	a	PP3FSA00	o
veio	veio	VMIS3S0	vir
ca	cá	RG	cá
ver	ver	VMN0000	ver
a	a	SPS00	a
Lisboa	Lisboa	NP00000	lisboa
qdo	quando	CS	quando
se	se	P00CN000	se
fingio	fingiu	VMIS3S0	fingir
q	que	CS	que
estava	estava	VMII0S0	estar
parida	parida	VMP00SF	parir
	.	Fp	.
eu	Eu	PP1CSN00	eu
como	como	CS	como
parteira	parteira	NCFS000	parteira
q	que	PR0CN000	que
foi	fui	VMIS1S0	ir
o	ao	SPS00+DA0MS0	a+o
Batizado	batizado	NCMS000	batizado
la	lá	RG	lá
a	à	SPS00+DA0FS0	a+o
banda	banda	NCFS000	banda
dalem	dalém	SPS00+RG	de+além
por	por	SPS00	por
ser	ser	VSN0000	ser
emduzidas	induzidas	VMP00PF	induzir
por	por	SPS00	por
ellas	elas	PP3FP000	ele
e	e	CC	e
a	a	DA0FS0	o
crianca	criança	NCFS000	criança
ja	já	RG	já
esta	está	VMIP3S0	estar
no	no	SPS00+DA0MS0	em+o
espital	hospital	NCMS000	hospital
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
não	não	RN	não
ser	ser	VSN0000	ser
culpada	culpada	VMP00SF	culpar
