Meu	Meu	DP1MSS	meu
alivio	alívio	NCMS000	alívio
e	e	CC	e
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
bem	bem	NCMS000	bem
	.	Fp	.
estimei	Estimei	VMIS1S0	estimar
mto	muito	RQ	muito
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
letras	letras	NCFP000	letra
	.	Fp	.
pro	Por	SPS00	por
muntos	muitos	DI0MP0	muito
motivos	motivos	NCMP000	motivo
me	me	PP1CS000	me
deixaro	deixaram	VMIS3P0	deixar
gostoza	gostosa	AQ0FS0	gostoso
	,	Fc	,
pois	pois	CS	pois
gosto	gosto	NCMS000	gosto
de	de	SPS00	de
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
couzas	coisas	NCFP000	coisa
dezemganadas	desenganadas	VMP00PF	desenganar
	,	Fc	,
asim	assim	RG	assim
vmce	VM	NP00000	VM
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
se	se	P00CN000	se
não	não	RN	não
embarasa	embaraça	VMIP3S0	embaraçar
com	com	SPS00	com
seu	seu	DP3MS0	seu
pai	pai	NCMS000	pai
nem	nem	CCN	nem
mei	mãe	NCFS000	mãe
	.	Fp	.
eu	Eu	PP1CSN00	eu
menos	menos	RC	menos
	,	Fc	,
proq	porque	CS	porque
eles	eles	PP3MP000	ele
a	a	SPS00	a
min	mim	PP1CSO00	mim
he	é	VSIP3S0	ser
couza	coisa	NCFS000	coisa
q	que	PR0CN000	que
tambem	também	RG	também
me	me	PP1CS000	me
não	não	RN	não
pode	pode	VMIP3S0	poder
embaracar	embaraçar	VMN0000	embaraçar
	,	Fc	,
q	que	CS	que
minha	minha	DP1FSS	meu
mei	mãe	NCFS000	mãe
milhor	melhor	RC	melhor
se	se	P00CN000	se
ha	há	VMIP3S0	haver
de	de	SPS00	de
adomar	domar	VMN0000	domar
proq	porque	CS	porque
tem	tem	VMIP3S0	ter
milhor	melhor	RC	melhor
genio	génio	NCMS000	génio
	.	Fp	.
mas	Mas	CC	mas
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
he	é	VSIP3S0	ser
mais	mais	RC	mais
empretenete	impertinente	AQ0CS0	impertinente
	.	Fp	.
mas	Mas	CC	mas
como	como	CS	como
eu	eu	PP1CSN00	eu
não	não	RN	não
faso	faço	VMIP1S0	fazer
