Mto	Muito	RQ	muito
Illustres	ilustres	AQ0CP0	ilustre
Sores	Senhores	NP00000	senhores
Inquisidores	Inquisidores	NP00000	inquisidores
:	,	Fc	,
Denuncia	denuncia	VMIP3S0	denunciar
a	a	SPS00	a
Vsa	VSa	NP00000	VSa
Jozeph	José	NP00000	josé
de	de	SPS00	de
Olivra	Oliveira	NP00000	oliveira
	,	Fc	,
offal	oficial	NCMS000	oficial
de	de	SPS00	de
tanoeiro	tanoeiro	NCMS000	tanoeiro
morador	morador	NCMS000	morador
no	no	SPS00+DA0MS0	em+o
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
Valadarinhos	Valadarinhos	NP00000	Valadarinhos
	,	Fc	,
frega	freguesia	NCFS000	freguesia
de	de	SPS00	de
São	São	NP00000	são
Salvador	Salvador	NP00000	salvador
de	de	SPS00	de
vaLadares	Valadares	NP00000	valadares
	,	Fc	,
Comarca	comarca	NCFS000	comarca
da	da	SPS00+DA0FS0	de+o
feira	Feira	NP00000	feira
deste	deste	SPS00+DD0MS0	de+este
Bispdo	bispado	NCMS000	bispado
	,	Fc	,
q	que	CS	que
haverá	haverá	VMIF3S0	haver
dous	dois	Z	dois
annos	anos	NCMP000	ano
pouco	pouco	DI0MS0	pouco
mais	mais	NCMS000	mais
ou	ou	CC	ou
menos	menos	RC	menos
,	,	Fc	,
achandose	achando-se	VMG0000+P00CN000	achar+se
elle	ele	PP3MS000	ele
denunciante	denunciante	NCCS000	denunciante
em	em	SPS00	em
Caza	casa	NCFS000	casa
de	de	SPS00	de
João	João	NP00000	joão
Glz	Gonçalves	NP00000	gonçalves
Nogra	Nogueira	NP00000	nogueira
	,	Fc	,
offal	oficial	NCMS000	oficial
tambem	também	RG	também
de	de	SPS00	de
tanoeiro	tanoeiro	NCMS000	tanoeiro
e	e	CC	e
morador	morador	NCMS000	morador
no	no	SPS00+DA0MS0	em+o
mesmo	mesmo	AQ0MS0	mesmo
Lugar	lugar	NCMS000	lugar
de	de	SPS00	de
vaLadarinhos	Valadarinhos	NP00000	Valadarinhos
	,	Fc	,
e	e	CC	e
falando	falando	VMG0000	falar
aCerca	acerca	RG	acerca
de	de	SPS00	de
hũa	uma	DI0FS0	um
imagem	imagem	NCFS000	imagem
de	de	SPS00	de
Cristo	Cristo	NP00000	cristo
Snor	Senhor	NP00000	senhor
nosso	Nosso	NP00000	nosso
Crucificado	Crucificado	VMP00SM	crucificar
q	que	CS	que
o	o	PP3MSA00	o
deLato	delato	VMIP1S0	delatar
tinha	tinha	VAII0S0	ter
Comprado	comprado	VMP00SM	comprar
,	,	Fc	,
disse	disse	VMIS3S0	dizer
este	este	DD0MS0	este
q	que	CS	que
dissera	dissera	VMIM0S0	dizer
a	a	SPS00	a
qm	quem	PR0CN000	quem
lha	lha	PP3CSD00+PP3FSA00	lhe+o
