Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Rodrigo	Rodrigo	NP00000	rodrigo
Rebelo	Rebelo	NP00000	rebelo
Pxto	Peixoto	NP00000	peixoto
Aqui	Aqui	RG	aqui
cheguei	cheguei	VMIS1S0	chegar
a	a	SPS00	a
Laços	Laços	NP00000	laços
e	e	CC	e
faço	faço	VMIP1S0	fazer
esta	esta	PD0FS000	este
a	a	SPS00	a
Vsa	VSa	NP00000	VSa
porq	porque	CS	porque
sou	sou	VSIP1S0	ser
obrigado	obrigado	VMP00SM	obrigar
a	a	SPS00	a
dizerlhe	dizer-lhe	VMN0000+PP3CSD00	dizer+lhe
q	que	CS	que
por	por	SPS00	por
certas	certas	AQ0FP0	certo
circonstancias	circunstâncias	NCFP000	circunstância
não	não	RN	não
me	me	PP1CS000	me
fas	faz	VMIP3S0	fazer
conta	conta	NCFS000	conta
viver	viver	VMN0000	viver
com	com	SPS00	com
a	a	DA0FS0	o
Snra	Senhora	NP00000	senhor
D	Dona	NP00000	dona
Maria	Maria	NP00000	maria
se-parado	separado	VMP00SM	separar
de	de	SPS00	de
VS	VSa	NP00000	VSa
	,	Fc	,
pois	pois	CS	pois
	,	Fc	,
querendo	querendo	VMG0000	querer
VS	VSa	NP00000	VSa
e	e	CC	e
a	a	DA0FS0	o
Excma	excelentíssima	AQSCS0	excelente
Snra	Senhora	NP00000	senhor
D	Dona	NP00000	dona
gertrudes	Gertrudes	NP00000	gertrudes
que	que	CS	que
estejamos	estejamos	VMSP1P0	estar
todos	todos	PI0MP000	todo
juntos	juntos	AQ0MP0	junto
	,	Fc	,
estou	estou	VMIP1S0	estar
pronto	pronto	AQ0MS0	pronto
	.	Fp	.
seja	Seja	VSSP0S0	ser
na	na	SPS00+DA0FS0	em+o
vila	vila	NCFS000	vila
ou	ou	CC	ou
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
qta	quinta	NCFS000	quinta
	,	Fc	,
defendereila	defenderei-la	VMIF1S0+PP3FSA00	defender+o
	,	Fc	,
com	com	SPS00	com
condeção	condição	NCFS000	consição
q	que	CS	que
hum	um	DI0MS0	um
tal	tal	DD0CS0	tal
Baticario	boticário	NCMS000	boticário
ha	há	VMIP3S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
expulsado	expulsado	VMP00SM	expulsar
fora	fora	RG	fora
da	da	SPS00+DA0FS0	de+o
Vila	vila	NCFS000	vila
e	e	CC	e
nunca	nunca	RN	nunca
ter	ter	VMN0000	ter
emtrada	entrada	NCFS000	entrada
mais	mais	CC	mais
em	em	SPS00	em
caza	casa	NCFS000	casa
	.	Fp	.
querendo	Querendo	VMG0000	querer
VVSS	VSas	NP00000	VSa
que	que	CS	que
isto	isto	PD0NN000	isto
asim	assim	RG	assim
seja	seja	VSSP0S0	ser
,	,	Fc	,
estou	estou	VMIP1S0	estar
pronto	pronto	AQ0MS0	pronto
	.	Fp	.
qdo	Quando	CS	quando
não	não	RN	não
	,	Fc	,
tomo	tomo	VMIP1S0	tomar
o	ao	SPS00+DA0MS0	a+o
expediente	expediente	NCMS000	expediente
de	de	SPS00	de
tornar-me	tornar-me	VMN0000+PP1CS000	tornar+me
a	a	SPS00	a
recolher	recolher	VMN0000	recolher
pa	para	SPS00	para
Monção	Monção	NP00000	monção
com	com	SPS00	com
a	a	DA0FS0	o
resolução	resolução	NCFS000	resolução
de	de	SPS00	de
VVSSas	VSas	NP00000	VSa
porque	porque	CS	porque
sou	sou	VSIP1S0	ser
Mto	muito	RQ	muito
obrgo	obrigado	VMP00SM	obrigar
e	e	CC	e
fiel	fiel	AQ0CS0	fiel
De	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
Francisco	Francisco	NP00000	francisco
de	de	SPS00	de
Souza	Sousa	NP00000	sousa
Castro	Castro	NP00000	castro
