Amada	Amada	VMP00SF	amar
Fa	filha	NCFS000	filho
ma	minha	DP1FSS	meu
	.	Fp	.
em	Em	SPS00	em
N	Nosso	DP1MSP	nosso
B	Bom	AQ0MS0	bom
Ds	Deus	NP00000	deus
faço	faço	VMIP1S0	fazer
este	este	PD0MS000	este
pa	para	SPS00	para
ter	ter	VMN0000	ter
novas	novas	NCFP000	nova
suas	suas	DP3FP0	seu
;	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
ignora	ignora	VMIP3S0	ignorar
qto	quanto	PA000000	quanto
cuido	cuidado	NCMS000	cuidado
da	dá	VMIP3S0	dar
huã	uma	DI0FS0	um
filha	filha	NCFS000	filho
a	a	SPS00	a
hũ	um	DI0MS0	um
Pay	pai	NCMS000	pai
.	.	Fp	.
Ha	Há	VMIP3S0	haver
mto	muito	DI0MS0	muito
tempo	tempo	NCMS000	tempo
me	me	PP1CS000	me
parece	parece	VMIP3S0	parecer
q	que	CS	que
não	não	RN	não
tenho	tenho	VMIP1S0	ter
noticias	notícias	NCFP000	notícia
suas	suas	DP3FP0	seu
:	.	Fp	.
isto	Isto	PD0NN000	isto
qdo	quando	CS	quando
as	as	PP3FPA00	o
estimaria	estimaria	VMIC0S0	estimar
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
dias	dias	NCMP000	dia
	.	Fp	.
N	Nosso	DP1MSP	nosso
B	Bom	AQ0MS0	bom
Ds	Deus	NP00000	deus
e	e	CC	e
amte	amante	AQ0CS0	amante
sr	Senhor	NP00000	senhor
a	a	PP3FSA00	o
encha	encha	VMSP0S0	encher
de	de	SPS00	de
tantas	tantas	DI0FP0	tanto
graças	graças	NCFP000	graça
e	e	CC	e
felicides	felicidades	NCFP000	felicidade
quaes	quais	PR0CP000	qual
com	com	SPS00	com
todo	todo	DI0MS0	todo
amor	amor	NCMS000	amor
lhe	lhe	PP3CSD00	lhe
dezo	desejo	VMIP1S0	desejar
	.	Fp	.
Eu	Eu	PP1CSN00	eu
a	a	PP3FSA00	o
abenço-o	abençoo	VMIP1S0	abençoar
em	em	SPS00	em
nome	nome	NCMS000	nome
do	do	SPS00+DA0MS0	de+o
sr	Senhor	NP00000	senhor
	.	Fp	.
De	De	SPS00	de
vmce	VM	NP00000	VM
servo	servo	NCMS000	servo
	,	Fc	,
Berndo	Bernardo	NP00000	bernardo
da	da	SPS00+DA0FS0	de+o
Sa	Silva	NP00000	silva
e	e	CC	e
Amaral	Amaral	NP00000	amaral
