Saibam	Saibam	VMSP3P0	saber
os	os	DA0MP0	o
senhores	Senhores	NP00000	senhores
Enquezidores	Inquisidores	NP00000	inquisidores
Em	em	SPS00	em
como	como	CS	como
o	o	DA0MS0	o
pe	padre	NP00000	padre
cura	cura	NP00000	cura
Mel	Manuel	NP00000	manuel
Nugra	Nogueira	NP00000	nogueira
de	de	SPS00	de
Carvo	Carvalho	NP00000	carvalho
da	da	SPS00+DA0FS0	de+o
fra	freguesia	NCFS000	freguesia
de	de	SPS00	de
são	São	NP00000	são
Christovão	Cristóvão	NP00000	cristóvão
de	de	SPS00	de
Nugra	Nogueira	NP00000	nogueira
do	do	SPS00+DA0MS0	de+o
Bispado	bispado	NCMS000	bispado
de	de	SPS00	de
Lamo	Lamego	NP00000	lamego
	,	Fc	,
q	que	CS	que
	,	Fc	,
sendo	sendo	VSG0000	ser
cura	cura	NCMS000	cura
aprovado	aprovado	VMP00SM	aprovar
	,	Fc	,
he	é	VSIP3S0	ser
incapaz	incapaz	AQ0CS0	incapaz
do	do	SPS00+DA0MS0	de+o
officio	ofício	NCMS000	ofício
	,	Fc	,
porcoanto	porquanto	CS	porquanto
Em	em	SPS00	em
llugar	lugar	NCMS000	lugar
de	de	SPS00	de
dar	dar	VMN0000	dar
bõs	bons	AQ0MP0	bom
Exempollos	exemplos	NCMP000	exemplo
aos	aos	SPS00+DA0MP0	a+o
freiguezes	fregueses	NCMP000	freguês
	,	Fc	,
os	os	DA0MP0	o
da	dá	VMIP3S0	dar
desta	desta	SPS00+DD0FS0	de+este
Corte	sorte	NCFS000	sorte
	,	Fc	,
a	a	SPS00	a
saber	saber	VMN0000	saber
,	.	Fp	.
esteve	Esteve	VMIS3S0	estar
de	de	SPS00	de
assistençia	assistência	NCFS000	assistência
Em	em	SPS00	em
o	o	DA0MS0	o
llugar	lugar	NCMS000	lugar
da	da	SPS00+DA0FS0	de+o
Porta	Portela	NP00000	portela
mais	mais	CC	mais
de	de	SPS00	de
hũ	um	DI0MS0	um
anno	ano	NCMS000	ano
cervindose	servindo-se	VMG0000+P00CN000	servir+se
com	com	SPS00	com
hũa	uma	DI0FS0	um
mulher	mulher	NCFS000	mulher
cazada	casada	VMP00SF	casar
;	.	Fp	.
e	E	CC	e
descazandoa	descasando-a	VMG0000+PP3FSA00	descasando-a
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
marido	marido	NCMS000	marido
Einte	até	SPS00	até
que	que	PR0CN000	que
chegou	chegou	VMIS3S0	chegar
o	o	DA0MS0	o
reitor	reitor	NCMS000	reitor
a	a	SPS00	a
declarallo	declará-lo	SPS00	a
e	e	CC	e
mais	mais	RC	mais
a	a	SPS00	a
ella	ela	PP3FS000	ele
e	e	CC	e
os	os	DA0MP0	o
pos	pôs	VMIS3S0	pôr
na	na	SPS00+DA0FS0	em+o
porta	porta	NCFS000	porta
da	da	SPS00+DA0FS0	de+o
igra	igreja	NCFS000	igreja
	.	Fp	.
e	E	CC	e
por	por	SPS00	por
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
vontade	vontade	NCFS000	vontade
a	a	SPS00	a
hũa	uma	DI0FS0	um
puta	puta	NCFS000	puta
que	que	PR0CN000	que
trazia	trazia	VMN0000	trazer
Reixa	rixa	NCFS000	rixa
com	com	SPS00	com
hũa	uma	DI0FS0	um
Ma	Maria	NP00000	maria
de	de	SPS00	de
Olliveira	Oliveira	NP00000	oliveira
	,	Fc	,
mulher	mulher	NCFS000	mulher
cazada	casada	VMP00SF	casar
e	e	CC	e
de	de	SPS00	de
bom	bom	AQ0MS0	bom
viver	viver	VMN0000	viver
,	,	Fc	,
a	a	PP3FSA00	o
foi	foi	VMIS3S0	ir
noteficar	notificar	VMN0000	notificar
pa	para	SPS00	para
q	que	CS	que
despijase	despejasse	VMSI0S0	despejar
da	da	SPS00+DA0FS0	de+o
freiga	freguesia	NCFS000	freguesia
	,	Fc	,
mostrando	mostrando	VMG0000	mostrar
q	que	CS	que
fazia	fazia	VMII0S0	fazer
adulterio	adultério	NCMS000	adultério
a	a	SPS00	a
seu	seu	DP3MS0	seu
marido	marido	NCMS000	marido
;	,	Fc	,
pondoa	pondo-a	VMG0000+PP3FSA00	pôr+o
em	em	SPS00	em
risco	risco	NCMS000	risco
de	de	SPS00	de
seu	seu	DP3MS0	seu
marido	marido	NCMS000	marido
a	a	SPS00	a
matar	matar	VMN0000	matar
.	.	Fp	.
Mais	Mais	CC	mais
com	com	SPS00	com
o	o	DA0MS0	o
querer	querer	VMN0000	querer
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
vontade	vontade	NCFS000	vontade
a	a	SPS00	a
houtra	outra	DI0FS0	outro
puta	puta	NCFS000	puta
por	por	SPS00	por
nome	nome	NCMS000	nome
Ma	Maria	NP00000	maria
mendes	Mendes	NP00000	mendes
	,	Fc	,
a	a	SPS00	a
coal	qual	PR0CN000	qual
tinha	tinha	VMII0S0	ter
	,	Fc	,
como	como	CS	como
tem	tem	VMIP3S0	ter
,	,	Fc	,
por	por	SPS00	por
amiguo	amigo	NCMS000	amigo
a	a	SPS00	a
hũo	um	DI0MS0	um
Andre	André	NP00000	andré
Vieira	Vieira	NP00000	vieira
de	de	SPS00	de
Va	Vila	NP00000	vila
Nova	Nova	NP00000	nova
	,	Fc	,
este	este	DD0MS0	este
tal	tal	RC	tal
tinha	tinha	VMII0S0	ter
