Exmo	Excelentíssimo	AQSMS0	excelente
Sr	Senhor	NP00000	senhor
D	Dom	NP00000	dom
João	João	NP00000	joão
de	de	SPS00	de
Almda	Almeida	NP00000	almeida
	.	Fp	.
Não	Não	RN	não
posso	posso	VMIP1S0	poder
deixar	deixar	VMN0000	deixar
de	de	SPS00	de
testemunhar	testemunhar	VMN0000	testemunhar
à	à	SPS00+DA0FS0	a+o
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
affeição	afeição	NCFS000	afeição
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
tenho	tenho	VMIP1S0	ter
qdo	quando	CS	quando
o	o	DA0MS0	o
momento	momento	NCMS000	momento
se	se	P00CN000	se
me	me	PP1CS000	me
apresenta	apresenta	VMIP3S0	apresentar
;	.	Fp	.
e	E	CC	e
como	como	CS	como
fui	fui	VSIS1S0	ser
obrigdo	obrigado	VMP00SM	obrigar
a	a	SPS00	a
ficar	ficar	VMN0000	ficar
a	a	SPS00	a
Roterdam	Roterdão	NP00000	roterdão
	,	Fc	,
rogado	rogado	VMP00SM	rogar
por	por	SPS00	por
oficiais	oficiais	NCMP000	oficial
q	que	PR0CN000	que
vinhão	vinham	VMII3P0	vir
a	a	SPS00	a
esta	esta	DD0FS0	este
cide	cidade	NCFS000	cidade
partindo	partindo	VMG0000	partir
da	da	SPS00+DA0FS0	de+o
Maia	Maia	NP00000	maia
	,	Fc	,
aproveito	aproveito	VMIP1S0	aproveitar
a	a	DA0FS0	o
occasião	ocasião	NCFS000	ocasião
pa	para	SPS00	para
contar	contar	VMN0000	contar
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
os	os	DA0MP0	o
mtos	muitos	DI0MP0	muito
obsequios	obséquios	NCMP000	obséquio
q	que	PR0CN000	que
elles	eles	PP3MP000	ele
me	me	PP1CS000	me
fazem	fazem	VMIP3P0	fazer
em	em	SPS00	em
virte	virtude	NCFS000	virtude
de	de	SPS00	de
recomendações	recomendações	NCFP000	recomendação
q	que	PR0CN000	que
o	o	DA0MS0	o
secretario	secretário	NCMS000	secretário
novo	novo	AQ0MS0	novo
lhes	lhes	PP3CPD00	lhe
fez	fez	VMIS3S0	fazer
	,	Fc	,
pa	para	SPS00	para
assim	assim	RG	assim
me	me	PP1CS000	me
obrigar	obrigar	VMN0000	obrigar
a	a	SPS00	a
dar	dar	VMN0000	dar
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
hũa	uma	DI0FS0	um
boa	boa	AQ0FS0	bom
informação	informação	NCFS000	informação
à	a	SPS00	a
ico	esse	DD0MS0	esse
respto	respeito	NCMS000	respeito
	.	Fp	.
este	Este	DD0MS0	este
homem	homem	NCMS000	homem
acompanhou-me	acompanhou-me	VMIS3S0+PP1CS000	acompanhar+me
athe	até	SPS00	até
Delfi	Delfi	NP00000	delfi
	,	Fc	,
e	e	CC	e
todo	todo	AQ0MS0	todo
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
trabalho	trabalho	NCMS000	trabalho
era	era	VSII0S0	ser
