Tudo	Tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
ja	já	RG	já
relatei	relatei	VMIS1S0	relatar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
foi	foi	VSIS3S0	ser
no	no	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
3	3	Z	3
de	de	SPS00	de
Febro	fevereiro	NCMS000	fevereiro
do	do	SPS00+DA0MS0	de+o
prezte	presente	AQ0CS0	presente
anno	ano	NCMS000	ano
em	em	SPS00	em
huã	uma	DI0FS0	um
solemnide	solenidade	NCFS000	solenidade
q	que	PR0CN000	que
se	se	P00CN000	se
costuma	costuma	VMIP3S0	costumar
fazer	fazer	VMN0000	fazer
no	no	SPS00+DA0MS0	em+o
Convto	convento	NCMS000	convento
de	de	SPS00	de
S	São	NP00000	são
Franco	Francisco	NP00000	francisco
	,	Fc	,
da	da	SPS00+DA0FS0	de+o
Va	vila	NCFS000	vila
e	e	CC	e
Praça	praça	NCFS000	praça
de	de	SPS00	de
Chaves	Chaves	NP00000	chaves
,	,	Fc	,
aonde	onde	PA000000	onde
concorre	concorre	VMIP3S0	concorrer
mto	muito	RQ	muito
concurço	concurso	NCMS000	concurso
de	de	SPS00	de
povo	povo	NCMS000	povo
,	,	Fc	,
a	a	SPS00	a
Venerar	venerar	VMN0000	venerar
a	a	DA0FS0	o
Imagem	imagem	NCFS000	o
de	de	SPS00	de
S	São	NP00000	são
Braz	Brás	NP00000	brás
;	.	NP00000	brás
os	Os	DA0MP0	o
dos	ditos	NCMP000	dito
asima	acima	RG	acima
referidos	referidos	VMP00PM	referir
fizerão	fizeram	VMIS3P0	fazer
tais	tais	DI0CP0	tal
dezordens	desordens	NCFP000	desordem
q	que	CS	que
chegarão	chegaram	VMIS3P0	chegar
a	a	SPS00	a
benzer	benzer	VMN0000	benzer
	,	Fc	,
exorcizar	exorcizar	VMN0000	exorcizar
a	a	DA0FS0	o
agua	água	NCFS000	o
benta	benta	AQ0FS0	bento
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
na	na	SPS00+DA0FS0	em+o
pia	pia	NCFS000	pia
da	da	SPS00+DA0FS0	de+o
Igra	igreja	NCFS000	igreja
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Convto	convento	NCMS000	convento
,	.	NCMS000	convento
e	E	CC	e
sendo	sendo	VSG0000	ser
estranhado	estranhado	VMP00SM	estranhar
pelo	pelo	SPS00+DA0MS0	por+o
povo	povo	NCMS000	povo
,	,	Fc	,
este	este	PD0MS000	este
deu	deu	VMIS3S0	dar
pte	parte	NCFS000	parte
ao	ao	SPS00+DA0MS0	a+o
Pe	padre	NCMS000	padre
Prezidte	presidente	NCMS000	presidente
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Convto	convento	NCMS000	convento
,	,	Fc	,
e	e	CC	e
reprehendend os	repreendendo-os	VMG0000+PP3MPA00	repreender+o
da	da	SPS00+DA0FS0	de+o
tal	tal	DD0CS0	tal
açção	ação	NCFS000	ação
	,	Fc	,
q	que	PR0CN000	que
hera	era	VSII0S0	ser
oposta	oposta	VMP00SF	opor
a	à	SPS00+DA0FS0	a+o
religião	religião	NCFS000	religião
	,	Fc	,
o	o	PP3MSA00	o
descompozerão	descompuseram	VMIS3P0	descompor
alta	alta	RG	alto
e	e	CC	e
pederozamte	poderosamente	RG	poderosamente
,	.	RG	poderosamente
e	E	CC	e
não	não	RN	não
satisfeitos	satisfeitos	VMP00PM	satisfazer
so	só	RF	só
disto	disto	SPS00+PD0NN000	de+isto
	,	Fc	,
Forão	foram	VMIS3P0	ir
ao	ao	SPS00+DA0MS0	a+o
poço	poço	NCMS000	poço
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
no	no	SPS00+DA0MS0	em+o
forte	forte	NCMS000	forte
de	de	SPS00	de
S	São	NP00000	são
Franco	Francisco	NP00000	francisco
	.	Fp	.
tão	Tão	RC	tão
bem	bem	RG	bem
fizerão	fizeram	VMIS3P0	fazer
a	a	DA0FS0	o
ma	mesma	AQ0FS0	mesmo
siremonia	cerimónia	NCFS000	cerimónia
q	que	CS	que
testemunhas	testemunhas	NCFP000	testemunha
forão	foram	VSIS3P0	ser
do	do	SPS00+DA0MS0	de+o
Segundo	segundo	AO0MS0	segundo
facto	facto	NCMS000	facto
João	João	NP00000	joão
e	e	CC	e
Anna	Ana	NP00000	ana
	,	Fc	,
sua	sua	DP3FS0	seu
mer	mulher	NCFS000	mulher
	,	Fc	,
moradores	moradores	NCMP000	morador
junto	junto	RG	junto
do	do	SPS00+DA0MS0	de+o
mo	mesmo	AQ0MS0	mesmo
Poço	poço	NCMS000	poço
,	.	NCMS000	poço
e	E	CC	e
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
sucedeo	sucedeu	VMIS3S0	suceder
nesta	nesta	SPS00+DD0FS0	em+este
Igra	igreja	NCFS000	igreja
foi	foi	VSIS3S0	ser
Patente	patente	AQ0CS0	patente
a	a	SPS00	a
mta	muita	DI0FS0	muito
gente	gente	NCFS000	gente
	,	Fc	,
E	e	CC	e
juntamte	juntamente	RG	juntamente
a	a	DA0FS0	o
ma	mesma	AQ0FS0	mesmo
gente	gente	NCFS000	gente
q	que	PR0CN000	que
na	na	SPS00+DA0FS0	em+o
Igra	igreja	NCFS000	igreja
estava	estava	VMII0S0	estar
se	se	P00CN000	se
queixou	queixou	VMIS3S0	queixar
q	que	CS	que
fizerão	fizeram	VMIS3P0	fazer
escarna	escarna	NCFS000	escarna
de	de	SPS00	de
huã	uma	DI0FS0	um
Imagem	imagem	NCFS000	imagem
do	do	SPS00+DA0MS0	de+o
Sto	Santo	NP00000	santo
Anto	António	NP00000	antónio
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
em	em	SPS00	em
huã	uma	DI0FS0	um
Capela	capela	NCFS000	capela
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Convto	convento	NCMS000	convento
	,	Fc	,
etc	etc	NCMS000	etc
	.	Fp	.
