Meu	Meu	DP1MSS	meu
amo	Amigo	NP00000	amigo
e	e	CC	e
sr	Senhor	NP00000	senhor
Rdo	Reverendo	AQ0MS0	reverendo
Pe	Padre	NP00000	padre
cura	Cura	NP00000	cura
	,	Fc	,
aqui	aqui	RG	aqui
tive	tive	VMIS1S0	ter
nota	notícia	NCFS000	notícia
q	que	PR0CN000	que
vm	VM	NP00000	VM
q	que	CS	que
tinhão	tinham	VMII3P0	ter
os	os	DA0MP0	o
pregões	pregões	NCMP000	pregão
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
mão	mão	NCFS000	mão
e	e	CC	e
q	que	CS	que
os	os	DA0MP0	o
amoesta	admoesta	VMIP3S0	admoestar
de	de	SPS00	de
Miguel	Miguel	NP00000	miguel
do	do	SPS00+DA0MS0	de+o
vale	Vale	NP00000	vale
de	de	SPS00	de
tomdella	Tondela	NP00000	Tondela
,	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CS000	qual
está	está	VMIP3S0	estar
jurado	jurado	VMP00SM	jurar
com	com	SPS00	com
hũa	uma	DI0FS0	um
mossa	moça	NCFS000	moça
q	que	PR0CN000	que
ahi	aí	RG	aí
asestio	assistiu	VMIS3S0	assistir
em	em	SPS00	em
caza	casa	NCFS000	casa
do	do	SPS00+DA0MS0	de+o
sr	Senhor	NP00000	senhor
do	do	SPS00+DA0MS0	de+o
sr	Senhor	NP00000	senhor
cappam	Capelão	NP00000	capelão
Joseph	José	NP00000	josé
de	de	SPS00	de
Asum	Assunção	NP00000	assunção
por	por	SPS00	por
nome	nome	NCMS000	nome
Joanna	Joana	NP00000	joana
do	do	SPS00+DA0MS0	de+o
Couto	Couto	NP00000	couto
de	de	SPS00	de
Barro	Barro	NP00000	barro
,	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
isto	isto	PD0NN000	isto
foi	foi	VSIS3S0	ser
notorio	notório	AQ0MS0	notório
e	e	CC	e
eu	eu	PP1CSN00	eu
não	não	RN	não
quero	quero	VMIP1S0	querer
correr	correr	VMN0000	correr
com	com	SPS00	com
hũa	uma	DI0FS0	um
excomunhão	excomunhão	NCFS000	excomunhão
	,	Fc	,
faço	faço	VMIP1S0	fazer
a	a	SPS00	a
vm	VM	NP00000	VM
este	este	DD0MS0	este
avizo	aviso	NCMS000	aviso
,	.	Fp	.
e	E	CC	e
com	com	SPS00	com
este	este	DD0MS0	este
empedimto	impedimento	NCMS000	impedimento
pode	pode	VMIP3S0	poder
vm	VM	NP00000	VM
passar	passar	VMN0000	passar
certidão	certidão	NCFS000	certidão
pa	para	SPS00	para
q	que	CS	que
seja	seja	VSSP0S0	ser
amoestadoz	admoestados	VMP00PM	admoestar
na	na	SPS00+DA0FS0	em+o
terra	terra	NCFS000	terra
da	da	SPS00+DA0FS0	de+o
mossa	moça	NCFS000	moça
,	.	Fp	.
e	E	CC	e
vm	VM	NP00000	VM
fara	fará	VMIF3S0	fazer
o	o	DA0MS0	o
q	que	PR0CN000	que
milhor	melhor	RC	melhor
lhe	lhe	PP3CSD00	lhe
parecer	parecer	VMN0000	parecer
e	e	CC	e
eu	eu	PP1CSN00	eu
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
obedecer	obedecer	VMN0000	obedecer
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
me	me	PP1CS000	me
ordemnar	ordenar	VMN0000	ordenar
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
for	for	VSSF0S0	ser
de	de	SPS00	de
seu	seu	DP3MS0	seu
servisso	serviço	NCMS000	serviço
	,	Fc	,
a	a	SPS00	a
qm	quem	PR0CN000	quem
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
	.	Fp	.
3ª feira	Terça-feira	NCFS000	terça-feira
	,	Fc	,
de	de	SPS00	de
Caza	casa	NCFS000	casa
de	de	SPS00	de
Annadia	Anadia	NP00000	anadia
	.	Fp	.
Rdo	Reverendo	AQ0MS0	reverendo
Sr	Senhor	NP00000	senhor
Pe	Padre	NP00000	padre
Mel	Manuel	NP00000	manuel
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
Amo	Amigo	NP00000	amigo
e	e	CC	e
mais	mais	RC	mais
obrigado	obrigado	VMP00SM	obrigar
cdo	criado	NCMS000	criado
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
Paulo	Paulo	NP00000	paulo
frz	Fernandes	NP00000	fernandes
da	da	SPS00+DA0FS0	de+o
Sylva	Silva	NP00000	silva
