Meu	Meu	DP1MSS	meu
Sr	Senhor	NP00000	senhor
:	,	Fc	,
há	há	VMIP3S0	haver
mezes	meses	NCMP000	mês
q	que	PR0CN000	que
o	o	DA0MS0	o
sr	Senhor	NP00000	senhor
Thome	Tomé	NP00000	tomé
Jozeph	José	NP00000	josé
de	de	SPS00	de
Vasconsellos	Vasconcelos	NP00000	vasconcelos
dezeja	deseja	VMIP3S0	desejar
q	que	CS	que
eu	eu	PP1CSN00	eu
escrevesse	escrevesse	VMSI0S0	escrever
a	a	SPS00	a
VSa	VSa	NP00000	VSa
sobre	sobre	SPS00	sobre
materia	matéria	NCFS000	matéria
de	de	SPS00	de
q	que	PR0CN000	que
sei	sei	VMIP1S0	saber
lhe	lhe	PP3CSD00	lhe
tem	tem	VAIP3S0	ter
já	já	RG	já
dado	dado	VMP0000	dar
conta	conta	NCFS000	conta
;	.	Fp	.
eu	Eu	PP1CSN00	eu
me	me	PP1CS000	me
escuzei	escusei	VMIS1S0	escusar
de	de	SPS00	de
fazello	fazê-lo	VMN0000+PP3MSA00	fazer+o
athe	até	SPS00	até
gora	agora	RG	agora
,	,	Fc	,
espe-rando	esperando	VMG0000	esperar
ver	ver	VMN0000	ver
se	se	CS	se
podia	podia	VMII0S0	poder
com	com	SPS00	com
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
proprias	próprias	AQ0FP0	próprio
meza-das	mesadas	NCFP000	mesada
satisfazer	satisfazer	VMN0000	satisfazer
as	as	DA0FP0	o
dividas	dívidas	NCFP000	dívida
q	que	PR0CN000	que
contrahio	contraiu	VMIS3S0	contrair
com	com	SPS00	com
pouca	pouca	DI0FS0	pouco
consideração	consideração	NCFS000	consideração
;	.	Fp	.
más	Mas	CC	mas
	,	Fc	,
não	não	RN	não
sendo	sendo	VSG0000	ser
possivel	possível	AQ0CS0	possível
q	que	CS	que
dellas	delas	SPS00+PP3FP000	de+ele
se	se	P00CN000	se
pudesse	pudesse	VMSI0S0	poder
tirar	tirar	VMN0000	tirar
a	a	DA0FS0	o
paga	paga	NCFS000	paga
mensual	mensual	AQ0CS0	mensual
do	do	SPS00+DA0MS0	de+o
colegio	colégio	NCMS000	colégio
,	,	Fc	,
ficandolhe	ficando-lhe	VMG0000+PP3CSD00	ficar+lhe
a	a	SPS00	a
elle	ele	PP3MS000	ele
algũa	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
pa	para	SPS00	para
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
gastos	gastos	NCMP000	gasto
ordinarios	ordinários	AQ0MP0	ordinário
,	,	Fc	,
não	não	RN	não
pude	pude	VMIS1S0	poder
escuzarme	escusar-me	VMN0000+PP1CS000	escusar+me
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
prezente	presente	NCMS000	presente
a	a	SPS00	a
VSa	VSa	NP00000	VSa
o	o	DA0MS0	o
estado	estado	NCMS000	estado
deste	deste	SPS00+DD0MS0	de+este
nego	negócio	NCMS000	negócio
pa	para	SPS00	para
q	que	CS	que
tome	tome	VMSP0S0	tomar
hum	um	DI0MS0	um
de	de	SPS00	de
dous	dois	Z	dois
expedientes	expedientes	NCMP000	expediente
,	:	Fd	:
ou	ou	CC	ou
mandarlhe	mandar-lhe	VMN0000+PP3CSD00	mandar+lhe
algũa	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
pa	para	SPS00	para
ajuda	ajuda	NCFS000	ajuda
da	da	SPS00+DA0FS0	de+o
satisfasão	satisfação	NCFS000	satisfação
ou	ou	CC	ou
ordenação	ordenação	NCFS000	ordenação
q	que	CS	que
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
mezada	mesada	NCFS000	mesada
dos	dos	SPS00+DA0MP0	de+o
20	20	Z	20
escudos	escudos	NCMP000	escudo
q	que	PR0CN000	que
VSa	VSa	NP00000	VSa
lhe	lhe	PP3CSD00	lhe
dá	dá	VMIP3S0	dar
se	se	P00CN000	se
entregue	entregue	VMP00SM	entregar
ao	ao	SPS00+DA0MS0	a+o
Reytor	Reitor	NP00000	reitor
do	do	SPS00+DA0MS0	de+o
Colegio	colégio	NCMS000	colégio
,	.	Fp	.
más	Mas	CC	mas
torno	torno	VMIP1S0	tornar
a	a	SPS00	a
dizer	dizer	VMN0000	dizer
q	que	CS	que
não	não	RN	não
hé	é	VSIP3S0	ser
possivel	possível	AQ0CS0	possível
q	que	CS	que
elle	ele	PP3MS000	ele
possa	possa	VMSP0S0	poder
sobsistir	subsistir	VMN0000	subsistir
sem	sem	SPS00	sem
q	que	CS	que
dos	dos	SPS00+DA0MP0	de+o
dittos	ditos	VMP00PM	dizer
20	20	Z	20
escudos	escudos	NCMP000	escudo
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
faça	faça	VMSP0S0	fazer
hum	um	DI0MS0	um
pequeno	pequeno	AQ0MS0	pequeno
assentamto	assentamento	NCMS000	assentamento
pa	para	SPS00	para
suprir	suprir	VMN0000	suprir
as	as	DA0FP0	o
despezas	despesas	NCFP000	despesa
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
uzo	uso	NCMS000	uso
q	que	PR0CN000	que
são	são	VSIP3P0	ser
inexcuzaveis	inexcusáveis	AQ0CP0	inexcusável
.	.	Fp	.
Eu	Eu	PP1CSN00	eu
não	não	RN	não
pude	pude	VMIS1S0	poder
remediar	remediar	VMN0000	remediar
esta	esta	DD0FS0	este
dezordem	desordem	NCFS000	desordem
porq	porque	CS	porque
	,	Fc	,
quando	quando	CS	quando
me	me	PP1CS000	me
derão	deram	VMIS3P0	dar
noticia	notícia	NCFS000	notícia
della	dela	SPS00+PP3FS000	de+ele
,	,	Fc	,
já	já	RG	já
era	era	VSII0S0	ser
devedor	devedor	NCMS000	devedor
ao	ao	SPS00+DA0MS0	a+o
colegio	colégio	NCMS000	colégio
de	de	SPS00	de
18	18	Z	18
ou	ou	CC	ou
19	19	Z	19
mezadas	mesadas	NCFP000	mesada
e	e	CC	e
asim	assim	RG	assim
