Meu	Meu	DP1MSS	meu
Amo	Amigo	NP00000	amigo
e	e	CC	e
snr	Senhor	NP00000	senhor
	,	Fc	,
grande	grande	AQ0CS0	grande
foi	foi	VSIS3S0	ser
o	o	DA0MS0	o
sentimto	sentimento	NCMS000	sentimento
que	que	PR0CN000	que
tive	tive	VMIS1S0	ter
por	por	SPS00	por
não	não	RN	não
estar	estar	VMN0000	estar
em	em	SPS00	em
caza	casa	NCFS000	casa
coando	quando	CS	quando
vm	VM	NP00000	VM
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
a	a	DA0FS0	o
honra	honra	NCFS000	honra
de	de	SPS00	de
vir	vir	VMN0000	vir
a	a	SPS00	a
ela	ela	PP3FS000	ele
	.	Fp	.
agora	Agora	RG	agora
	,	Fc	,
desa	dessa	SPS00+DD0FS0	de+esse
carta	carta	NCFS000	carta
de	de	SPS00	de
Banhos	banhos	NCMP000	banho
	,	Fc	,
pa	para	SPS00	para
poder	poder	VMN0000	poder
vm	VM	NP00000	VM
ver	ver	VMN0000	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
respondeo	respondeu	VMIS3S0	responder
	,	Fc	,
logo	logo	RG	logo
logo	logo	RG	logo
Retornei	retornei	VMIS1S0	retornar
a	a	SPS00	a
remeter	remeter	VMN0000	remeter
o	o	DA0MS0	o
papel	papel	NCMS000	papel
cõ	com	SPS00	com
o	o	DA0MS0	o
escritinho	escritinho	NCMS00D	escrito
q	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
deixou	deixou	VMIS3S0	deixar
	,	Fc	,
en	em	SPS00	em
q	que	PR0CN000	que
dezia	dizia	VMII0S0	dizer
q	que	CS	que
o	o	DA0MS0	o
supe	suplicante	NCMS000	suplicante
asestira	assistira	VMIM0S0	assistir
no	no	SPS00+DA0MS0	em+o
convto	convento	NCMS000	convento
das	das	SPS00+DA0FP0	de+o
freiras	freiras	NCFP000	freira
	.	Fp	.
agora	Agora	RG	agora
esperamos	esperamos	VMIP1P0	esperar
polo	pelo	SPS00+DA0MS0	por+o
dito	dito	VMP00SM	dizer
snor	senhor	NCMS000	senhor
brevemte	brevemente	RG	brevemente
	,	Fc	,
que	que	CS	que
ja	já	RG	já
la	lá	RG	lá
são	são	VSIP3P0	ser
os	os	DA0MP0	o
machos	machos	NCMP000	macho
pa	para	SPS00	para
virẽ	virem	VMN03P0	vir
	,	Fc	,
e	e	CC	e
	,	Fc	,
de	de	SPS00	de
caminha	Caminha	NP00000	caminha
	,	Fc	,
creio	creio	VMIP1S0	crer
virão	virão	VMIF3P0	vir
negoziados	negociados	VMP00PM	negociar
	.	Fp	.
como	Como	CS	como
tãobem	também	RG	também
lhe	lhe	PP3CSD00	lhe
fis	fiz	VMIS1S0	fazer
a	a	DA0FS0	o
mesma	mesma	AQ0FS0	mesmo
emcomenda	encomenda	NCFS000	encomenda
	,	Fc	,
se	se	CS	se
tivese	tivesse	VMSI0S0	ter
dilacão	dilação	NCFS000	dilação
em	em	SPS00	em
Braga	Braga	NP00000	braga
	,	Fc	,
não	não	RN	não
se	se	P00CN000	se
cude	cuide	VMSP0S0	cuidar
maes	mais	RC	mais
	.	Fp	.
Ds	Deus	NP00000	deus
me	me	PP1CS000	me
gde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
Vm	VM	NP00000	VM
como	como	PA000000	como
dezejo	desejo	VMIP1S0	desejar
	.	Fp	.
Sagouva	Sagouva	X	X
	,	Fc	,
de	de	SPS00	de
junho	junho	NCMS000	junho
8	8	Z	8
d	de	SPS00	de
1701	1701	Z	1701
	.	Fp	.
Capelão	Capelão	NP00000	capelão
e	e	CC	e
rdo	Reverendo	AQ0MS0	reverendo
servidor	Servidor	NP00000	servidor
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
o	o	DA0MS0	o
pe	Padre	NP00000	padre
Mel	Manuel	NP00000	manuel
pdo	Pedro	NP00000	pedro
Soares	Soares	NP00000	soares
