Recebi	Recebi	VMIS1S0	receber
a	a	DA0FS0	o
de	de	SPS00	de
VS	VSa	NP00000	VSa
e	e	CC	e
	,	Fc	,
fazendo	fazendo	VMG0000	fazer
della	dela	SPS00+PP3FS000	de+ele
avizo	aviso	NCMS000	aviso
a	a	SPS00	a
Pedro	Pedro	NP00000	pedro
de	de	SPS00	de
Souza	Sousa	NP00000	sousa
	,	Fc	,
se	se	P00CN000	se
retratou	retratou	VMIS3S0	retratar
	,	Fc	,
como	como	PA000000	como
Eu	eu	PP1CSN00	eu
esperava	esperava	VMII0S0	esperar
,	,	Fc	,
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
protesto	protesto	NCMS000	protesto
;	.	Fp	.
buscou	Buscou	VMIS3S0	buscar
logo	logo	RG	logo
o	o	DA0MS0	o
sor	Senhor	NP00000	senhor
Nuno	Nuno	NP00000	nuno
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
e	e	CC	e
o	o	DA0MS0	o
sor	Senhor	NP00000	senhor
Filipe	Filipe	NP00000	filipe
Massiel	Maciel	NP00000	Maciel
e	e	CC	e
a	a	SPS00	a
todos	todos	DI0MP0	todo
nos	nós	PP1CP000	nós
disse	disse	VMIS3S0	dizer
que	que	CS	que
queria	queria	VMII0S0	querer
que	que	CS	que
entrassemos	entrássemos	VMIP3S0	entrar
na	na	SPS00+DA0FS0	em+o
composicão	composicão	NCFS000	composicão
,	,	Fc	,
fazendo	fazendo	VMG0000	fazer
nella	nela	SPS00+PP3FS000	em+ele
o	o	DA0MS0	o
que	que	PR0CN000	que
entendiamos	entendíamos	VMII1P0	entender
;	.	Fp	.
este	Este	DD0MS0	este
novo	novo	AQ0MS0	novo
incidente	incidente	NCMS000	incidente
e	e	CC	e
dezejo	desejo	NCMS000	desejo
de	de	SPS00	de
concluir	concluir	VMN0000	concluir
esta	esta	DD0FS0	este
dependencia	dependência	NCFS000	dependência
me	me	PP1CS000	me
fas	faz	VMIP3S0	fazer
demorar	demorar	VMN0000	demorar
alguns	alguns	DI0MP0	algum
dias	dias	NCMP000	dia
	,	Fc	,
em	em	SPS00	em
que	que	PR0CN000	que
poremi	porei	VMIF1S0	pôr
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
forsas	forças	NCFP000	força
pa	para	SPS00	para
conseguir	conseguir	VMN0000	conseguir
o	o	DA0MS0	o
intento	intento	NCMS000	intento
,	,	Fc	,
sendo	sendo	VSG0000	ser
sempre	sempre	RG	sempre
o	o	DA0MS0	o
maior	maior	AQ0CS0	maior
que	que	PR0CN000	que
terei	terei	VMIF1S0	ter
obedecer	obedecer	VMN0000	obedecer
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
os	aos	SPS00+DA0MP0	a+o
preceitos	preceitos	NCMP000	preceito
de	de	SPS00	de
VS	VSa	NP00000	VSa
	,	Fc	,
que	que	PR0CN000	que
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
ms	muitos	DI0MP0	muito
as	anos	NCMP000	ano
	.	Fp	.
Lxa	Lxa	NP00000	lisboa
	,	Fc	,
20	20	Z	20
de	de	SPS00	de
Junho	junho	NCMS000	junho
de	de	SPS00	de
1730	1730	Z	1730
	.	Fp	.
Sr	Senhor	NP00000	senhor
Deam	Deão	NP00000	deão
e	e	CC	e
Cabo	Cabido	NP00000	cabido
da	da	SPS00+DA0FS0	de+o
Sta	Santa	AQ0FS0	santo
Igreja	Igreja	NP00000	igreja
de	de	SPS00	de
Elvas	Elvas	NP00000	elvas
Dor	Doutor	NP00000	doutor
Manuel	Manuel	NP00000	manuel
Pereira	Pereira	NP00000	pereira
de	de	SPS00	de
Pinho	Pinho	NP00000	pinho
