Meu	Meu	DP1MSS	meu
sr	Senhor	NP00000	senhor
	,	Fc	,
Não	não	RN	não
Respondi	respondi	VMIS1S0	responder
Hontem	ontem	RG	ontem
ao	ao	SPS00+DA0MS0	a+o
escrito	escrito	NCMS000	escrito
de	de	SPS00	de
vmce	VM	NP00000	VM
por	por	SPS00	por
querer	querer	VMN0000	querer
mandar	mandar	VMN0000	mandar
esta	esta	DD0FS0	este
cartta	carta	NCFS000	carta
que	que	PR0CN000	que
vai	vai	VMIP3S0	ir
averta	aberta	NCFS000	aberta
pa	para	SPS00	para
vm	VM	NP00000	VM
ler	ler	VMN0000	ler
e	e	CC	e
mandar	mandar	VMN0000	mandar
az	as	DA0FP0	o
barças	barcas	NCFP000	barca
a	a	SPS00	a
buscar	buscar	VMN0000	buscar
a	a	DA0FS0	o
lenha	lenha	NCFS000	lenha
;	.	Fp	.
Eu	Eu	PP1CSN00	eu
	,	Fc	,
sr	Senhor	NP00000	senhor
Mel	Manuel	NP00000	manuel
afonço	Afonso	NP00000	afonso
	,	Fc	,
não	não	RN	não
tomara	tomara	VMIM0S0	tomar
duvidas	dúvidas	NCFP000	dúvida
nem	nem	CCN	nem
embaraços	embaraços	NCMP000	embaraço
	.	Fp	.
este	Este	DD0MS0	este
sr	Senhor	NCMS000	senhor
carece	carece	VMIP3S0	carecer
pois	pois	CS	pois
esta	está	VMIP3S0	estar
nesesitado	necessitado	VMP00SM	necessitar
	,	Fc	,
e	e	CC	e
se	se	CS	se
vm	VM	NP00000	VM
me	me	PP1CS000	me
ha	há	VMIP3S0	haver
de	de	SPS00	de
faltar	faltar	VMN0000	faltar
ao	ao	SPS00+DA0MS0	a+o
pagamto	pagamento	NCMS000	pagamento
	,	Fc	,
me	me	PP1CS000	me
não	não	RN	não
faça	faça	VMSP0S0	fazer
tambem	também	RG	também
faltar	faltar	VMN0000	faltar
	,	Fc	,
q	que	CS	que
dezo	desejo	VMIP1S0	desejar
ser	ser	VSN0000	ser
pintual	pontual	AQ0CS0	pontual
,	.	Fp	.
espero	Espero	VMIP1S0	esperar
de	de	SPS00	de
vm	VM	NP00000	VM
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
primor	primor	NCMS000	primor
	.	Fp	.
Deoz	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
vm	VM	NP00000	VM
m	muitos	DI0MP0	muito
a	anos	NCMP000	ano
.	.	Fp	.
caza	Casa	NCFS000	casa
	,	Fc	,
9	9	Z	9
de	de	SPS00	de
Novro	novembro	NCMS000	novembro
de	de	SPS00	de
1736	1736	Z	1736
	.	Fp	.
De	De	SPS00	de
vm	VM	NP00000	VM
Amo	amigo	NCMS000	amigo
e	e	CC	e
mto	muito	RQ	muito
amte	amante	AQ0CS0	amante
c	criado	NCMS000	criado
	,	Fc	,
Franco	Francisco	NP00000	francisco
Carnotto	Carnoto	NP00000	carnoto
villas	Vilas	NP00000	vila
Boas	Boas	NP00000	bom
	.	Fp	.
Advirto	Advirto	VMIP1S0	advertir
a	a	DA0FS0	o
vmce	VM	NP00000	VM
q	que	CS	que
os	os	DA0MP0	o
negros	negros	NCMP000	negro
das	das	SPS00+DA0FP0	de+o
barcas	barcas	NCFP000	barca
não	não	RN	não
querem	querem	VMIP3P0	querer
embarçar	embarcar	VMN0000	embarcar
a	a	DA0FS0	o
lenha	lenha	NCFS000	lenha
e	e	CC	e
andão	andam	VMIP3P0	andar
paseando	passeando	VMG0000	passear
por	por	SPS00	por
terras	terras	NCFP000	terra
e	e	CC	e
so	só	RG	só
a	à	SPS00+DA0FS0	a+o
gente	gente	NCFS000	gente
do	do	SPS00+DA0MS0	de+o
coronel	Coronel	NP00000	coronel
a	a	PP3FSA00	o
emBarcão	embarcam	VMIP3P0	embarcar
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
hei	hei	VMIP1S0	haver
de	de	SPS00	de
mandar	mandar	VMN0000	mandar
dizer	dizer	VMN0000	dizer
se	se	CSI	se
os	os	DA0MP0	o
negros	negros	NCMP000	negro
não	não	RN	não
ajudarem	ajudarem	VMN03P0	ajudar
a	a	SPS00	a
botalla	botá-la	VMN0000+PP3FSA00	botar+o
nas	nas	SPS00+DA0FP0	em+o
Barças	barcas	NCFP000	barca
	.	Fp	.
elle	Ele	PP3MS000	ele
o	o	PP3MSA00	o
não	não	RN	não
faca	faça	VMSP0S0	fazer
	.	Fp	.
