S	Santíssima	AQSFS0	santo
M	Maria	NP00000	maria
Meu	Meu	DP1MSS	meu
amante	amante	AQ0CS0	amante
e	e	CC	e
querido	querido	VMP00SM	querer
pai	pai	NCMS000	pai
	,	Fc	,
pai	pai	NCMS000	pai
	,	Fc	,
pai	pai	NCMS000	pai
electo	eleito	AQ0MSP	eleito
	,	Fc	,
amado	amado	VMP00SM	amar
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
coraçao	coração	NCMS000	coração
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
e	e	CC	e
emquanto	enquanto	CS	enquanto
Ds	Deus	NP00000	deus
foir	for	VSSF0S0	ser
Ds	Deus	NP00000	deus
he	é	VSIP3S0	ser
vmce	VM	NP00000	VM
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
e	e	CC	e
mai	mãe	NCFS000	mãe
te	até	SPS00	até
dos	dos	SPS00+DA0MP0	de+o
meas	meus	DP1MPS	meu
olhos	olhos	NCMP000	olho
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
vida	vida	NCFS000	vida
	.	Fp	.
eu	Eu	PP1CSN00	eu
çou	sou	VSIP1S0	ser
oBedientisima	obedientíssima	AQSFS0	obediente
filha	filha	NCFS000	filho
de	de	SPS00	de
vmce	VM	NP00000	VM
	,	Fc	,
meu	meu	DP1MSS	meu
amaDo	amado	VMP00SM	amar
pai	pai	NCMS000	pai
	.	Fp	.
Resibi	Recebi	VMIS1S0	receber
a	a	DA0FS0	o
carta	carta	NCFS000	carta
de	de	SPS00	de
vmce	VM	NP00000	VM
e	e	CC	e
com	com	SPS00	com
grende	grande	AQ0CS0	grande
e	e	CC	e
conçolação	consolação	NCFS000	consolação
Da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
e	e	CC	e
pelas	pelas	SPS00+DA0FP0	por+o
Boas	boas	AQ0FP0	bom
novas	novas	NCFP000	nova
q	que	PR0CN000	que
vmce	VM	NP00000	VM
me	me	PP1CS000	me
Da	dá	VMIP3S0	dar
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
çua	sua	DP3FS0	seu
çaudae	saúde	NCFS000	saúde
	.	Fp	.
e	E	CC	e
premita	permita	VMSP0S0	permitir
Ds	Deus	NP00000	deus
concrevar lhe	conservar-lhe	VMN0000+PP3CSD00	conservar+lhe
como	como	PA000000	como
esta	esta	DD0FS0	este
sua	sua	DP3FS0	seu
filha	filha	NCFS000	filho
o	o	PP3MSA00	o
peDe	pede	VMIP3S0	pedir
a	a	SPS00	a
Ds	Deus	NP00000	deus
pa	para	SPS00	para
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
e	e	CC	e
çonçolação	consolação	NCFS000	consolação
	.	Fp	.
meu	Meu	DP1MSS	meu
pai	pai	NCMS000	pai
	,	Fc	,
he	é	VSIP3S0	ser
tal	tal	DD0CS0	tal
allegrgria	alegria	NCFS000	alegria
q	que	PR0CN000	que
Resebo	recebo	VMIP1S0	receber
no	no	SPS00+DA0MS0	em+o
coração	coração	NCMS000	coração
quendo	quando	CS	quando
tenho	tenho	VMIP1S0	ter
carta	carta	NCFS000	carta
De	de	SPS00	de
vmce	VM	NP00000	VM
q	que	CS	que
logo	logo	RG	logo
as	as	DA0FP0	o
vizinhas	vizinhas	NCFP000	vizinho
me	me	PP1CS000	me
conhese	conhece	VMIP3S0	conhecer
allegria	alegria	NCFS000	alegria
	.	Fp	.
mas	Mas	CC	mas
agora	agora	RG	agora
fico	fico	VMIP1S0	ficar
e	e	CC	e
com	com	SPS00	com
a	a	DA0FS0	o
pena	pena	NCFS000	pena
e	e	CC	e
Da	da	SPS00+DA0FS0	de+o
morte	morte	NCFS000	morte
do	do	SPS00+DA0MS0	de+o
senhor	senhor	NCMS000	senhor
pai	pai	NCMS000	pai
	,	Fc	,
mas	mas	CC	mais
elle	ele	PP3MS000	ele
não	não	RN	não
morreo	morreu	VMIS3S0	morrer
q	que	CS	que
vivio	viveu	VMIS3S0	viver
pa	para	SPS00	para
Ds	Deus	NP00000	deus
e	e	CC	e
porque	porque	CS	porque
e	e	CC	e
toDas	todas	DI0FP0	todo
es	as	DA0FP0	o
almas	almas	NCFP000	alma
q	que	PR0CN000	que
morre	morre	VMIP3S0	morrer
Dia	dia	NCMS000	dia
da	da	SPS00+DA0FS0	de+o
cua	sua	DP3FS0	seu
espoza	esposa	NCFS000	esposo
e	e	CC	e
não	não	RN	não
se	se	P00CN000	se
