Meu	Meu	DP1MSS	meu
Sr	Senhor	NP00000	senhor
:	,	Fc	,
Chegame	chega-me	VMIP3S0+PP1CS000	chegar+me
a	a	DA0FS0	o
carta	carta	NCFS000	carta
de	de	SPS00	de
VSa	VSa	NP00000	VSa
de	de	SPS00	de
30	30	Z	30
de	de	SPS00	de
Julho	julho	NCMS000	julho
em	em	SPS00	em
dia	dia	NCMS000	dia
de	de	SPS00	de
tanta	tanta	DI0FS0	tanto
occupasão	ocupação	NCFS000	ocupação
q	que	CS	que
me	me	PP1CS000	me
não	não	RN	não
hé	é	VSIP3S0	ser
possivel	possível	AQ0CS0	possível
responder	responder	VMN0000	responder
a	a	SPS00	a
ella	ela	PP3FS000	ele
como	como	CS	como
dezejava	desejava	VMII0S0	desejar
,	,	Fc	,
más	mas	CC	mais
na	na	SPS00+DA0FS0	em+o
somana	semana	NCFS000	semana
q	que	PR0CN000	que
entra	entra	VMIP3S0	entrar
	,	Fc	,
o	o	PP3MSA00	o
farei	farei	VMIF1S0	fazer
;	.	Fp	.
entretanto	Entretanto	RG	entretanto
devo	devo	VMIP1S0	dever
assegurar	assegurar	VMN0000	assegurar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
q	que	CS	que
não	não	RN	não
recebi	recebi	VMIS1S0	receber
nenhüa	nenhuma	DI0FS0	nenhum
das	das	SPS00+DA0FP0	de+o
duas	duas	Z	duas
cartas	cartas	NCFP000	carta
q	que	PR0CN000	que
me	me	PP1CS000	me
apponta	aponta	VMIP3S0	apontar
e	e	CC	e
q	que	CS	que
excuta-rei	excutarei	VMIF1S0	excutar
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
ordens	ordens	NCFP000	ordem
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
,	,	Fc	,
pondoo	pondo-o	VMN0000+PP3MSA00	pôr+o
na	na	SPS00+DA0FS0	em+o
certeza	certeza	NCFS000	certeza
de	de	SPS00	de
q	que	PR0CN000	que
fico	fico	VMIP1S0	ficar
entregue	entregue	VMP00SM	entregar
da	da	SPS00+DA0FS0	de+o
Lettra	letra	NCFS000	letra
de	de	SPS00	de
300	300	Z	300
mil	mil	Z	mil
rs	réis	NCMP000	réis
q	que	PR0CN000	que
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
Logo	logo	RG	logo
pagar	pagar	VMN0000	pagar
a	à	SPS00+DA0FS0	a+o
pessoa	pessoa	NCFS000	pessoa
q	que	PR0CN000	que
a	a	PP3FSA00	o
havia	havia	VMII0S0	haver
de	de	SPS00	de
satisfa-zer	satisfazer	VMN0000	satisfazer
.	.	Fp	.
Isto	Isto	PD0NN000	isto
hé	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
por	por	SPS00	por
ora	ora	RG	ora
posso	posso	VMIP1S0	poder
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
VSa	VSa	NP00000	VSa
,	,	Fc	,
dezejando	desejando	VMG0000	desejar
empregarme	empregar-me	VMN0000+PP1CS000	empregar+me
sempre	sempre	RG	sempre
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
for	for	VMSF0S0	ir
máes	mais	RC	mais
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
gosto	gosto	NCMS000	gosto
e	e	CC	e
serviço	serviço	NCMS000	serviço
	.	Fp	.
Ds	Deus	NP00000	deus
Gde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
VSa	VSa	NP00000	VSa
mtos	muitos	DI0MP0	muito
ans	anos	NCMP000	ano
	.	Fp	.
Roma	Roma	NP00000	roma
	,	Fc	,
7	7	Z	7
de	de	SPS00	de
settbro	setembro	NCMS000	setembro
de	de	SPS00	de
1716	1716	Z	1716
:	.	Fp	.
M	Muito	RQ	muito
A	amigo	NCMS000	amigo
e	e	CC	e
servor	servidor	NCMS000	servidor
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
O	O	DA0MS0	o
Cde	Conde	NP00000	conde
Andre	André	NP00000	andré
de	de	SPS00	de
Mello	Melo	NP00000	melo
Sr	Senhor	NP00000	senhor
Luis	Luís	NP00000	luís
joseph	José	NP00000	josé
de	de	SPS00	de
Vasconsellos	Vasconcelos	NP00000	vasconcelos
