Mto	Muito	RQ	muito
Rdo	reverendo	AQ0MS0	reverendo
Pe	padre	NCMS000	padre
e	e	CC	e
Sor	senhor	NP00000	senhor
D	Dom	NP00000	dom
Sebam	Sebastião	NP00000	sebastião
Luis	Luís	NP00000	luís
da	da	SPS00+DA0FS0	de+o
Silvra	Silveira	NP00000	silveira
Recebo	Recebo	VMIP1S0	receber
a	a	SPS00	a
de	de	SPS00	de
VSa	VSa	NP00000	VSa
Com	com	SPS00	com
o	o	DA0MS0	o
mayor	maior	AQ0CS0	maior
gosto	gosto	NCMS000	gosto
,	,	Fc	,
cendo	sendo	VSG0000	ser
o	o	DA0MS0	o
prencipal	principal	AQ0CS0	principal
não	não	RN	não
ter	ter	VMN0000	ter
VSa	VSa	NP00000	VSa
de	de	SPS00	de
q	que	PR0CN000	que
queixarsse	queixar-se	VMN0000+P00CN000	queixar+se
	,	Fc	,
pois	pois	CS	pois
os	os	DA0MP0	o
interesses	interesses	NCMP000	interesse
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
saude	saúde	NCFS000	saúde
são	são	VSIP3P0	ser
os	os	DA0MP0	o
q	que	PR0CN000	que
mais	mais	RC	mais
me	me	PP1CS000	me
rezul-tão	resultam	VMIP3P0	resultar
pa	para	SPS00	para
a	a	DA0FS0	o
mia	minha	DP1FSS	meu
satisfassão	satisfação	NCFS000	satisfação
.	.	Fp	.
fico	Fico	VMIP1S0	ficar
Contenticima	contentíssima	NCFS000	contentíssima
com	com	SPS00	com
a	a	DA0FS0	o
boa	boa	AQ0FS0	bom
experanssa	esperança	NCFS000	esperança
da	da	SPS00+DA0FS0	de+o
sultura	soltura	NCFS000	soltura
de	de	SPS00	de
meu	meu	DP1MSS	meu
Iro	irmão	NCMS000	irmão
Gaspar	Gaspar	NP00000	gaspar
	,	Fc	,
q	que	CS	que
sempre	sempre	RG	sempre
em	em	SPS00	em
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
tempo	tempo	NCMS000	tempo
me	me	PP1CS000	me
deveo	deveu	VMIS3S0	dever
a	a	SPS00	a
mayor	maior	AQ0CS0	maior
aflição	aflição	NCFS000	aflição
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
dezampo	desamparo	NCMS000	desamparo
em	em	SPS00	em
q	que	CS	que
sempre	sempre	RG	sempre
o	o	PP3MSA00	o
vi	vi	VMIS1S0	ver
,	.	Fp	.
mas	Mas	CC	mas
agora	agora	RG	agora
estou	estou	VMIP1S0	estar
em	em	SPS00	em
dezafogo	desafogo	NCMS000	em
e	e	CC	e
tão	tão	RC	tão
devedora	devedora	AQ0FS0	devedor
a	a	SPS00	a
VSa	VSa	NP00000	VSa
q	que	CS	que
qtos	quantos	PA000000	quanto
as	anos	NCMP000	ano
ti-ver	tiver	VMSF0S0	ter
de	de	SPS00	de
vidas	vidas	NCFP000	vida
todos	todos	DI0MP0	todo
serão	serão	VSIF3P0	ser
de	de	SPS00	de
minutos	minutos	NCMP000	minuto
pa	para	SPS00	para
mostrar	mostrar	VMN0000	mostrar
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
reconhecimto	reconhecimento	NCMS000	reconhecimento
	.	Fp	.
bejo	Beijo	VMIP1S0	beijar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
uma	uma	DI0FS0	um
e	e	CC	e
mil	mil	Z	mil
vezes	vezes	NCFP000	vez
as	as	DA0FP0	o
mãos	mãos	NCFP000	mão
	,	Fc	,
por	por	SPS00	por
tantos	tantos	DI0MP0	tanto
beneffos	benefícios	NCMP000	benefício
q	que	PR0CN000	que
só	só	RG	só
Ds	Deus	NP00000	deus
pode	pode	VMIP3S0	poder
Compenssalos	compensá-los	VMIP3S0	poder
	,	Fc	,
Como	como	CS	como
sor	senhor	NP00000	senhor
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
.	.	Fp	.
Estimo	Estimo	VMIP1S0	estimar
infinito	infinito	RG	infinito
q	que	CS	que
VSa	VSa	NP00000	VSa
qra	queira	VMSP0S0	querer
a	a	DA0FS0	o
sociede	sociedade	NCFS000	sociedade
de	de	SPS00	de
Gaspar	Gaspar	NP00000	gaspar
	.	Fp	.
e	E	CC	e
qm	quem	PR0CN000	quem
não	não	RN	não
tem	tem	VMIP3S0	ter
pa	para	SPS00	para
si	si	PP3CNO00	si
como	como	CS	como
pode	pode	VMIP3S0	poder
utulizar	utilizar	VMN0000	utilizar
a	a	SPS00	a
outrem	outrém	NCMS000	outrém
,	?	Fp	?
inda	Ainda	RG	ainda
q	que	CS	que
Lço	Lourenço	NP00000	lourenço
o	o	PP3MSA00	o
diga	diga	VMSP0S0	dizer
	,	Fc	,
a	a	DA0FS0	o
verde	verdade	NCFS000	verdade
é	é	VSIP3S0	ser
tão	tão	RC	tão
patente	patente	NCMS000	patente
q	que	PR0CN000	que
Livra	livra	VMIP3S0	livrar
do	do	SPS00+DA0MS0	de+o
excrupulo	escrúpulo	NCMS000	escrúpulo
q	que	CS	que
a	a	SPS00	a
VSa	VSa	NP00000	VSa
Lembra	lembra	VMIP3S0	lembrar
,	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
pezar	pesar	NCMS000	pesar
q	que	PR0CN000	que
me	me	PP1CS000	me
fica	fica	VMIP3S0	ficar
é	é	VSIP3S0	ser
tãobem	também	RG	também
não	não	RN	não
ver	ver	VMN0000	ver
a	a	SPS00	a
VSa	VSa	NP00000	VSa
,	,	Fc	,
pois	pois	CS	pois
não	não	RN	não
só	só	RG	só
de	de	SPS00	de
longe	longe	RG	longe
queria	queria	VMII0S0	querer
conhecelo	conhecê-lo	VMN0000+PP3MSA00	conhecer+o
,	,	Fc	,
mas	mas	CC	mais
de	de	SPS00	de
perto	perto	RG	perto
	,	Fc	,
pa	para	SPS00	para
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
preza	presença	NCFS000	presença
retificar	retificar	VMN0000	retificar
os	os	DA0MP0	o
protestos	protestos	NCMP000	protesto
da	da	SPS00+DA0FS0	de+o
mia	minha	DP1FSS	meu
crecida	crescida	VMP00SF	crescer
obrigam	obrigação	NCFS000	obrigação
	.	Fp	.
e	E	CC	e
só	só	RG	só
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
favor	favor	NCMS000	favor
,	,	Fc	,
