Illmo	Ilustríssimo	AQSMS0	ilustre
Sr	senhor	NP00000	senhor
Manoel	Manuel	NP00000	manuel
Estanislao	Estanislau	NP00000	estanislau
Fragoso	Fragoso	NP00000	fragoso
	,	Fc	,
A	a	DA0FS0	o
bondade	bondade	NCFS000	bondade
com	com	SPS00	com
que	que	PR0CN000	que
VaSa	VSa	NP00000	VSa
sempre	sempre	RG	sempre
me	me	PP1CS000	me
tem	tem	VAIP3S0	ter
tratado	tratado	VMP0000	tratar
,	,	Fc	,
sem	sem	SPS00	sem
que	que	CS	que
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
mereça	mereça	VMSP0S0	merecer
,	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
firme	firme	AQ0CS0	firme
conceito	conceito	NCMS000	conceito
de	de	SPS00	de
que	que	PR0CN000	que
a	a	SPS00	a
todos	todos	DI0MP0	todo
vale	vale	VMIP3S0	valer
,	,	Fc	,
e	e	CC	e
a	a	SPS00	a
todos	todos	PI0MP000	todo
consola	consola	VMIP3S0	consolar
,	,	Fc	,
me	me	PP1CS000	me
obriga	obriga	VMIP3S0	obrigar
a	a	SPS00	a
derigir-me	dirigir-me	VMN0000+PP1CS000	dirigir+me
a	a	SPS00	a
VaSa	VSa	NP00000	VSa
em	em	SPS00	em
hum	um	DI0MS0	um
caso	caso	NCMS000	caso
que	que	PR0CN000	que
na	na	SPS00+DA0FS0	em+o
ma	minha	DP1FSS	meu
vida	vida	NCFS000	vida
mais	mais	RC	mais
me	me	PP1CS000	me
affligio	afligiu	VMIS3S0	afligir
e	e	CC	e
me	me	PP1CS000	me
priva	priva	VMIP3S0	privar
do	do	SPS00+DA0MS0	de+o
socego	sossego	NCMS000	sossego
	.	Fp	.
Alẽ	Além	RG	além
de	de	SPS00	de
poucamente	poucamente	RG	poucamente
affirmar	afirmar	VMN0000	afirmar
a	a	SPS00	a
VaSa	VSa	NP00000	VSa
que	que	CS	que
eu	eu	PP1CSN00	eu
nunca	nunca	RN	nunca
pensei	pensei	VMIS1S0	pensar
mal	mal	RG	mal
dos	dos	SPS00+DA0MP0	de+o
misterios	mistérios	NCMP000	mistério
e	e	CC	e
moral	moral	NCFS000	moral
da	da	SPS00+DA0FS0	de+o
nossa	nossa	DP1FSP	nosso
Sta	santa	AQ0FS0	santo
Religião	religião	NCFS000	religião
,	,	Fc	,
pois	pois	CS	pois
como	como	CS	como
isto	isto	PD0NN000	isto
são	são	VSIP3P0	ser
actos	atos	NCMP000	ato
internos	internos	AQ0MP0	interno
	,	Fc	,
sempre	sempre	RG	sempre
dei-xão	deixam	VMIP3P0	deixar
aberto	aberto	VMP00SM	abrir
o	o	DA0MS0	o
campo	campo	NCMS000	campo
a	à	SPS00+DA0FS0	a+o
duvida	dúvida	NCFS000	dúvida
,	.	Fp	.
posso	Posso	VMIP1S0	poder
porem	porém	RG	porém
	,	Fc	,
com	com	SPS00	com
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
affoitesa	afoiteza	NCFS000	afoiteza
	,	Fc	,
protular	postular	VMN0000	postular
a	a	SPS00	a
VaSa	VSa	NP00000	VSa
q	que	CS	que
nem	nem	CCN	nem
com	com	SPS00	com
as	as	DA0FP0	o
minhas	minhas	DP1FPS	meu
palavras	palavras	NCFP000	palavra
ou	ou	CC	ou
comportamento	comportamento	NCMS000	comportamento
offendo	ofendo	VMIP1S0	ofender
a	a	DA0FS0	o
piedade	piedade	NCFS000	piedade
,	,	Fc	,
antes	antes	RG	antes
faço	faço	VMIP1S0	fazer
respeito	respeito	NCMS000	respeito
a	à	SPS00+DA0FS0	a+o
Religião	religião	NCFS000	religião
e	e	CC	e
suas	suas	DP3FP0	seu
relações	relações	NCFP000	relação
;	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
que	que	CS	que
não	não	RN	não
são	são	VSIP3P0	ser
meus	meus	DP1MPS	meu
olhos	olhos	NCMP000	olho
sofredores	sofredores	AQ0MP0	sofredor
de	de	SPS00	de
ler	ler	VMN0000	ler
blasfemias	blasfémias	NCFP000	blasfémia
,	,	Fc	,
e	e	CC	e
sinto	sinto	VMIP1S0	sentir
muito	muito	RQ	muito
q	que	CS	que
mas	mas	PP1CS000+PP3FPA00	me+o
dirijão	dirijam	VMSP3P0	dirigir
.	.	Fp	.
No	No	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
ultimo	último	AO0MS0	último
deste	deste	SPS00+DD0MS0	de+este
mes	mês	NCMS000	mês
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
correio	correio	NCMS000	correio
de	de	SPS00	de
Lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
recebi	recebi	VMIS1S0	receber
a	a	DA0FS0	o
carta	carta	NCFS000	carta
inclusa	inclusa	AQ0FS0	incluso
,	,	Fc	,
que	que	PR0CN000	que
remetto	remeto	VMIP1S0	remeter
a	a	SPS00	a
VaSa	VSa	NP00000	VSa
;	,	Fc	,
carta	carta	NCFS000	carta
que	que	PR0CN000	que
não	não	RN	não
posso	posso	VMIP1S0	poder
ler	ler	VMN0000	ler
sem	sem	SPS00	sem
horror	horror	NCMS000	horror
,	,	Fc	,
e	e	CC	e
que	que	CS	que
as	as	DA0FP0	o
pri-meiras	primeiras	AQ0FP0	primeiras
veses	vezes	NCFP000	vez
q	que	PR0CN000	que
a	a	PP3FSA00	o
li	li	VMIS1S0	ler
me	me	PP1CS000	me
pos	pôs	VMIS3S0	pôr
em	em	SPS00	em
hüa	uma	DI0FS0	um
convulsão	convulsão	NCFS000	convulsão
,	,	Fc	,
não	não	RN	não
podendo	podendo	VMG0000	poder
nunca	nunca	RN	nunca
mais	mais	RC	mais
obter	obter	VMN0000	obter
socego	sossego	NCMS000	sossego
.	.	Fp	.
Eu	Eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
bem	bem	RG	bem
persuadido	persuadido	VMP00SM	persuadir
que	que	CS	que
ella	ela	PP3FS000	ele
he	é	VSIP3S0	ser
de	de	SPS00	de
pessoa	pessoa	NCFS000	pessoa
d	de	SPS00	de
állcacer	Alcácer	NP00000	alcácer
,	,	Fc	,
mandada	mandada	VMP00SF	mandar
deitar	deitar	VMN0000	deitar
no	no	SPS00+DA0MS0	em+o
correio	correio	NCMS000	correio
de	de	SPS00	de
Lxa	Lisboa	NP00000	lisboa
	.	Fp	.
e	E	CC	e
athe	até	SPS00	até
tem	tem	VMIP3S0	ter
a	a	DA0FS0	o
letra	letra	NCFS000	letra
muitos	muitos	DI0MP0	muito
vicos	vícios	NCMP000	vício
da	da	SPS00+DA0FS0	de+o
de	de	SPS00	de
