Meu	Meu	DP1MSS	meu
Irmão	irmão	NCMS000	irmão
	,	Fc	,
sumamte	sumamente	RG	sumamente
festejei	festejei	VMIS1S0	festejar
de	de	SPS00	de
me	me	PP1CS000	me
darem	darem	VMN03P0	dar
novas	novas	NCFP000	nova
vosas	vossas	DP2FPP	vosso
	,	Fc	,
de	de	SPS00	de
q	que	CS	que
tinhens	tínheis	VMII2P0	ter
saude	saúde	NCFS000	saúde
	.	Fp	.
noso	Nosso	DP1MSP	nosso
Sr	Senhor	NP00000	senhor
vola	vo-la	PP2CP000+PP3FSA00	vos+o
conserve	conserve	VMSP0S0	conservar
como	como	CS	como
dezejais	desejais	VMSP2P0	desejar
,	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
e	e	CC	e
migel	Miguel	NP00000	miguel
glz	Gonçalves	NP00000	gonçalves
de	de	SPS00	de
saude	saúde	NCFS000	saúde
	,	Fc	,
e	e	CC	e
mais	mais	RC	mais
vosos	vossos	DP2MPP	vosso
sobrinhos	sobrinhos	NCMP000	sobrinho
	,	Fc	,
q	que	PR0CN000	que
são	são	VSIP3P0	ser
coatro	quatro	Z	quatro
porq	porque	CS	porque
tenho	tenho	VMIP1S0	ter
ja	já	RG	já
mais	mais	RC	mais
otro	outro	PI0MS000	outro
	.	Fp	.
Bem	Bem	RG	bem
dezejavamos	desejávamos	VMII1P0	desejar
ja	já	RG	já
as	as	DA0FP0	o
vosas	vossas	DP2FPP	vosso
novas	novas	NCFP000	nova
	,	Fc	,
porq	porque	CS	porque
se	se	P00CN000	se
tem	tem	VAIP3S0	ter
ca	cá	RG	cá
falado	falado	VMP0000	falar
de	de	SPS00	de
vos	vós	PP2CP000	vós
	,	Fc	,
q	que	CS	que
vos	vos	PP2CP000	vos
tinhes	tínheis	VMII2P0	ter
cazado	casado	VMP00SM	casar
	.	Fp	.
otros	Outros	PI0MP000	outro
dizião	diziam	VMII3P0	dizer
q	que	CS	que
estaves	estáveis	VMII2P0	estar
no	no	SPS00+DA0MS0	em+o
santo	Santo	AQ0MS0	santo
ofisio	Ofício	NP00000	ofício
por	por	SPS00	por
teres	teres	VAN02S0	ter
cazado	casado	VMP0000	casar
duas	duas	Z	duas
vezes	vezes	NCFP000	vez
	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
	,	Fc	,
como	como	SPS00	como
irmã	irmã	NCFS000	irmão
	,	Fc	,
sentia	sentia	VMIS3S0	sentir
todas	todas	DI0FP0	todo
estas	estas	DD0FP0	este
penas	penas	NCFP000	pena
	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
não	não	RN	não
nos	nos	PP1CP000	nos
tem	tem	VAIP3S0	ter
faltado	faltado	VMP0000	faltar
emfados	enfados	NCMP000	enfado
	,	Fc	,
pois	pois	CS	pois
esteve	esteve	VMIS3S0	estar
Migel	Miguel	NP00000	miguel
glz	Gonçalves	NP00000	gonçalves
prezo	preso	VMP00SM	prender
dois	dois	Z	dois
mezes	meses	NCMP000	mês
e	e	CC	e
escondido	escondido	VMP00SM	esconder
otros	outros	PI0MP000	outro
dois	dois	Z	dois
	.	Fp	.
isto	Isto	PD0NN000	isto
agora	agora	RG	agora
	,	Fc	,
de	de	SPS00	de
prezente	presente	NCMS000	presente
	.	Fp	.
não	Não	RN	não
falo	falo	VMIP1S0	falar
de	de	SPS00	de
qdo	quando	CS	quando
foi	foi	VSIS3S0	ser
a	a	DA0FS0	o
volta	volta	NCFS000	volta
	!	Fa	!
e	E	CC	e
agora	agora	RG	agora
esta	está	VMIP3S0	estar
em	em	SPS00	em
lisboa	Lisboa	NP00000	lisboa
pa	para	SPS00	para
se	se	P00CN000	se
livrar	livrar	VMN0000	livrar
ahinda	ainda	RG	ainda
pelo	pelo	SPS00+DA0MS0	por+o
degredo	degredo	NCMS000	degredo
	,	Fc	,
mas	mas	CC	mais
com	com	SPS00	com
boas	boas	AQ0FP0	bom
esperansas	esperanças	NCFP000	esperança
	,	Fc	,
querendo	querendo	VMG0000	querer
deos	Deus	NP00000	deus
	.	Fp	.
asim	Assim	RG	assim
q	que	CS	que
vede	vede	VMM02P0	ver
se	se	CSI	se
nos	nos	PP1CP000	nos
podeis	podeis	VMIP2P0	poder
mandar	mandar	VMN0000	mandar
novas	novas	NCFP000	nova
vosas	vossas	DP2FPP	vosso
	,	Fc	,
q	que	CS	que
	,	Fc	,
como	como	SPS00	como
Irmã	irmã	NCFS000	irmão
	,	Fc	,
aliviarei	aliviarei	VMIF1S0	aliviar
as	as	DA0FP0	o
saudades	saudades	NCFP000	saudade
	.	Fp	.
vosa	Vossa	DP2FSP	vosso
molher	mulher	NCFS000	mulher
	,	Fc	,
boa	boa	AQ0FS0	bom
de	de	SPS00	de
saude	saúde	NCFS000	saúde
	.	Fp	.
e	E	CC	e
Migel	Miguel	NP00000	miguel
glz	Gonçalves	NP00000	gonçalves
esteve	esteve	VMIS3S0	estar
ca	cá	RG	cá
nos	nos	SPS00+DA0MP0	em+o
ultimos	últimos	AQ0MP0	último
da	da	SPS00+DA0FS0	de+o
vista	vista	NCFS000	vista
	,	Fc	,
porq	porque	CS	porque
o	o	DA0MS0	o
q	que	PR0CN000	que
abrio	abriu	VMIS3S0	abrir
a	a	DA0FS0	o
porta	porta	NCFS000	porta
os	aos	SPS00+DA0MP0	a+o
prezos	presos	NCMP000	preso
lhe	lhe	PP3CSD00	lhe
deo	deu	VMIS3S0	dar
sertas	certas	AQ0FP0	certo
Cutiladas	cutiladas	NCFP000	cutilada
	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
temos	temos	VMIP1P0	ter
andado	andado	VMP00SM	andar
em	em	SPS00	em
demanda	demanda	NCFS000	demanda
	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
escrivão	escrivão	NCMS000	escrivão
desta	desta	SPS00+PD0FS000	de+este
	,	Fp	.
voço	vosso	DP2MSP	vosso
primo	primo	NCMS000	primo
João	João	NP00000	joão
da	da	SPS00+DA0FS0	de+o
Roza	Rosa	NP00000	rosa
grassa	Graça	NP00000	graça
	,	Fc	,
se	se	P00CN000	se
recomenda	recomenda	VMIP3S0	recomendar
saudozo	saudoso	AQ0MS0	saudoso
	.	Fp	.
e	E	CC	e
com	com	SPS00	com
isto	isto	PD0NN000	isto
estimo	estimo	VMIP1S0	estimar
estares	estares	VMN02S0	estar
com	com	SPS00	com
mto	muito	DI0MS0	muito
aumto	aumento	NCMS000	aumento
e	e	CC	e
q	que	CS	que
pasais	passais	VMIP2P0	passar
bem	bem	RG	bem
	.	Fp	.
Ds	Deus	NP00000	deus
vos	vos	PP2CP000	vos
gde	guarde	VMSP0S0	guardar
como	como	CS	como
mto	muito	RQ	muito
qro	quero	VMIP1S0	querer
	.	Fp	.
Beja	Beja	NP00000	beja
	,	Fc	,
28	28	Z	28
de	de	SPS00	de
março	março	NCMS000	março
de	de	SPS00	de
1734	1734	Z	1734
	.	Fp	.
desta	Desta	SPS00+DD0FS0	de+este
vosa	Vossa	DP2FSP	vosso
Irmã	irmã	NCFS000	irmão
mto	muito	RQ	muito
do	do	SPS00+DA0MS0	de+o
coracão	coração	NCMS000	coração
	,	Fc	,
Romana	Romana	NP00000	romana
da	da	SPS00+DA0FS0	de+o
Roza	Rosa	NP00000	rosa
