Meu	Meu		
snr	senhor		
Po	Pedro		
Roiz	Rodrigues		
Arvelos	Arvelos		
	.		
Huã	Uma	DI0FS0	um
de	de	SPS00	de
vmce	VM	NP00000	VM
recebi	recebi	VMIS1S0	receber
	.	Fp	.
vejo	Vejo	VMIP1S0	ver
nella	nela	SPS00+PP3FS000	em+ele
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
a	à	SPS00+DA0FS0	a+o
recomendação	recomendação	NCFS000	recomendação
q	que	PR0CN000	que
já	já	RG	já
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
por	por	SPS00	por
outra	outra	DI0FS0	outro
ves	vez	NCFS000	vez
de	de	SPS00	de
não	não	RN	não
tornar	tornar	VMN0000	tornar
atras	atrás	RG	atrás
,	.	RG	atrás
a	A	DA0FS0	o
minha	minha	DP1FSS	meu
tenção	tenção	NCFS000	tenção
he	é	VSIP3S0	ser
antes	antes	RG	antes
morrer	morrer	VMN0000	morrer
q	que	CS	que
tornar	tornar	VMN0000	tornar
atras	atrás	RG	atrás
:	,	RG	atrás
porq	porque	CS	porque
já	já	RG	já
esse	esse	DD0MS0	esse
nego	negócio	NCMS000	negócio
não	não	RN	não
corre	corre	VMIP3S0	correr
por	por	SPS00	por
minha	minha	DP1FSS	meu
conta	conta	NCFS000	conta
	,	Fc	,
já	já	RG	já
corre	corre	VMIP3S0	correr
por	por	SPS00	por
conta	conta	NCFS000	conta
do	do	SPS00+DA0MS0	de+o
snr	Senhor	NP00000	senhor
Menino	Menino	NP00000	menino
Ds	Deus	NP00000	deus
da	da	SPS00+DA0FS0	de+o
Porciuncula	Porciúncula	NP00000	porciúncula
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
May	mãe	NCFS000	mãe
	,	Fc	,
a	a	DA0FS0	o
Virgem	Virgem	NP00000	virgem
Sanctissima	Santíssima	NP00000	santo
da	da	SPS00+DA0FS0	de+o
Piede	Piedade	NP00000	piedade
,	.	NP00000	piedade
e	E	CC	e
asim	assim	RG	assim
veja	veja	VMSP0S0	ver
vmce	VM	NP00000	VM
se	se	CSI	se
posso	posso	VMIP1S0	poder
tornar	tornar	VMN0000	tornar
atras	atrás	RG	atrás
mais	mais	RC	mais
porq	porque	CS	porque
	,	Fc	,
tendo	tendo	VAG0000	ter
a	a	SPS00	a
elles	eles	PP3MP000	ele
dado	dado	VMP0000	dar
a	a	DA0FS0	o
posse	posse	NCFS000	o
,	,	Fc	,
nada	nada	PI0NN00N	nada
ja	já	RG	já
he	é	VSIP3S0	ser
meu	meu	PX1MS0S0	meu
;	,	PX1MS0S0	meu
mas	mas	CC	mas
q	que	CS	que
tudo	tudo	PI0NN000	tudo
he	é	VSIP3S0	ser
seu	seu	PX3MS000	seu
,	.	PX3MS000	seu
peço	Peço	VMIP1S0	pedir
a	a	SPS00	a
vmce	VM	NP00000	VM
mto	muito	RQ	muito
