Meu	Meu	DP1MSS	meu
sr	Senhor	NP00000	senhor
	,	Fc	,
depoiz	depois	RG	depois
q	que	CS	que
deixou	deixou	VMIS3S0	deixar
esta	esta	DD0FS0	este
prova	província	NCFS000	província
nos	nos	PP1CP000	nos
perdeo	perdeu	VMIS3S0	perder
o	o	DA0MS0	o
amor	amor	NCMS000	amor
e	e	CC	e
se	se	P00CN000	se
esqueceo	esqueceu	VMIS3S0	esquecer
dos	dos	SPS00+DA0MP0	de+o
amos	amigos	NCMP000	amigo
.	.	Fp	.
Estimo	Estimo	VMIP1S0	estimar
q	que	CS	que
vs	VSa	NP00000	VSa
venha	venha	VMSP0S0	vir
com	com	SPS00	com
saude	saúde	NCFS000	saúde
e	e	CC	e
quero	quero	VMIP1S0	querer
q	que	CS	que
em	em	SPS00	em
qto	quanto	PR0CN000	quanto
le	lhe	PP3CSD00	lhe
dilata	dilata	VMIP3S0	dilatar
desta	desta	SPS00+DD0FS0	de+este
banda	banda	NCFS000	banda
me	me	PP1CS000	me
de	dê	VMSP0S0	dar
mtas	muitas	DI0FP0	muito
ocaziões	ocasiões	NCFP000	ocasião
de	de	SPS00	de
seu	seu	DP3MS0	seu
servico	serviço	NCMS000	serviço
.	.	Fp	.
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vs	VSa	NP00000	VSa
mtos	muitos	DI0MP0	muito
annos	anos	NCMP000	ano
	.	Fp	.
villa	Vila	NP00000	vila
va	Viçosa	NP00000	viçosa
	,	Fc	,
28	28	Z	28
de	de	SPS00	de
Setbro	setembro	NCMS000	setembro
1726	1726	Z	1726
Mto	Muito	RQ	muito
ao	amigo	NCMS000	amigo
e	e	CC	e
mto	muito	RQ	muito
capto	cativo	NCMS000	cativo
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
D	Dom	NP00000	dom
João	João	NP00000	joão
Diogo	Diogo	NP00000	diogo
de	de	SPS00	de
Ataide	Ataíde	NP00000	Ataíde
Sor	Senhor	NP00000	senhor
Luis	Luís	NP00000	luís
Joze	José	NP00000	josé
de	de	SPS00	de
Vascos	Vasconcelos	NP00000	vasconcelos
