Mto	Muito	RQ	muito
Rdo	reverendo	AQ0MS0	reverendo
Snr	senhor	NP00000	senhor
Manoel	Manuel	NP00000	manuel
Lopes	Lopes	NP00000	lopes
da	da	SPS00+DA0FS0	de+o
Chrus	Cruz	NP00000	cruz
	,	Fc	,
estimarei	estimarei	VMIF1S0	estimar
Vmce	VM	NP00000	VM
pase	passe	VMSP0S0	passar
com	com	SPS00	com
a	a	DA0FS0	o
saude	saúde	NCFS000	saúde
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dezejo	desejo	VMIP1S0	desejar
	.	Fp	.
eu	Eu	PP1CSN00	eu
ando	ando	VMIP1S0	andar
quada	cada	DI0CN0	cada
ves	vez	NCFS000	vez
pior	pior	RC	pior
em	em	SPS00	em
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
sentido	sentido	NCMS000	sentido
,	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
Vmce	VM	NP00000	VM
se	se	P00CN000	se
despedise	despedisse	VMSI0S0	despedir
	,	Fc	,
lugar	lugar	NCMS000	lugar
nenhũ	nenhum	DI0MS0	nenhum
tenho	tenho	VMIP1S0	ter
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
dizer	dizer	VMN0000	dizer
couza	coisa	NCFS000	coisa
alguã	alguma	DI0FS0	algum
.	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
suposto	suposto	VMP00SM	supor
isto	isto	PD0NN000	isto
como	como	CS	como
o	o	DA0MS0	o
cazo	caso	NCMS000	caso
seja	seja	VSSP0S0	ser
pa	para	SPS00	para
mim	mim	PP1CSO00	mim
novo	novo	AQ0MS0	novo
	,	Fc	,
suposto	suposto	VMP00SM	supor
velho	velho	AQ0MS0	velho
por	por	SPS00	por
outro	outro	DI0MS0	outro
estilo	estilo	NCMS000	estilo
	,	Fc	,
não	não	RN	não
poso	posso	VMIP1S0	poder
deichar	deixar	VMN0000	deixar
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
dar	dar	VMN0000	dar
parte	parte	NCFS000	parte
	,	Fc	,
pos	pois	CS	pois
ando	ando	VMIP1S0	andar
com	com	SPS00	com
temor	temor	NCMS000	temor
bastante	bastante	AQ0CS0	bastante
dipois	depois	RG	depois
do	do	SPS00+DA0MS0	de+o
soseso	sucesso	NCMS000	sucesso
	,	Fc	,
q	que	CS	que
tambem	também	RG	também
me	me	PP1CS000	me
não	não	RN	não
atrevia	atrevia	VMII0S0	atrever
a	a	SPS00	a
comonicarlho	comunicar-lho	VMN0000+PP3CSD00+PP3MSA00	comunicar+lhe+o
	,	Fc	,
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
	,	Fc	,
fora	fora	SPS00	fora
da	da	SPS00+DA0FS0	de+o
q	que	PR0CN000	que
a	a	SPS00	a
Vmce	VM	NP00000	VM
remeti	remeti	VMIS1S0	remeter
	,	Fc	,
a	a	DA0FS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
mandei	mandei	VMIS1S0	mandar
dizer	dizer	VMN0000	dizer
comtem	contém	VMIP3S0	conter
;	.	Fp	.
tendoa	Tendo-a	VMG0000+PP3FSA00	ter+o
dentro	dentro	RG	dentro
de	de	SPS00	de
hũ	um	DI0MS0	um
livrinho	livrinho	NCMS00D	livro
	,	Fc	,
fui	fui	VMIS1S0	ir
a	a	SPS00	a
vela	vê-la	VMN0000+PP3FSA00	ver+o
pa	para	SPS00	para
serto	certo	AQ0MS0	certo
ifeito	efeito	NCMS000	efeito
,	,	Fc	,
e	e	CC	e
acheia	achei-a	VMIS1S0+PP3FSA00	achar+o
	,	Fc	,
não	não	RN	não
so	só	RG	só
emsangoentada	ensanguentada	VMP00SF	ensanguentar
	,	Fc	,
mas	mas	CC	mais
pingando	pingando	VMG0000	pingar
sangue	sangue	NCMS000	sangue
	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
com	com	SPS00	com
reseio	receio	NCMS000	receio
de	de	SPS00	de
halcansar	alcançar	VMN0000	alcançar
	,	Fc	,
a	a	PP3FSA00	o
meti	meti	VMIS1S0	meter
	,	Fc	,
livro	livro	NCMS000	livro
e	e	CC	e
tudo	tudo	PI0NN000	tudo
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
fugareiro	fogareiro	NCMS000	fogareiro
	.	Fp	.
e	E	CC	e
ainda	ainda	RG	ainda
nas	nas	SPS00+DA0FP0	em+o
chamas	chamas	NCFP000	chama
saltava	saltava	VMII0S0	saltar
	,	Fc	,
de	de	SPS00	de
sorte	sorte	NCFS000	sorte
q	que	CS	que
so	só	RG	só
se	se	P00CN000	se
comsomio	consumiu	VMIS3S0	consumir
quando	quando	CS	quando
eu	eu	PP1CSN00	eu
a	a	PP3FSA00	o
cubrir	cubrir	VMN0000	cubrir
de	de	SPS00	de
brazas	brasas	NCFP000	brasa
	.	Fp	.
e	E	CC	e
dise	disse	VMIS3S0	dizer
o	o	DA0MS0	o
verso	verso	NCMS000	verso
	«	Fra	«
e	e	SPS00	de
de	de	SPS00	de
emchinave	emchinave	X	X
copete	copete	X	X
meo	meu	X	X
emiset	emiset	X	X
de	de	SPS00	de
esperito	espírito	NCMS000	espírito
	»	Frt	»
	.	Fp	.
e	E	CC	e
