Mto	Muito		
meu	meu		
Snr	senhor		
,	,		
dipois	depois		
q	que		
remeti	remeti		
a	a		
Vmce	VM		
a	a		
carta	carta		
de	de		
q	que		
	,		
juntamte	juntamente		
com	com		
o	o		
livro	livro		
,	,		
emtendo	entendo		
estara	estará		
emtregue	entregue		
,	,		
li	li		
outra	outra		
ves	vez		
a	a		
sua	sua		
	,		
como	como		
fose	fosse		
com	com		
mais	mais		
vagar	vagar		
	,		
dandolhe	dando-lhe		
mais	mais		
atenção	atenção		
,	.		
vejo	Vejo		
q	que		
persiza	precisa		
de	de		
resposta	resposta		
o	o		
q	que		
Vmce	VM		
me	me		
dis	diz		
	,		
q	que		
eu	eu		
emtendo	entendo		
	,		
q	que		
as	as		
particulas	partículas		
tem	têm		
virtude	virtude		
,	,		
pa	para		
os	os		
ifeitos	efeitos		
q	que		
Vmce	VM		
supoem	supõe		
,	.		
a	A		
q	que		
respondo	respondo		
q	que		
mal	mal		
pode	pode		
Vmce	VM		
supor	supor		
com	com		
aserto	acerto		
o	o		
q	que		
he	é		
tão	tão		
dificultozo	dificultoso		
	.		
e	E		
eu	eu		
	,		
suposto	suposto		
me	me		
não	não		
comfese	confesse		
	,		
pela	pela		
sua	sua		
virtude	virtude		
e	e		
pelo	pelo		
mais	mais		
q	que		
sabe	sabe		
	,		
lhe	lhe		
digo	digo		
,	,		
inda	ainda		
fora	fora		
de	de		
comfição	confissão		
;	,		
q	que		
pa	para		
q	que		
tenho	tenho		
tirado	tirado	VMP0000	
as	as	VMP0000	
tres	três	VMP0000	
couzas	coisas	VMP0000	
	.	VMP0000	
huma	Uma	VMP0000	
q	que	VMP0000	
ja	já	VMP0000	
dise	disse	VMP0000	
perdi	perdi	VMP0000	
,	,	VMP0000	
outra	outra	VMP0000	
q	que	VMP0000	
lhe	lhe	VMP0000	
mandei	mandei	VMP0000	
,	,	VMP0000	
e	e	VMP0000	
outra	outra	VMP0000	
q	que	VMP0000	
comsomi	consumi	VMP0000	
,	.	VMP0000	
he	É	VMP0000	
q	que	VMP0000	
	,	VMP0000	
como	como	VMP0000	
tivese	tivesse	VMP0000	
tres	três	VMP0000	
partos	partos	VMP0000	
	,	VMP0000	
não	não	VMP0000	
de	de	VMP0000	
pesoa	pessoa	VMP0000	
umana	humana	VMP0000	
	,	VMP0000	
suposto	suposto	VMP0000	
ajuizes	ajuizes	VMP0000	
na	na	VMP0000	
sua	sua	VMP0000	
forma	forma	VMP0000	
	,	VMP0000	
nem	nem	VMP0000	
tambem	também	VMP0000	
fosem	fossem	VMP0000	
criaturas	criaturas	VMP0000	
as	as	VMP0000	
q	que	VMP0000	
rezultarão	resultaram	VMP0000	
das	das	VMP0000	
tais	tais	VMP0000	
ocaziois	ocasiões	VMP0000	
	,	VMP0000	
o	o	VMP0000	
faso	faço	VMP0000	
por	por	VMP0000	
fineza	fineza	VMP0000	
ao	ao	VMP0000	
pai	pai	VMP0000	
,	,	VMP0000	
por	por	VMP0000	
ozequio	obséquio	VMP0000	
ao	ao	VMP0000	
q	que	VMP0000	
dele	dele	VMP0000	
e	em	VMP0000	
mim	mim	VMP0000	
porsede	procede	VMP0000	
	,	VMP0000	
e	e	VMP0000	
a	a	VMP0000	
mim	mim	VMP0000	
	,	VMP0000	
por	por	VMP0000	
gosto	gosto	VMP0000	
	,	VMP0000	
alem	além	VMP0000	
doutras	doutras	VMP0000	
sircunstançias	circunstâncias	VMP0000	
q	que	VMP0000	
não	não	VMP0000	
direi	direi	VMP0000	
	,	VMP0000	
nem	nem	VMP0000	
a	a	VMP0000	
Vmce	VM	VMP0000	
nem	nem	VMP0000	
a	a	VMP0000	
pesoa	pessoa	VMP0000	
alguã	alguma	VMP0000	
,	,	VMP0000	
em	em	VMP0000	
nenhũ	nenhum	VMP0000	
tempo	tempo	VMP0000	
,	,	VMP0000	
pois	pois	VMP0000	
me	me	VMP0000	
achei	achei	VMP0000	
tão	tão	VMP0000	
mal	mal	VMP0000	
com	com	VMP0000	
a	a	VMP0000	
remesa	remesa	VMP0000	
q	que	VMP0000	
a	a	VMP0000	
Vmce	VM	VMP0000	
fis	fiz	VMP0000	
,	.	VMP0000	
e	E	VMP0000	
tive	tive	VMP0000	
tais	tais	VMP0000	
disgostos	desgostos	VMP0000	
,	,	VMP0000	
com	com	VMP0000	
qm	quem	VMP0000	
	,	VMP0000	
não	não	VMP0000	
digo	digo	VMP0000	
	.	VMP0000	
como	Como	VMP0000	
eu	eu	VMP0000	
expermentei	experimentei	VMP0000	
mto	muito	VMP0000	
o	o	VMP0000	
meu	meu	VMP0000	
pezar	pesar	VMP0000	
,	,	VMP0000	
pelo	pelo	VMP0000	
q	que	VMP0000	
não	não	VMP0000	
ademetirei	admitirei	VMP0000	
nunca	nunca	VMP0000	
