Meu	Meu	DP1MSS	meu
sor	Senhor	NP00000	senhor
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
escrivi	escrevi	VMIS1S0	escrever
a	a	SPS00	a
vmce	VM	NP00000	VM
huma	uma	DI0FS0	um
carta	carta	NCFS000	carta
	,	Fc	,
em	em	SPS00	em
coal	qual	PR0CS000	qual
não	não	RN	não
tenho	tenho	VAIP1S0	ter
tido	tido	VMP0000	ter
Resposta	resposta	NCFS000	resposta
	.	Fp	.
he	E	CC	e
	,	Fc	,
se	se	CS	se
he	é	VSIP3S0	ser
por	por	SPS00	por
vmce	VM	NP00000	VM
não	não	RN	não
vir	vir	VMN0000	vir
no	no	SPS00+DA0MS0	em+o
conhecimto	conhecimento	NCMS000	conhecimento
	,	Fc	,
eu	eu	PP1CSN00	eu
sou	sou	VSIP1S0	ser
sobrinha	sobrinha	NCFS000	sobrinho
do	do	SPS00+DA0MS0	de+o
mercador	mercador	NCMS000	mercador
Mel	Manuel	NP00000	manuel
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
fra	Ferreira	NP00000	ferreira
	,	Fc	,
q	que	PR0CN000	que
se	se	P00CN000	se
auzento	ausentou	VMIS3S0	ausentar
pa	para	SPS00	para
castela	Castela	NP00000	castela
	.	Fp	.
o	O	DA0MS0	o
q	que	PR0CN000	que
fio	fio	VMIP1S0	fiar
na	na	SPS00+DA0FS0	em+o
grandeza	grandeza	NCFS000	grandeza
de	de	SPS00	de
vmce	VM	NP00000	VM
me	me	PP1CS000	me
nao	não	RN	não
falte	falte	VMSP0S0	faltar
com	com	SPS00	com
resposta	resposta	NCFS000	resposta
he	e	CC	e
despache	despache	VMSP0S0	despachar
esta	esta	DD0FS0	este
piticão	petição	NCFS000	petição
tam	tão	RC	tão
justa	justa	AQ0FS0	justo
plo	pelo	SPS00+DA0MS0	por+o
portador	portador	NCMS000	portador
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
seguro	seguro	AQ0MS0	seguro
vmce	VM	NP00000	VM
Responder	responder	VMN0000	responder
	.	Fp	.
vmce	VM	NP00000	VM
me	me	PP1CS000	me
favoreza	favoreça	VMSP0S0	favorecer
com	com	SPS00	com
huma	uma	DI0FS0	um
esmola	esmola	NCFS000	esmola
e	e	CC	e
protesto	protesto	NCMS000	protesto
não	não	RN	não
emfadar	enfadar	VMN0000	enfadar
a	a	DA0FS0	o
vmce	VM	NP00000	VM
	,	Fc	,
pois	pois	CS	pois
estou	estou	VMIP1S0	estar
de	de	SPS00	de
caminho	caminho	NCMS000	caminho
	.	Fp	.
serva	Serva	NCFS000	servo
de	de	SPS00	de
vmce	VM	NP00000	VM
	,	Fc	,
felipa	Filipa	NP00000	filipa
Maria	Maria	NP00000	maria
