ja	Já	RG	já
lhe	lhe	PP3CSD00	lhe
disse	disse	VMIS3S0	dizer
a	a	SPS00	a
VMce	VM	NP00000	VM
que	que	CS	que
ao	ao	SPS00+DA0MS0	a+o
do	dito	VMP00SM	dizer
Anto	António	NP00000	antónio
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
as	as	DA0FP0	o
rendas	rendas	NCFP000	renda
lhe	lhe	PP3CSD00	lhe
hey	hei	VMIP1S0	haver
de	de	SPS00	de
dar	dar	VMN0000	dar
a	a	SPS00	a
VMce	VM	NP00000	VM
	.	Fp	.
irão	Irão	VMIF3P0	ir
os	os	DA0MP0	o
sete	sete	Z	sete
mos	moios	NCMP000	moio
de	de	SPS00	de
tro	trigo	NCMS000	trigo
e	e	CC	e
qto	quanto	PR0MS000	quanto
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
deve	deve	VMIP3S0	dever
a	a	SPS00	a
VMce	VM	NP00000	VM
do	do	SPS00+DA0MS0	de+o
veram	verão	NCMS000	verão
pasado	passado	VMP00SM	passar
ser	ser	VSN0000	ser
pago	pago	VMP00SM	pagar
q	que	CS	que
na	na	SPS00+DA0FS0	em+o
pa	primeira	NCFS000	primeira
ou	ou	CC	ou
hey	hei	VMIP1S0	haver
de	de	SPS00	de
contra	contra	SPS00	contra
os	os	DA0MP0	o
Rendros	rendeiros	NCMP000	rendeiro
	.	Fp	.
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
como	como	PA000000	como
pode	pode	VMIP3S0	poder
	.	Fp	.
Angra	Angra	NP00000	angra
	,	Fc	,
Maio	maio	NCMS000	maio
de	de	SPS00	de
1769	1769	Z	1769
	.	Fp	.
C	Criado	NCMS000	criado
de	de	SPS00	de
VMce	VM	NP00000	VM
	,	Fc	,
Anto	António	NP00000	antónio
giraldes	Giraldes	NP00000	giraldes
