Illmo	Ilustríssimo	AQSMS0	ilustre
e	e	CC	e
Sr	Senhor	NP00000	senhor
Franco	Francisco	NP00000	francisco
de	de	SPS00	de
Souza	Sousa	NP00000	sousa
e	e	CC	e
Castro	Castro	NP00000	castro
Estimo	Estimo	VMIP1S0	estimar
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
chegada	chegada	NCFS000	chegada
e	e	CC	e
bomas	boas	AQ0FP0	bom
notas	notícias	NCFP000	notícia
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
saude	saúde	NCFS000	saúde
	.	Fp	.
Ademirame	Admira-me	VMIP3S0+PP1CS000	admirar+me
que	que	CS	que
VS	VSa	NP00000	VSa
obre	obre	VMSP0S0	obrar
áçois	ações	NCFP000	ação
por	por	SPS00	por
hum	um	DI0MS0	um
modo	modo	NCMS000	modo
tam	tão	RC	tão
groçeiro	grosseiro	AQ0MS0	grosseiro
	.	Fc	.
depois	Depois	RG	depois
de	de	SPS00	de
minha	minha	DP1FSS	meu
filha	filha	NCFS000	filho
ter	ter	VMN0000	ter
a	a	DA0FS0	o
primeira	primeira	AO0FS0	primeiro
lembrança	lembrança	NCFS000	lembrança
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
instante	instante	NCMS000	instante
em	em	SPS00	em
que	que	PR0CN000	que
se	se	P00CN000	se
vio	viu	VMIS3S0	ver
com	com	SPS00	com
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
susseso	sucesso	NCMS000	sucesso
	,	Fc	,
avizar	avisar	VMN0000	avisar
a	a	DA0FS0	o
Vsa	VSa	NP00000	VSa
por	por	SPS00	por
hum	um	DI0MS0	um
proprio	próprio	NCMS000	próprio
e	e	CC	e
não	não	RN	não
vir	vir	VMN0000	vir
logo	logo	RG	logo
direito	direito	RG	direito
a	a	SPS00	a
sua	sua	DP3FS0	seu
caza	casa	NCFS000	casa
	.	Fp	.
no	No	SPS00+DA0MS0	em+o
mesmo	mesmo	AQ0MS0	mesmo
instante	instante	NCMS000	instante
em	em	SPS00	em
que	que	PR0CN000	que
recebeo	recebeu	VMIS3S0	receber
a	a	DA0FS0	o
nota	notícia	NCFS000	notícia
	,	Fc	,
havia	havia	VMII0S0	haver
de	de	SPS00	de
partir	partir	VMN0000	partir
logo	logo	RG	logo
sem	sem	SPS00	sem
mais	mais	RC	mais
demora	demora	NCFS000	demora
	.	Fp	.
porem	Porém	RG	porém
o	o	PP3MSA00	o
disculpo	desculpo	VMIP1S0	desculpar
atendendo	atendendo	VMG0000	atender
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
idade	idade	NCFS000	idade
e	e	CC	e
não	não	RN	não
ter	ter	VMN0000	ter
qm	quem	PR0CN000	quem
lhe	lhe	PP3CSD00	lhe
de	dê	VMSP0S0	dar
concelhos	conselhos	NCMP000	conselho
de	de	SPS00	de
honrra	honra	NCFS000	honra
	.	Fp	.
emqto	Enquanto	CS	enquanto
ao	ao	SPS00+DA0MS0	a+o
que	que	PR0CN000	que
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
	,	Fc	,
fasso	faço	VMIP1S0	fazer
tenção	tenção	NCFS000	tenção
asistir	assistir	VMN0000	assistir
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
filha	filha	NCFS000	filho
porque	porque	CS	porque
ella	ela	PP3FS000	ele
mo	mo	PP1CS000+PP3MSA00	me+o
pede	pede	VMIP3S0	pedir
	.	Fp	.
e	E	CC	e
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
que	que	PR0CN000	que
respeita	respeita	VMIP3S0	respeitar
ao	ao	SPS00+DA0MS0	a+o
Boticario	boticário	NCMS000	boticário
	,	Fc	,
prezentemte	presentemente	RG	presentemente
lhe	lhe	PP3CSD00	lhe
sou	sou	VSIP1S0	ser
obrigado	obrigado	VMP00SM	obrigar
e	e	CC	e
minha	minha	DP1FSS	meu
fa	filha	NCFS000	filho
	.	Fp	.
asim	Assim	CS	assim
	,	Fc	,
não	não	RN	não
devo	devo	VMIP1S0	dever
ser	ser	VSN0000	ser
ingrato	ingrato	AQ0MS0	ingrato
a	a	SPS00	a
qm	quem	PR0CN000	quem
me	me	PP1CS000	me
serve	serve	VMIP3S0	servir
,	.	Fp	.
eu	Eu	PP1CSN00	eu
estimarei	estimarei	VMIF1S0	estimar
mto	muito	RQ	muito
que	que	CS	que
Vsa	VSa	NP00000	VSa
obre	obre	VMSP0S0	obrar
sempre	sempre	RG	sempre
com	com	SPS00	com
a	a	DA0FS0	o
honrra	honra	NCFS000	honra
que	que	PR0CN000	que
se	se	P00CN000	se
espera	espera	VMIP3S0	esperar
	,	Fc	,
não	não	RN	não
dando	dando	VMG0000	dar
credito	crédito	NCMS000	crédito
a	a	SPS00	a
redicolarias	ridicularias	NCFP000	ridicularia
nem	nem	CC	nem
a	a	SPS00	a
pessoas	pessoas	NCFP000	pessoa
que	que	PR0CN000	que
querem	querem	VMIP3P0	querer
ver	ver	VMN0000	ver
desordens	desordens	NCFP000	desordem
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
caza	casa	NCFS000	casa
,	.	Fp	.
o	O	DA0MS0	o
que	que	PR0CN000	que
deve	deve	VMIP3S0	dever
he	é	VSIP3S0	ser
fazer	fazer	VMN0000	fazer
compa	companhia	NCFS000	companhia
á	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
Molher	mulher	NCFS000	mulher
	,	Fc	,
que	que	CS	que
de	de	SPS00	de
outra	outra	DI0FS0	outro
sorte	sorte	NCFS000	sorte
lhe	lhe	PP3CSD00	lhe
fica	fica	VMIP3S0	ficar
mal	mal	NCMS000	mal
	.	Fp	.
e	E	CC	e
por	por	SPS00	por
tempo	tempo	NCMS000	tempo
ha	há	VMIP3S0	haver
de	de	SPS00	de
conheçer	conhecer	VMN0000	conhecer
o	o	DA0MS0	o
qto	quanto	PR0CN000	quanto
lhe	lhe	PP3CSD00	lhe
he	é	VSIP3S0	ser
inportante	importante	AQ0CS0	importante
a	a	DA0FS0	o
boma	boa	AQ0FS0	bom
união	união	NCFS000	união
e	e	CC	e
conservação	conservação	NCFS000	conservação
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
caza	casa	NCFS000	casa
,	.	Fp	.
D	Dona	NP00000	dona
Getrudes	Gertrudes	NP00000	gertrudes
e	e	CC	e
Maria	Maria	NP00000	maria
Getrudes	Gertrudes	NP00000	gertrudes
se	se	P00CN000	se
recomendão	recomendam	VMIP3P0	recomendar
e	e	CC	e
agradesem	agradecem	VMIP3P0	agradecer
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
Lca	lembrança	NCFS000	lembrança
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
da	da	SPS00+DA0FS0	de+o
mesma	mesma	AQ0FS0	mesmo
sorte	sorte	NCFS000	sorte
por	por	SPS00	por
ser	ser	VSN0000	ser
	...	Fs	...
De	De	SPS00	de
VSa	VSa	NP00000	VSa
Amigo	amigo	NCMS000	amigo
mto	muito	DI0MS0	muito
affectivo	afetivo	AQ0MS0	afetivo
e	e	CC	e
obgdo	obrigado	VMP00SM	obrigar
	,	Fc	,
Rodrigo	Rodrigo	NP00000	rodrigo
Rebello	Rebelo	NP00000	rebelo
Pxto	Peixoto	NP00000	peixoto
Azevedo	Azevedo	NP00000	azevedo
e	e	CC	e
Castro	Castro	NP00000	castro
