Amores	Amores	NCMP000	amor
	,	Fc	,
bem	bem	RG	bem
senti	senti	VMIS1S0	sentir
eu	eu	PP1CSN00	eu
o	o	DA0MS0	o
vireste	vires-te	VMSF2S0+PP2CS000	ver+te
tu	tu	PP2CSN00	tu
hoje	hoje	RG	hoje
molestar	molestar	VMN0000	molestar
ca	cá	RG	cá
baixo	abaixo	RG	abaixo
	.	Fp	.
mas	Mas	CC	mas
poq	porque	CS	porque
com	com	SPS00	com
se	se	P00CN000	se
não	não	RN	não
torne	torne	VMSP0S0	tornar
a	a	SPS00	a
emganar	enganar	VMN0000	enganar
com	com	SPS00	com
o	o	DA0MS0	o
sinal	sinal	NCMS000	sinal
branco	branco	AQ0MS0	branco
	,	Fc	,
dizella	dize-la	VMN0000+PP3FSA00	dizer+o
q	que	CS	que
so	só	RG	só
qdo	quando	CS	quando
vir	vir	VMN0000	vir
couza	coisa	NCFS000	coisa
emcarnada	encarnada	AQ0FS0	encarnado
na	na	SPS00+DA0FS0	em+o
jenela	janela	NCFS000	janela
te	te	PP2CS000	te
avize	avise	VMSP0S0	avisar
q	que	CS	que
he	é	VSIP3S0	ser
serto	certo	AQ0MS0	certo
o	o	DA0MS0	o
aver	haver	VMN0000	haver
ocazião	ocasião	NCFS000	ocasião
pa	para	SPS00	para
falares	falares	VMN02S0	falar
com	com	SPS00	com
frra	Ferreira	NP00000	ferreira
como	como	CS	como
estoutro	estoutro	DI0MS0	estoutro
dia	dia	NCMS000	dia
	.	Fp	.
e	E	CC	e
	,	Fc	,
não	não	RN	não
avendo	havendo	VMG0000	haver
	,	Fc	,
não	não	RN	não
he	é	VSIP3S0	ser
sinal	sinal	NCMS000	sinal
;	.	Fp	.
e	E	CC	e
desta	desta	SPS00+DD0FS0	de+este
somana	semana	NCFS000	semana
não	não	RN	não
escapamos	escapamos	VMIP3S0	escapar
de	de	SPS00	de
nos	nos	PP1CP000	nos
hirmos	irmos	VMN01P0	ir
	,	Fc	,
e	e	CC	e
asï	assim	RG	assim
que	que	CS	que
não	não	RN	não
ha	há	VMIP3S0	haver
vagar	vagar	NCMS000	vagar
pa	para	SPS00	para
mais	mais	RC	mais
	,	Fc	,
porq	porque	CS	porque
nos	nos	PP1CP000	nos
tem	tem	VAIP3S0	ter
posto	posto	VMP0000	pôr
em	em	SPS00	em
serco	cerco	NCMS000	cerco
e	e	CC	e
uso	uso	NCMS000	uso
	.	Fp	.
pa	Para	SPS00	para
min	mim	PP1CSO00	mim
te	te	PP2CS000	te
gde	guarde	VMSP0S0	guardar
como	como	PA000000	como
mto	muito	RQ	muito
qro	quero	VMIP1S0	querer
e	e	CC	e
dezo	desejo	VMIP1S0	desejar
	.	Fp	.
Tua	Tua	PX2FS0S0	teu
athe	até	SPS00	até
morte	morte	NCFS000	morte
	.	Fp	.
