Minha	Minha	DP1FSS	meu
mulher	mulher	NCFS000	mulher
	,	Fc	,
não	não	RN	não
serve	serve	VMIP3S0	servir
esta	esta	PD0FS000	este
mais	mais	RC	mais
do	do	SPS00+DA0MS0	de+o
q	que	CS	que
procurar	procurar	VMN0000	procurar
pella	pela	SPS00+DA0FS0	por+o
vosa	vossa	DP2FSP	vosso
saude	saúde	NCFS000	saúde
	,	Fc	,
que	que	PR0CN000	que
estimarey	estimarei	VMIF1S0	estimar
seya	seja	VSSP0S0	ser
comforme	conforme	SPS00	conforme
eu	eu	PP1CSN00	eu
dezeyo	desejo	VMIP1S0	desejar
	.	Fp	.
esta	Esta	PD0FS000	este
não	não	RN	não
serve	serve	VMIP3S0	servir
mais	mais	RC	mais
do	do	SPS00+DA0MS0	de+o
que	que	CS	que
procurar	procurar	VMN0000	procurar
	,	Fc	,
digo	digo	VMIP1S0	dizer
	,	Fc	,
deves	deves	VMIP2S0	dever
avizar	avisar	VMN0000	avisar
que	que	CS	que
eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
prezo	preso	AQ0MSP	preso
em	em	SPS00	em
souzel	Sousel	NP00000	sousel
	,	Fc	,
porque	porque	CS	porque
	,	Fc	,
estando	estando	VMG0000	estar
eu	eu	PP1CSN00	eu
em	em	SPS00	em
estremos	Estremoz	NP00000	estremoz
	,	Fc	,
me	me	PP1CS000	me
trouxe	trouxe	VMIS3S0	trazer
emgando	enganado	VMP00SM	enganar
Bento	Bento	NP00000	bento
Luis	Luís	NP00000	luís
	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
não	não	RN	não
mesisco	mesisco	X	X
senão	senão	CC	senão
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
vos	vos	PP2CP000	vos
tinha	tinha	VAIP3S0	ter
dito	dito	VMP0000	dizer
mtas	muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
quem	quem	PR0CN000	quem
naseo	nasceu	VMIS3S0	nascer
pa	para	SPS00	para
trabalhos	trabalhos	NCMP000	trabalho
ha	há	VMIP3S0	haver
de	de	SPS00	de
pagallos	pagá-los	VMN0000+PP1MPA00	pagar+o
	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
tende	tende	VMM02S0	ter
mta	muita	DI0FS0	muito
pasiensa	paciência	NCFS000	paciência
e	e	CC	e
emcomendame	encomenda-me	VMM02S0+PP1CS000	encomendar+me
a	a	SPS00	a
deos	Deus	NP00000	deus
nas	nas	SPS00+DA0FP0	em+o
vosas	vossas	DP2FPP	vosso
orasois	orações	NCFP000	oração
	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
tabem	também	RG	também
terei	terei	VMIF1S0	ter
ese	esse	DD0MS0	esse
cudado	cuidado	NCMS000	cuidado
	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
se	se	CS	se
vou	vou	VMIP1S0	ir
prezo	preso	AQ0MSP	preso
	,	Fc	,
he	é	VSIP3S0	ser
pello	pelo	SPS00+DA0MS0	por+o
que	que	PR0CN000	que
tinha	tinha	VAIP3S0	ter
dito	dito	VMP0000	dizer
	.	Fp	.
mta	Muita	DI0FS0	muito
pasiencia	paciência	NCFS000	paciência
e	e	CC	e
dando	dando	VMG0000	dar
	,	Fc	,
quato	quanto	PR0MS000	quanto
que	que	CS	que
asim	assim	RG	assim
seja	seja	VSSP0S0	ser
	.	Fp	.
quando	Quando	CS	quando
for	for	VMSF0S0	ir
a	a	DA0FS0	o
leva	leva	NCFS000	leva
	,	Fc	,
mandame	manda-me	VMIP3S0+PP1CS000	mandar+me
humas	umas	DI0FP0	um
meias	meias	NCFP000	meia
e	e	CC	e
alguma	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
	.	Fp	.
Ds	Deus	NP00000	deus
vos	vos	PP2CP000	vos
ge	guarde	VMSP0S0	guardar
ms	muitos	DI0MP0	muito
anns	anos	NCMP000	ano
	.	Fp	.
Souzel	Sousel	NP00000	Sousel
	,	Fc	,
9	9	Z	9
d	de	SPS00	de
mco	março	NCMS000	março
d	de	SPS00	de
1735	1735	Z	1735
deste	Deste	SPS00+DD0MS0	de+este
voso	vosso	DP2MSP	vosso
marido	marido	NCMS000	marido
	,	Fc	,
Joze	José	NP00000	josé
Soares	Soares	NP00000	soares
