Minha	Minha	DP1FSS	meu
Maricas	Maricas	NP00000	maricas
.	.	Fp	.
Coisas	Coisas	NCFP000	coisa
Lembrão	lembram	VMIP3P0	lembrar
a	a	DA0FS0	o
gente	gente	NCFS000	gente
q	que	CS	que
he	é	VSIP3S0	ser
pasmar	pasmar	VMN0000	pasmar
.	.	Fp	.
Sabes	Sabes	VMIP2S0	saber
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
lembra	lembra	VMIP3S0	lembrar
agora	agora	RG	agora
!	?	Fit	?
Lembramme	Lembram-me	VMIP3P0+PP1CS000	lembrar+me
aquelas	aquelas	DD0FP0	aquele
Uvas	uvas	NCFP000	uva
q	que	PR0CN000	que
pediste	pediste	VMIS2S0	pedir
mto	muito	RQ	muito
a	à	SPS00+DA0FS0	a+o
Tharesa	Teresa	NP00000	teresa
q	que	CS	que
te	te	PP2CS000	te
trouxesse	trouxesse	VMSI0S0	trazer
pa	para	SPS00	para
as	as	PP3FPA00	o
comeres	comeres	VMN02S0	comer
.	.	Fp	.
Mto	Muito	RQ	muito
amiga	amiga	NCFS000	amigo
es	és	VSIP2S0	ser
de	de	SPS00	de
Uvas	uvas	NCFP000	uva
.	!	Fa	!
Aqui	Aqui	RG	aqui
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
neste	neste	SPS00+DD0MS0	em+este
convto	convento	NCMS000	convento
	,	Fc	,
agora	agora	RG	agora
morador	morador	NCMS000	morador
	,	Fc	,
aquele	aquele	DD0MS0	aquele
chorista	corista	NCMS000	corista
de	de	SPS00	de
cascaes	Cascais	NP00000	cascais
q	que	PR0CN000	que
ahi	aí	RG	aí
esteve	esteve	VMIS3S0	estar
em	em	SPS00	em
cintra	Sintra	NP00000	sintra
nesse	nesse	SPS00+DD0MS0	em+esse
convto	convento	NCMS000	convento
.	.	Fp	.
Este	Este	PD0MS000	este
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
q	que	CS	que
lá	lá	RG	lá
déra	dera	VMIM0S0	dar
huma	uma	DI0FS0	um
caxinha	caixinha	NCFS00D	caixa
de	de	SPS00	de
massilha	massilha	NCFS000	massilha
a	a	SPS00	a
huma	uma	DI0FS0	um
Rapariga	rapariga	NCFS000	rapaz
mto	muito	RQ	muito
bonita	bonita	AQ0FS0	bonito
;	.	Fp	.
Logo	Logo	RG	logo
me	me	PP1CS000	me
lembrou	lembrou	VMIS3S0	lembrar
se	se	CSI	se
serias	serias	VSIC2S0	ser
tu	tu	PP2CSN00	tu
;	,	Fc	,
mas	mas	CC	mas
tambem	também	RG	também
logo	logo	RG	logo
me	me	PP1CS000	me
ocorreo	ocorreu	VMIS3S0	ocorrer
q	que	CS	que
se	se	CS	se
tu	tu	PP2CSN00	tu
foras	foras	VSIM2S0	ser
q	que	CS	que
mo	mo	PP1CS000+PP3MSA00	me+o
havias	havias	VMII2S0	haver
ter	ter	VAN0000	ter
dito	dito	VMP0000	dizer
.	.	Fp	.
Sabe	Sabe	VMIP3S0	saber
q	que	CS	que
dei	dei	VMIS1S0	dar
agora	agora	RG	agora
em	em	SPS00	em
se	se	P00CN000	se
me	me	PP1CS000	me
não	não	RN	não
dar	dar	VMN0000	dar
de	de	SPS00	de
nada	nada	PI0NN00N	nada
;	.	Fp	.
Vivo	Vivo	VMIP1S0	vivar
ocioso	ocioso	AQ0MS0	ocioso
comendo	comendo	VMG0000	comer
mto	muito	RQ	muito
bem	bem	RG	bem
,	,	Fc	,
sem	sem	SPS00	sem
cuidar	cuidar	VMN0000	cuidar
em	em	SPS00	em
coisa	coisa	NCFS000	coisa
nenhuma	nenhuma	DI0FS0	nenhum
	,	Fc	,
porq	porque	CS	porque
assim	assim	RG	assim
he	é	VSIP3S0	ser
bom	bom	AQ0MS0	bom
pa	para	SPS00	para
a	a	DA0FS0	o
saude	saúde	NCFS000	saúde
;	.	Fp	.
Mandame	Manda-me	VMM02S0+PP1CS000	mandar+me
diser	dizer	VMN0000	dizer
se	se	CSI	se
te	te	PP2CS000	te
parece	parece	VMIP3S0	parecer
isto	isto	PD0NN000	isto
bem	bem	RG	bem
,	,	Fc	,
q	que	CS	que
	,	Fc	,
se	se	CS	se
não	não	RN	não
te	te	PP2CS000	te
parecer	parecer	VMN0000	parecer
bem	bem	RG	bem
,	,	Fc	,
tomarei	tomarei	VMIF1S0	tomar
o	o	DA0MS0	o
teu	teu	DP2MSS	teu
parecer	parecer	NCMS000	parecer
;	.	Fp	.
E	E	CC	e
aDs	adeus	I	adeus
	,	Fc	,
q	que	CS	que
te	te	PP2CS000	te
não	não	RN	não
qro	quero	VMIP1S0	querer
mortificar	mortificar	VMN0000	mortificar
mais	mais	RC	mais
	,	Fc	,
etc	etc	NCMS000	etc
	.	Fp	.
mto	Muito	RQ	muito
teu	teu	DP2MSS	teu
Amte	amante	AQ0CS0	amante
	,	Fc	,
J	João	NP00000	joão
M	Madre	NP00000	madre
