j	Jesus	NP00000	jesus
M	Maria	NP00000	maria
j	José	NP00000	josé
	.	Fp	.
Meu	Meu	DP1MSS	meu
primo	primo	NCMS000	primo
	,	Fc	,
por	por	SPS00	por
não	não	RN	não
demorar	demorar	VMN0000	demorar
a	a	SPS00	a
Vmce	VM	NP00000	VM
e	e	CC	e
as	as	DA0FP0	o
mades	madres	NCFP000	madre
com	com	SPS00	com
arengas	arengas	NCFP000	arenga
	,	Fc	,
me	me	PP1CS000	me
rezolvo	resolvo	VMIP1S0	resolver
a	a	SPS00	a
dizerlhe	dizer-lhe	VMN0000+PP3CSD00	dizer+lhe
por	por	SPS00	por
letra	letra	NCFS000	letra
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
he	é	VSIP3S0	ser
persizo	preciso	AQ0MS0	preciso
	.	Fp	.
primeiramte	Primeiramente	RG	primeiramente
	,	Fc	,
saiba	saiba	VMSP0S0	saber
sinto	sinto	VMIP1S0	sentir
q	que	CS	que
Vmce	VM	NP00000	VM
perdese	perdesse	VMSI0S0	perder
a	a	SPS00	a
minha	minha	DP1FSS	meu
carta	carta	NCFS000	carta
	,	Fc	,
q	que	CS	que
agora	agora	RG	agora
sei	sei	VMIP1S0	saber
não	não	RN	não
era	era	VMIP3S0	era
pa	para	SPS00	para
Vmce	VM	NP00000	VM
e	e	CC	e
foi	foi	VMIS3S0	ir
imgano	engano	NCMS000	engano
no	no	SPS00+DA0MS0	em+o
sobreiscrito	sobrescrito	NCMS000	sobrescrito
	.	Fp	.
era	Era	VSII0S0	ser
pa	para	SPS00	para
huã	uma	DI0FS0	um
pesoa	pessoa	NCFS000	pessoa
desta	desta	SPS00+DD0FS0	de+este
terra	terra	NCFS000	terra
de	de	SPS00	de
virtude	virtude	NCFS000	virtude
	,	Fc	,
e	e	CC	e
a	a	SPS00	a
tal	tal	RC	tal
carta	carta	NCFS000	carta
era	era	VMIP3S0	era
de	de	SPS00	de
comsiençia	consciência	NCFS000	consciência
	.	Fp	.
logo	Logo	RG	logo
Vmce	VM	NP00000	VM
perdeo	perdeu	VMIS3S0	perder
esa	essa	DD0FS0	esse
	,	Fc	,
não	não	RN	não
perdendo	perdendo	VMG0000	perder
nunca	nunca	RG	nunca
outra	outra	DI0FS0	outro
	.	Fp	.
se	Se	CS	se
eu	eu	PP1CSN00	eu
soubera	soubera	VMIM0S0	saber
o	o	DA0MS0	o
fim	fim	NCMS000	fim
q	que	CS	que
ela	ela	PP3FS000	ele
avia	havia	VMII0S0	haver
de	de	SPS00	de
ter	ter	VMN0000	ter
	,	Fc	,
antes	antes	RG	antes
a	a	SPS00	a
não	não	RN	não
escrevera	escrevera	VMIM0S0	escrever
	.	Fp	.
mas	Mas	CC	mas
não	não	RN	não
sei	sei	VMIP1S0	saber
como	como	CS	como
estava	estava	VMII0S0	estar
nesa	nessa	SPS00+DD0FS0	em+esse
manhã	manhã	NCFS000	manhã
de	de	SPS00	de
sigunda feira	segunda-feira	NCFS000	segunda-feira
	,	Fc	,
q	que	CS	que
parese	parece	VMIP3S0	parecer
estava	estava	VMII0S0	estar
tonta	tonta	NCFS000	tonta
	.	Fp	.
primeiramte	Primeiramente	RG	primeiramente
	,	Fc	,
escrevi	escrevi	VMIS1S0	escrever
duas	duas	Z	duas
pa	para	SPS00	para
o	o	DA0MS0	o
alentejo	Alentejo	NP00000	alentejo
	,	Fc	,
pa	para	SPS00	para
o	o	DA0MS0	o
correio	correio	NCMS000	correio
	,	Fc	,
huã	uma	DI0FS0	um
pa	para	SPS00	para
a	a	DA0FS0	o
dita	dita	NCFS000	dita
pesoa	pessoa	NCFS000	pessoa
e	e	CC	e
outra	outra	DI0FS0	outro
pa	para	SPS00	para
Vmce	VM	NP00000	VM
	.	Fp	.
com	Com	SPS00	com
a	a	DA0FS0	o
presa	pressa	NCFS000	pressa
do	do	SPS00+DA0MS0	de+o
correio	correio	NCMS000	correio
	,	Fc	,
troquei	troquei	VMIS1S0	trocar
os	os	DA0MP0	o
sobreiscritos	sobrescritos	NCMP000	sobrescrito
,	,	Fc	,
indo	indo	VMG0000	ir
a	a	SPS00	a
de	de	SPS00	de
Vmce	VM	NP00000	VM
parar	parar	VMN0000	parar
a	à	SPS00+DA0FS0	a+o
mão	mão	NCFS000	mão
do	do	SPS00+DA0MS0	de+o
outro	outro	DI0MS0	outro
sogeito	sujeito	NCMS000	sujeito
,	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CS000	qual
mandandoma	mandando-ma	VMG0000+PP1CS000+PP3FSA00	mandar+me+o
dipois	depois	RG	depois
de	de	SPS00	de
ver	ver	VMN0000	ver
não	não	RN	não
era	era	VMIP3S0	era
pa	para	SPS00	para
ele	ele	PP3MS000	ele
	,	Fc	,
e	e	CC	e
outra	outra	DI0FS0	outro
	,	Fc	,
sua	sua	DP3FS0	seu
	,	Fc	,
a	à	SPS00+DA0FS0	a+o
vista	vista	NCFS000	vista
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
ja	já	RG	já
o	o	DA0MS0	o
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
tinha	tinha	VAII0S0	ter
feito	feito	NCMS000	feito
	,	Fc	,
q	que	PR0CN000	que
era	era	VSII0S0	ser
esa	essa	DD0FS0	esse
q	que	PR0CN000	que
Vmce	VM	NP00000	VM
perdeo	perdeu	VMIS3S0	perder
	,	Fc	,
não	não	RN	não
tinha	tinha	VMII0S0	ter
lugar	lugar	NCMS000	lugar
,	,	Fc	,
cudando	cuidando	VMG0000	cuidar
a	a	PP3FSA00	o
queimava	queimava	VMII0S0	queimar
	.	Fp	.
queime	Queime	VMSP0S0	queimar
a	a	SPS00	a
sua	sua	DP3FS0	seu
	,	Fc	,
em	em	SPS00	em
ter	ter	VMN0000	ter
pa	para	SPS00	para
Vmce	VM	NP00000	VM
a	a	SPS00	a
outra	outra	DI0FS0	outro
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
foi	foi	VMIS3S0	ir
obra	obra	NCFS000	obra
não	não	RN	não
sei	sei	VMIP1S0	saber
de	de	SPS00	de
qm	quem	PR0CN000	quem
	.	Fp	.
asim	Assim	RG	assim
,	,	Fc	,
lhe	lhe	PP3CSD00	lhe
peso	peço	VMIP1S0	pedir
veja	veja	VMSP0S0	ver
Vmce	VM	NP00000	VM
se	se	CS	se
a	a	SPS00	a
não	não	RN	não
tem	tem	VMIP3S0	ter
achado	achado	VMP00SM	achar
de	de	SPS00	de
nosa	nossa	DP1FSP	nosso
caza	casa	NCFS000	casa
	,	Fc	,
donde	onde	PA000000	onde
dis	diz	VMIP3S0	dizer
so	só	RG	só
emtrou	entrou	VMIS3S0	entrar
lhe	lhe	PP3CSD00	lhe
cahio	caiu	VMIS3S0	cair
e	e	CC	e
lha	lha	PP3CSD00+PP3FSA00	lhe+o
dão	dão	VMIP3P0	dar
,	,	Fc	,
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
peso	peço	VMIP1S0	pedir
pelo	pelo	SPS00+DA0MS0	por+o
amor	amor	NCMS000	amor
de	de	SPS00	de
Ds	Deus	NP00000	deus
ma	ma	PP1CS000+PP3FSA00	me+o
de	dê	VMSP0S0	dar
	,	Fc	,
q	que	CS	que
