Mto	Muito	RQ	muito
mais	mais	RC	mais
sinto	sinto	VMIP1S0	sentir
eu	eu	PP1CSN00	eu
q	que	CS	que
Vmce	VM	NP00000	VM
que	que	CS	que
Vmce	VM	NP00000	VM
tivese	tivesse	VMSI0S0	ter
animo	ânimo	NCMS000	ânimo
pa	para	SPS00	para
descobrir	descobrir	VMN0000	descobrir
a	a	DA0FS0	o
chaga	chaga	NCFS000	chaga
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
faltase	faltasse	VMSI0S0	faltar
pa	para	SPS00	para
tomar	tomar	VMN0000	tomar
o	o	DA0MS0	o
remedio	remédio	NCMS000	remédio
;	.	Fp	.
Deos	Deus	NP00000	deus
lhe	lhe	PP3CSD00	lhe
pode	pode	VMIP3S0	poder
dar	dar	VMN0000	dar
,	,	Fc	,
se	se	CS	se
qui-zer	quiser	VMSF0S0	querer
;	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
com	com	SPS00	com
os	os	DA0MP0	o
olhos	olhos	NCMP000	olho
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
alma	alma	NCFS000	alma
fiz	fiz	VMIS1S0	fazer
o	o	DA0MS0	o
q	que	PR0CN000	que
pude	pude	VMIS1S0	poder
,	.	Fp	.
mas	Mas	CC	mas
doentes	doentes	NCMP000	doente
q	que	PR0CN000	que
o	o	PP3MSA00	o
querem	querem	VMIP3P0	querer
ser	ser	VSN0000	ser
por	por	SPS00	por
sua	sua	DP3FS0	seu
vonte	vontade	NCFS000	vontade
	,	Fc	,
eles	eles	PP3MP000	ele
o	o	DA0MS0	o
sintirão	sentirão	VMIF3P0	sentir
	,	Fc	,
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
dou	dou	VMIP1S0	dar
por	por	SPS00	por
despedido	despedido	VMP00SM	despedir
.	.	Fp	.
Deoz	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
	.	Fp	.
hoje	Hoje	RG	hoje
	,	Fc	,
de	de	SPS00	de
Julho	julho	NCMS000	julho
18	18	Z	18
de	de	SPS00	de
mil	mil	Z	mil
setecentos	setecentos	Z	setecentos
quata	quarenta	Z	quarenta
e	e	CC	e
sinco	cinco	Z	cinco
	.	Fp	.
Servo	Servo	NCMS000	servo
de	de	SPS00	de
vme	VM	NP00000	VM
	,	Fc	,
o	o	DA0MS0	o
Pe	padre	NCMS000	padre
Mel	Manuel	NP00000	manuel
Lopes	Lopes	NP00000	lopes
da	da	SPS00+DA0FS0	de+o
Cruz	Cruz	NP00000	cruz
A	A	DA0FS0	o
Conda	condessa	NCFS000	condessa
não	não	RN	não
pode	pôde	VMIS3S0	poder
ir	ir	VMN0000	ir
porque	porque	CS	porque
	,	Fc	,
depoiz	depois	RG	depois
de	de	SPS00	de
estar	estar	VMN0000	estar
dentro	dentro	RG	dentro
della	dela	SPS00+PP3FS000	de+ele
,	,	Fc	,
não	não	RN	não
podia	podia	VMII0S0	poder
servir	servir	VMN0000	servir
pa	para	SPS00	para
uzos	usos	NCMP000	uso
profanos	profanos	AQ0MP0	profano
e	e	CC	e
lanseias	lancei-as	VMIS1S0+PP3FPA00	lançar+o
onde	onde	PA000000	onde
mandão	mandam	VMIP3P0	mandar
os	os	DA0MP0	o
seremoneaes	cerimoniais	NCMP000	cerimonial
	.	Fp	.
desculpese	Desculpe-se	VMSP0S0+P00CN000	desculpar+se
como	como	PA000000	como
puder	puder	VMSF0S0	poder
	,	Fc	,
e	e	CC	e
me	me	PP1CS000	me
peza	pesa	VMIP3S0	pesar
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
dar	dar	VMN0000	dar
ocazião	ocasião	NCFS000	ocasião
de	de	SPS00	de
enfado	enfado	NCMS000	enfado
;	.	Fp	.
perdoeme	Perdoe-me	VMSP0S0+PP1CS000	perdoar+me
e	e	CC	e
viva	viva	VMSP0S0	viver
com	com	SPS00	com
descan-so	descanso	NCMS000	descanso
	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
nesse	nesse	SPS00+DD0MS0	em+esse
convto	convento	NCMS000	convento
se	se	P00CN000	se
saiba	saiba	VMSP0S0	saber
por	por	SPS00	por
ma	minha	DP1FSS	meu
via.	via.	NCFS000	via
