Mto	Muito	RQ	muito
Rdo	reverendo	AQ0MS0	reverendo
Pe	padre	NCMS000	padre
comfesor	confessor	NCMS000	confessor
	.	Fp	.
Agora	Agora	RG	agora
vejo	vejo	VMIP1S0	ver
por	por	SPS00	por
serto	certo	AQ0MS0	certo
emgano	engano	NCMS000	engano
com	com	SPS00	com
q	que	CS	que
a	a	SPS00	a
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
he	é	VSIP3S0	ser
mata-da	matada	VMP00SF	matar
,	,	Fc	,
em	em	SPS00	em
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
sentido	sentido	NCMS000	sentido
	,	Fc	,
tanto	tanto	CC	tanto
como	como	CS	como
eu	eu	PP1CSN00	eu
sei	sei	VMIP1S0	saber
,	.	Fp	.
q	Que	CS	que
ao	ao	SPS00+DA0MS0	a+o
mesmo	mesmo	AQ0MS0	mesmo
tempo	tempo	NCMS000	tempo
q	que	CS	que
eu	eu	PP1CSN00	eu
pertendia	pretendia	VMII0S0	pretender
	,	Fc	,
com	com	SPS00	com
mais	mais	RC	mais
alguã	alguma	DI0FS0	algum
ançia	ânsia	NCFS000	ânsia
	,	Fc	,
salvarme	salvar-me	VMN0000+PP1CS000	salvar+me
	,	Fc	,
teimão	teimam	SPS00	teimam
Vmces	VMs	NP00000	VM
a	a	SPS00	a
q	que	CS	que
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
condene	condene	VMSP0S0	condenar
	.	Fp	.
e	E	CC	e
Ds	Deus	NP00000	deus
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
notavel	notável	AQ0CS0	notável
odio	ódio	NCMS000	ódio
q	que	PR0CN000	que
me	me	PP1CS000	me
tem	tem	VMIP3S0	ter
	,	Fc	,
he	é	VSIP3S0	ser
o	o	DA0MS0	o
mais	mais	NCMS000	mais
empinhado	empenhado	VMP00SM	empenhar
,	,	Fc	,
e	e	CC	e
por	por	SPS00	por
iso	isso	PD0NN000	isso
os	os	PP3MSA00	o
comvida	convida	VMIP3S0	convidar
a	a	SPS00	a
q	que	PR0CN000	que
comcorrão	concorram	VMIS3P0	concorr
com	com	SPS00	com
exseso	excesso	NCMS000	excesso
pa	para	SPS00	para
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
perdição	perdição	NCFS000	perdição
,	.	Fp	.
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
emcarrego	encarrego	VMIP1S0	encarregar
a	a	DA0FS0	o
perdição	perdição	NCFS000	perdição
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
	,	Fc	,
pois	pois	CS	pois
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
mesmo	mesmo	AQ0MS0	mesmo
tempo	tempo	NCMS000	tempo
q	que	PR0CN000	que
lha	lha	PP3CSD00+PP3FSA00	lhe+o
eu	eu	PP1CSN00	eu
punha	punha	VMII0S0	pôr
nas	nas	SPS00+DA0FP0	em+o
maos	mãos	NCFP000	mão
	,	Fc	,
expondolhe	expondo-lhe	VMG0000	expor
a	a	DA0FS0	o
chaga	chaga	NCFS000	chaga
pa	para	SPS00	para
o	o	DA0MS0	o
total	total	AQ0CS0	total
remedio	remédio	NCMS000	remédio
	,	Fc	,
vejo	vejo	VMIP1S0	ver
	,	Fc	,
e	e	CC	e
sei	sei	VMIP1S0	saber
tão	tão	RC	tão
serto	certo	AQ0MS0	certo
como	como	SPS00	como
q	que	CS	que
o	o	DA0MS0	o
perzensiara	presenciara	NCMS000	presenciara
	,	Fc	,
q	que	CS	que
Vmces	VMs	NP00000	VM
mo	mo	PP1CS000+PP3MSA00	me+o
negão	negam	VMIP3P0	negar
	,	Fc	,
emganandome	enganando-me	VMG0000+PP1CS000	enganando-me
	,	Fc	,
como	como	CS	como
a	a	SPS00	a
tola	tola	AQ0FS0	tolo
douda	doida	NCFS000	doido
ou	ou	CC	ou
criansa	criança	NCFS000	criança
	.	Fp	.
nada	Nada	PI0NN00N	nada
disto	disto	SPS00+PD0NN000	de+este
sou	sou	VSIP1S0	ser
	,	Fc	,
suposto	suposto	VMP00SM	supor
pior	pior	RG	pior
	.	Fp	.
no	Nos	SPS00+DA0MP0	em+o
seus	seus	DP3MP0	seu
pareseres	pareceres	NCMP000	parecer
	,	Fc	,
quem	quem	PR0CN000	quem
disera	dissera	VMIM0S0	dizer
q	que	CS	que
padres	padres	NCMP000	padre
tão	tão	RC	tão
isperituais	espirituais	AQ0CP0	espiritual
e	e	CC	e
doutos	doutos	NCMP000	douto
avião	haviam	VMII3P0	haver
de	de	SPS00	de
obrar	obrar	VMN0000	obrar
semilhante	semelhante	AQ0CS0	semelhante
com	com	SPS00	com
a	a	DA0FS0	o
salvação	salvação	NCFS000	salvação
das	das	SPS00+DA0FP0	de+o
almas	almas	NCFP000	alma
	?	Fp	?
ninguem	Ninguém	PI0NN00N	ninguém
tal	tal	RC	tal
pode	pode	VMIP3S0	poder
cudar	cuidar	VMN0000	cuidar
	,	Fc	,
nem	nem	CC	nem
antre	entre	SPS00	entre
barbaros	bárbaros	AQ0MP0	bárbaro
	.	Fp	.
emfim	Enfim	RG	enfim
	,	Fc	,
esta	está	VMIP3S0	estar
a	a	SPS00	a
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
perdida	perdida	VMP00SF	perder
	,	Fc	,
estão	estão	VMIP3P0	estar
Vmces	VMs	NP00000	VM
satisfeitos	satisfeitos	VMP00PM	satisfazer
,	.	Fp	.
pelo	Pelo	SPS00+DA0MS0	.
q	que	PR0CN000	que
	,	Fc	,
como	como	CS	como
eu	eu	PP1CSN00	eu
	,	Fc	,
pelos	pelos	SPS00+DA0MP0	por+o
meios	meios	NCMP000	meio
da	da	SPS00+DA0FS0	de+o
igreija	igreja	NCFS000	igreja
	,	Fc	,
nem	nem	CC	nem
em	em	SPS00	em
Ds	Deus	NP00000	deus
acho	acho	VMIP1S0	achar
remedio	remédio	NCMS000	remédio
	,	Fc	,
menos	menos	RC	menos
nos	nos	SPS00+DA0MP0	em+o
seus	seus	DP3MP0	seu
menistros	ministros	NCMP000	ministro
	,	Fc	,
ja	já	RG	já
lhe	lhe	PP3CSD00	lhe
portesto	protesto	VMIP1S0	protestar
tomar	tomar	VMN0000	tomar
