Ilmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Fui	Fui	VSIS1S0	ser
	,	Fc	,
por	por	SPS00	por
mandado	mandado	NCMS000	mandado
de	de	SPS00	de
VSa	VSa	NP00000	VSa
e	e	CC	e
ordem	ordem	NCFS000	ordem
do	dito	SPS00+DA0MS0	de+o
Tribunal	Tribunal	NP00000	tribunal
do	do	SPS00+DA0MS0	de+o
Sto	Santo	NP00000	santo
offo	Ofício	NP00000	ofício
	,	Fc	,
citado	citado	VMP00SM	citar
pa	para	SPS00	para
q	que	CS	que
no	no	SPS00+DA0MS0	em+o
tempo	tempo	NCMS000	tempo
maes	mais	RC	mais
breve	breve	RG	breve
fosse	fosse	VMSI0S0	ir
aparecer	aparecer	VMN0000	aparecer
ao	ao	SPS00+DA0MS0	a+o
do	dito	VMP00SM	dizer
Tribu-nal	Tribunal	NP00000	tribunal
.	.	Fp	.
Sendo	Sendo	VSG0000	ser
certo	certo	AQ0MS0	certo
,	,	Fc	,
evidente	evidente	AQ0CS0	evidente
o	o	DA0MS0	o
nam	não	RN	não
poderia	poderia	VMIC0S0	poder
apartar-me	apartar-me	VMN0000+PP1CS000	apartar+me
do	dito	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
Regimto	Regimento	NCMS000	regimento
sem	sem	SPS00	sem
ordem	ordem	NCFS000	ordem
e	e	CC	e
determinaçam	determinação	NCFS000	determinação
do	do	SPS00+DA0MS0	de+o
Coronel	Coronel	NP00000	coronel
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
;	,	Fc	,
procurei	procurei	VMIS1S0	procurar
,	,	Fc	,
como	como	CS	como
devia	devia	VMII0S0	dever
,	,	Fc	,
o	o	DA0MS0	o
obter	obter	VMN0000	obter
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Coronel	Coronel	NP00000	coronel
lica	licença	NCFS000	licença
a	a	SPS00	a
cujo	cujo	PR0MS000	cujo
requerimto	requerimento	NCMS000	requerimento
proferio	proferiu	VMIS3S0	proferir
o	o	DA0MS0	o
segte	seguinte	AQ0CS0	seguinte
	:	Fd	:
"	"	Fe	&quot;
q	que	CS	que
a	a	DA0FS0	o
citaçam	citação	NCFS000	citação
nam	não	RN	não
era	era	VSII0S0	ser
válida	válida	AQ0FS0	válido
pa	para	SPS00	para
elle	ele	PP3MS000	ele
proceder	proceder	VMN0000	proceder
a	a	SPS00	a
mandar-me	mandar-me	VMN0000+PP1CS000	mandar+me
aparecer	aparecer	VMN0000	aparecer
como	como	CS	como
se	se	P00CN000	se
pertendia	pretendia	VMII0S0	pretender
por	por	SPS00	por
se	se	P00CN000	se
ter	ter	VAN0000	ter
feita	feita	VMP00SF	fazer
sem	sem	SPS00	sem
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Familiar	Familiar	NCMS000	familiar
lhe	lhe	PP3CSD00	lhe
pedir	pedir	VMN0000	pedir
lica	licença	NCFS000	licença
pa	para	SPS00	para
o	o	PP3MSA00	o
fazer	fazer	VMN0000	fazer
;	,	Fc	,
por	por	SPS00	por
julgar	julgar	VMN0000	julgar
nem	nem	CC	nem
dever	dever	VMN0000	dever
justiça	justiça	NCFS000	justiça
algua	alguma	DI0FS0	algum
proceder	proceder	VMN0000	proceder
com	com	SPS00	com
alguá	alguma	DI0FS0	algum
pessoa	pessoa	NCFS000	pessoa
dos	dos	SPS00+DA0MP0	de+o
Regimtos	Regimentos	NP00000	regimentos
sem	sem	SPS00	sem
consentimto	consentimento	NCMS000	consentimento
dos	dos	SPS00+DA0MP0	de+o
seus	seus	DP3MP0	seu
Chefes	chefes	NCMP000	chefe
:	.	Fp	.
	&quot;	Fe	&quot;
e	E	CC	e
ponderando-lhe	ponderando-lhe	VMG0000+PP3CSD00	ponderar+lhe
,	,	Fc	,
do	do	SPS00+DA0MS0	de+o
modo	modo	NCMS000	modo
q	que	PR0CN000	que
me	me	PP1CS000	me
foi	foi	VSIS3S0	ser
possivel	possível	NCMS000	possível
,	,	Fc	,
q	que	CS	que
era	era	VSII0S0	ser
forcozo	forçoso	AQ0MS0	forçoso
e	e	CC	e
precizo	preciso	VMIP1S0	precisar
dár	dar	VMN0000	dar
cumprimto	cumprimento	NCMS000	cumprimento
e	e	CC	e
satisfaçam	satisfação	NCFS000	satisfação
á	à	SPS00+DA0FS0	a+o
da	dita	VMP00SF	dizer
ordem	ordem	NCFS000	ordem
,	,	Fc	,
ou	ou	CC	ou
citaçam	citação	NCFS000	citação
,	,	Fc	,
propondo-lhe	propondo-lhe	VMG0000+PP3CSD00	propor+lhe
rezoéns	razões	NCFP000	razão
convencentes	convincentes	AQ0CP0	convincente
:	,	Fc	,
a	a	SPS00	a
estas	estas	DD0FP0	este
conclui-o	concluiu	VMIS3S0	concluir
finalme	finalmente	RG	finalmente
dizendo	dizendo	VMG0000	dizer
q	que	CS	que
nam	não	RN	não
queria	queria	VMII0S0	querer
dar-me	dar-me	VMN0000+PP1CS000	dar+me
a	a	DA0FS0	o
pertenda	pretendida	VMP00SF	pretender
lica	licença	NCFS000	licença
:	.	Fp	.
entam	Então	RG	então
	,	Fc	,
rogando-lhe	rogando-lhe	VMG0000+PP3CSD00	rogar+lhe
me	me	PP1CS000	me
dese	desse	VMSI0S0	dar
taes	tais	DD0CP0	tal
rezoens	razões	NCFP000	razão
por	por	SPS00	por
escrito	escrito	NCMS000	escrito
pa	para	SPS00	para
com	com	SPS00	com
ellas	elas	PP3FP000	ele
fazer	fazer	VMN0000	fazer
saber	saber	VMN0000	saber
ao	ao	SPS00+DA0MS0	a+o
referido	referido	VMP00SM	referir
Tribunal	Tribunal	NP00000	tribunal
os	os	DA0MP0	o
motivos	motivos	NCMP000	motivo
q	que	PR0CN000	que
te-nho	tenho	VMIP1S0	ter
pa	para	SPS00	para
deixar	deixar	VMN0000	deixar
de	de	SPS00	de
executar	executar	VMN0000	executar
o	o	DA0MS0	o
q	que	PR0CN000	que
devo	devo	VMIP1S0	dever
;	,	Fc	,
outra	outra	DI0FS0	outro
vés	vez	NCFS000	vez
repetio	repetiu	VMIS3S0	repetir
q	que	CS	que
nam	não	RN	não
queria	queria	VMII0S0	querer
:	.	Fp	.
entre	Entre	SPS00	entre
es-tes	estes	DD0MP0	este
extremos	extremos	NCMP000	extremo
tam	tão	RC	tão
grds	grandes	AQ0CP0	grande
vacila	vacila	VMIP3S0	vacilar
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
entendimto	entendimento	NCMS000	entendimento
em	em	SPS00	em
buscar	buscar	VMN0000	buscar
o	o	DA0MS0	o
meio	meio	NCMS000	meio
pa	para	SPS00	para
q	que	CS	que
nam	não	RN	não
peri-gue	perigue	VMSP0S0	perigar
a	a	SPS00	a
ma	minha	DP1FSS	meu
reputaçam	reputação	NCFS000	reputação
:	,	Fc	,
em	em	SPS00	em
cujos	cujos	DT0MP0	cujo
termos	termos	NCMP000	termo
faço	faço	VMIP1S0	fazer
saber	saber	VMN0000	saber
a	a	SPS00	a
VSa	VSa	NP00000	VSa
as	as	DA0FP0	o
rezoéns	razões	NCFP000	razão
q	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
o-ferecem	oferecem	VMIP3P0	oferecer
pa	para	SPS00	para
nam	não	RN	não
hir	ir	VMN0000	ir
e	e	CC	e
dar	dar	VMN0000	dar
cumprimto	cumprimento	NCMS000	cumprimento
ao	ao	SPS00+DA0MS0	a+o
q	que	CS	que
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
;	.	Fp	.
e	E	CC	e
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
sincerame	sinceramente	RG	sinceramente
peço	peço	VMIP1S0	pedir
á	a	SPS00	a
VSa	VSa	NP00000	VSa
Concelho	conselho	NCMS000	conselho
	,	Fc	,
q	que	CS	que
naquilo	naquilo	SPS00+PD0NN000	em+aquilo
q	que	CS	que
me	me	PP1CS000	me
for	for	VSSF0S0	ser
possivel	possível	NCMS000	possível
hei	hei	VMIP1S0	haver
de	de	SPS00	de
seguilo	segui-lo	VMN0000+PP3MSA00	seguir+o
;	,	Fc	,
pois	pois	CS	pois
sabe	sabe	VMIP3S0	saber
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
animo	ânimo	NCMS000	ânimo
neste	neste	SPS00+DD0MS0	em+este
cazo	caso	NCMS000	caso
.	.	Fp	.
