M	Muito	RQ	muito
Rdo	reverendo	AQ0MS0	reverendo
Pe	padre	NCMS000	padre
e	e	CC	e
Sor	senhor	NP00000	senhor
	,	Fc	,
D	Dom	NP00000	dom
Sebastiam	Sebastião	NP00000	sebastião
Suposto	Suposto	VMP00SM	supor
me	me	PP1CS000	me
falha	falha	VMIP3S0	falhar
o	o	DA0MS0	o
conhecimto	conhecimento	NCMS000	conhecimento
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
pessoa	pessoa	NCFS000	pessoa
,	,	Fc	,
tendo	tendo	VMG0000	ter
baste	bastante	AQ0CS0	bastante
nota	notícia	NCFS000	notícia
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
meu	meu	DP1MSS	meu
Iro	irmão	NCMS000	irmão
lhe	lhe	PP3CSD00	lhe
foi	foi	VSIP3S0	ser
obrigmo	obrigadíssimo	AQSMS0	obrigado
no	no	SPS00+DA0MS0	em+o
empo	amparo	NCMS000	amparo
da	da	SPS00+DA0FS0	de+o
Perfilhassão	perfilhação	NCFS000	perfilhação
de	de	SPS00	de
mia	minha	DP1FSS	meu
Cunhada	cunhada	NCFS000	cunhado
,	,	Fc	,
e	e	CC	e
como	como	CS	como
ele	ele	PP3MS000	ele
	,	Fc	,
esquecido	esquecido	VMP00SM	esquecer
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
benefo	benefício	NCMS000	benefício
	,	Fc	,
não	não	RN	não
soube	soube	VMIS1S0	saber
compenssar	compensar	VMN0000	compensar
esta	esta	DD0FS0	este
amizade	amizade	NCFS000	amizade
	,	Fc	,
qro	quero	VMIP1S0	querer
Eu	eu	PP1CSN00	eu
solicitar	solicitar	VMN0000	solicitar
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
favor	favor	NCMS000	favor
,	,	Fc	,
na	na	SPS00+DA0FS0	em+o
certeza	certeza	NCFS000	certeza
de	de	SPS00	de
q	que	PR0CN000	que
sabe-rei	saberei	VMIF1S0	saber
em	em	SPS00	em
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
tempo	tempo	NCMS000	tempo
	,	Fc	,
não	não	RN	não
só	só	RG	só
conhecelo	conhecê-lo	VMN0000+PP3MSA00	conhecer+o
	,	Fc	,
mas	mas	CC	mais
Comfessalo	confessá-lo	VMN0000+PP3MSA00	confessar+o
	,	Fc	,
pois	pois	CS	pois
em	em	SPS00	em
mim	mim	PP1CSO00	mim
á	há	VMIP3S0	haver
difrente	diferente	AQ0CS0	diferente
gratidão	gratidão	NCFS000	gratidão
	,	Fc	,
tanto	tanto	CC	tanto
por	por	SPS00	por
genio	génio	NCMS000	génio
Como	como	CS	como
por	por	SPS00	por
Criassão	criação	NCFS000	criação
,	.	Fp	.
qra	Queira	VMSP0S0	querer
a	a	DA0FS0	o
fortuna	fortuna	NCFS000	fortuna
q	que	CS	que
eu	eu	PP1CSN00	eu
em	em	SPS00	em
vmce	VM	NP00000	VM
inContre	encontre	VMSP0S0	encontrar
a	a	SPS00	a
mesma	mesma	AQ0FS0	mesmo
eficazia	eficácia	NCFS000	eficácia
	,	Fc	,
pois	pois	CS	pois
dela	dela	SPS00+PP3FS000	de+ele
Caresse	carece	VMIP3S0	carecer
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
dezampro	desamparo	NCMS000	desamparo
e	e	CC	e
afflição	aflição	NCFS000	aflição
.	.	Fp	.
Já	Já	RG	já
vmce	VM	NP00000	VM
saberá	saberá	VMIF3S0	saber
q	que	CS	que
a	a	DA0FS0	o
disgrassa	desgraça	NCFS000	desgraça
fes	fez	VMIS3S0	fazer
q	que	CS	que
tanto	tanto	CC	tanto
Eu	eu	PP1CSN00	eu
Como	como	SPS00	como
meu	meu	DP1MSS	meu
Iro	irmão	NCMS000	irmão
Gaspar	Gaspar	NP00000	gaspar
franco	Francisco	NP00000	francisco
ficassemos	ficássemos	NP00000	francisco
dependente	dependente	AQ0CS0	dependente
de	de	SPS00	de
meu	meu	DP1MSS	meu
Iro	irmão	NCMS000	irmão
Lço	Lourenço	NP00000	lourenço
	,	Fc	,
o	o	DA0MS0	o
qal	qual	PR0CN000	qual
tem	tem	VMIP3S0	ter
tomado	tomado	VMP00SM	tomar
por	por	SPS00	por
dezemfado	desenfado	VMIP1S0	desenfadar
o	o	DA0MS0	o
amofinarnos	amofinar-nos	DA0MS0	o
	,	Fc	,
a	a	SPS00	a
mim	mim	PP1CSO00	mim
Com	com	SPS00	com
demandas	demandas	NCFP000	demanda
	,	Fc	,
a	a	SPS00	a
ele	ele	PP3MS000	ele
Com	com	SPS00	com
Castigos	castigos	NCMP000	castigo
	,	Fc	,
querendo	querendo	VMG0000	querer
Com	com	SPS00	com
estas	estas	DD0FP0	este
industrias	indústrias	NCFP000	indústria
esCurecer	escurecer	VMN0000	escurecer
a	a	DA0FS0	o
justissa	justiça	NCFS000	justiça
,	,	Fc	,
e	e	CC	e
vencer	vencer	VMN0000	vencer
por	por	SPS00	por
edeas	ideias	NCFP000	ideia
fantasticas	fantásticas	SPS00	fantásticas
o	o	DA0MS0	o
q	que	PR0CN000	que
não	não	RN	não
Comceguiria	conseguiria	VMIP3S0	conseguiriar
de	de	SPS00	de
outro	outro	DI0MS0	outro
modo	modo	NCMS000	modo
,	.	Fp	.
penssou	Pensou	VMIS3S0	pensar
q	que	CS	que
a	a	DA0FS0	o
nece-cide	necessidade	NCFS000	necessidade
me	me	PP1CS000	me
venceria	venceria	NCFS000	venceria
(	(	Fc	(
foi	foi	VSIS3S0	ser
erado	errado	VMP00SM	errar
o	o	DA0MS0	o
Comto	conceito	NCMS000	conceito
)	)	Fbt	)
	,	Fc	,
quis	quis	VMIS3S0	querer
dezani-marme	desanimar-me	VMIS3S0	querer
com	com	SPS00	com
a	a	DA0FS0	o
prizão	prisão	NCFS000	prisão
de	de	SPS00	de
Gaspar	Gaspar	NP00000	gaspar
,	.	Fp	.
mas	Mas	CC	mas
vendo	vendo	VMG0000	ver
Eu	eu	PP1CSN00	eu
q	que	CS	que
Um	um	DI0MS0	um
contrato	contrato	NCMS000	contrato
amigavel	amigável	AQ0CS0	amigável
faria	faria	VMIC0S0	fazer
por	pôr	VMN0000	pôr
as	as	DA0FP0	o
dezordens	desordens	NCFP000	desordem
em	em	SPS00	em
