Meu	Meu	DP1MSS	meu
Sor	Senhor	NP00000	senhor
	.	Fp	.
desculpe	Desculpe	VMSP0S0	desculpar
VSria	VSa	NP00000	VSa
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
grandeza	grandeza	NCFS000	grandeza
o	o	DA0MS0	o
pedirlhe	pedir-lhe	VMN0000+PP3CSD00	pedir+lhe
boas novas	boas-novas	NCFP000	boa-nova
suas	suas	DP3FP0	seu
	,	DP3FP0	seu
e	e	CC	e
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
inssinuar	insinuar	VMN0000	insinuar
a	a	DA0FS0	o
via	via	NCFS000	via
por	por	SPS00	por
q	que	PR0CN000	que
devo	devo	VMIP1S0	dever
dar	dar	VMN0000	dar
Comta	conta	NCFS000	conta
a	a	SPS00	a
esse	esse	DD0MS0	esse
tribunaL	tribunal	NCMS000	tribunal
	,	NCMS000	tribunal
Como	como	CS	como
agora	agora	RG	agora
faCo	faço	VMIP1S0	fazer
	,	VMIP1S0	fazer
noticiandolhe	noticiando-lhe	VMG0000	noticiar
q	que	PR0CN000	que
Anto	António	NP00000	antónio
	,	Fc	,
Soltro	solteiro	AQ0MS0	solteiro
	,	Fc	,
fo	filho	NCMS000	filho
d	de	SPS00	de
Dos	Domingos	NP00000	domingos
fnz	Fernandes	NP00000	fernandes
Quelha	Quelha	NP00000	quelha
	,	Fc	,
d	da	SPS00+DA0FS0	de+o
va	vila	NCFS000	vila
d	de	SPS00	de
Ervedoza	Ervedosa	NP00000	ervedosa
do	do	SPS00+DA0MS0	de+o
Douro	Douro	NP00000	douro
	,	Fc	,
distante	distante	AQ0CS0	distante
desta	desta	SPS00+DD0FS0	de+este
va	vila	NCFS000	vila
hũa	uma	DI0FS0	um
Legoa	légua	NCFS000	légua
	,	Fc	,
teve	teve	VMIS3S0	ter
em	em	SPS00	em
o	o	DA0MS0	o
Lugar	lugar	NCMS000	lugar
do	do	SPS00+DA0MS0	de+o
Franco	Franco	NP00000	franco
	,	Fc	,
onde	onde	PA000000	onde
	,	Fc	,
Com	com	SPS00	com
o	o	DA0MS0	o
pe	padre	NCMS000	padre
MeL	Manuel	NP00000	manuel
Luis	Luís	NP00000	luís
e	e	CC	e
Dos	Domingos	NP00000	domingos
d	de	SPS00	de
Carvalho	Carvalho	NP00000	carvalho
	,	Fc	,
d	da	SPS00+DA0FS0	de+o
ma	mesma	AQ0FS0	mesmo
va	vila	NCFS000	vila
d	de	SPS00	de
Ervedoza	Ervedosa	NP00000	ervedosa
	,	Fc	,
foi	foi	VMIS3S0	ir
em	em	SPS00	em
Romaria	romaria	NCFS000	romaria
	,	NCFS000	romaria
hum	um	DI0MS0	um
ajuntamto	ajuntamento	NCMS000	ajuntamento
Carnal	carnal	AQ0CS0	carnal
com	com	SPS00	com
hũa	uma	DI0FS0	um
jumta	jumenta	NCFS000	jumenta
em	em	SPS00	em
q	que	PR0CN000	que
hia	ia	VMII0S0	ir
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Pe	padre	NCMS000	padre
	,	NCMS000	padre
