Meu	Meu		
Marido	marido		
e	e		
todo	todo		
o	o		
meu	meu		
bem	bem		
	,		
unico	único		
emprego	emprego		
de	de		
meus	meus		
sentidos	sentidos		
	.		
não	Não	RN	não
te	te	PP2CS000	te
poso	posso	VMIP1S0	poder
expelicar	explicar	VMN0000	explicar
as	as	DA0FP0	o
lagrimas	lágrimas	NCFP000	o
que	que	PR0CN000	que
choro	choro	VMIP1S0	chorar
com	com	SPS00	com
saudades	saudades	NCFP000	saudade
tuas	tuas	DP2FPS	teu
	,	Fc	,
pois	pois	CS	pois
so	só	RF	só
tu	tu	PP2CSN00	tu
hes	és	VSIP2S0	ser
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
amor	amor	NCMS000	amor
	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
menino	menino	NCMS000	menino
	,	Fc	,
não	não	RN	não
ha	há	VMIP3S0	haver
istante	instante	NCMS000	instante
que	que	CS	que
tu	tu	PP2CSN00	tu
me	me	PP1CS000	me
não	não	RN	não
lembres	lembres	VMSP2S0	lembrar
	,	Fc	,
nem	nem	CCN	nem
noute	noite	NCFS000	noite
em	em	SPS00	em
que	que	CS	que
não	não	RN	não
sonhe	sonhe	VMSP0S0	sonhar
comtigo	contigo	SPS00+PP2CSO00	com+ti
	.	Fp	.
sempre	Sempre	RG	sempre
me	me	PP1CS000	me
esta	está	VMIP3S0	estar
paresendo	parecendo	VMG0000	parecer
que	que	CS	que
te	te	PP2CS000	te
estou	estou	VMIP1S0	estar
beigando	beijando	VMG0000	beijar
e	e	CC	e
abrasando	abraçando	VMG0000	abraçar
e	e	CC	e
a	a	SPS00	a
darte	dar-te	VMN0000+PP2CS000	dar+te
pinguinhas	pinguinhas	NCFP00D	pingo
ao	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
menino	menino	NCMS000	menino
todo	todo	DI0MS0	todo
meu	meu	PX1MS0S0	meu
	,	Fc	,
pois	pois	CS	pois
so	só	RF	só
he	é	VSIP3S0	ser
pa	para	SPS00	para
mim	mim	PP1CSO00	mim
	.	Fp	.
goardamo	Guarda-mo	VMM02S0+PP1CS000+PP3MSA00	guardar+me+o
bem	bem	RG	bem
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
pequeninho	pequeninho	NCMS00D	pequeno
	.	Fp	.
ai	Ai	I	ai
	,	Fc	,
meu	meu	DP1MSS	meu
rico	rico	AQ0MS0	rico
filhinho	filhinho	NCMS00D	filho
	,	Fc	,
que	que	CS	que
moro	morro	VMIP1S0	morrer
com	com	SPS00	com
saudades	saudades	NCFP000	saudade
tuas	tuas	DP2FPS	teu
	!	Fa	!
o	O	DA0MS0	o
teu	teu	DP2MSS	teu
coninho	coninho	NCMS00D	cono
more	morre	VMIP3S0	morrer
por	por	SPS00	por
foder	foder	VMN0000	foder
com	com	SPS00	com
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
marido	marido	NCMS000	marido
tam	tão	RC	tão
bonito	bonito	AQ0MS0	bonito
e	e	CC	e
tanto	tanto	RC	tanto
de	de	SPS00	de
meu	meu	DP1MSS	meu
gosto	gosto	NCMS000	gosto
	.	Fp	.
tu	Tu	PP2CSN00	tu
	,	Fc	,
meu	meu	DP1MSS	meu
gabrielzinho	Gabrielzinho	NCMS000	gabrielzinho
	,	Fc	,
não	não	RN	não
me	me	PP1CS000	me
sejas	sejas	VSSP2S0	ser
falso	falso	AQ0MS0	falso
	!	Fa	!
goardame	Guarda-me	VMM02S0+PP1CS000	guardar+me
lialdade	lealdade	NCFS000	lealdade
	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
querote	quero-te	VMIP1S0+PP2CS000	querer+te
mto	muito	RQ	muito
e	e	CC	e
hei	hei	VMIP1S0	haver
de	de	SPS00	de
querer	querer	VMN0000	querer
	.	Fp	.
dezejarei	Desejarei	VMIF1S0	desejar
pases	passes	NCMP000	passe
bem	bem	RG	bem
e	e	CC	e
que	que	CS	que
tiveses	tivesses	VMSI2S0	ter
o	o	DA0MS0	o
teu	teu	DP2MSS	teu
dia	dia	NCMS000	dia
mto	muito	RQ	muito
alegre	alegre	AQ0CS0	alegre
	.	Fp	.
eu	Eu	PP1CSN00	eu
tambem	também	RG	também
	,	Fc	,
por	por	SPS00	por
te	te	PP2CS000	te
acompanhar	acompanhar	VMN0000	acompanhar
	,	Fc	,
tambem	também	RG	também
estive	estive	VMIS1S0	estar
alegre	alegre	AQ0CS0	alegre
e	e	CC	e
calsei	calcei	VMIS1S0	calçar
os	os	DA0MP0	o
sapatos	sapatos	NCMP000	sapato
tam	tão	RC	tão
bonitos	bonitos	AQ0MP0	bonito
	.	Fp	.
mto	Muito	RQ	muito
os	os	PP3MPA00	o
estimei	estimei	VMIS1S0	estimar
por	por	SPS00	por
serem	serem	VSN03P0	ser
teus	teus	PX2MP0S0	teu
	.	Fp	.
tambem	Também	RG	também
comi	comi	VMIS1S0	comer
o	o	DA0MS0	o
galinha	galinha	NCMS000	galinha
a	à	SPS00+DA0FS0	a+o
tua	tua	DP2FSS	teu
saude	saúde	NCFS000	saúde
	.	Fp	.
a	À	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
tambem	também	RG	também
hei	hei	VMIP1S0	haver
de	de	SPS00	de
sonhar	sonhar	VMN0000	sonhar
comtigo	contigo	SPS00+PP2CSO00	com+ti
e	e	CC	e
com	com	SPS00	com
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
menino	menino	NCMS000	menino
tam	tão	RC	tão
bonito	bonito	AQ0MS0	bonito
so	só	RF	só
pa	para	SPS00	para
mim	mim	PP1CSO00	mim
	.	Fp	.
adeos	Adeus	I	adeus
meu	meu	DP1MSS	meu
menino	menino	NCMS000	menino
	.	Fp	.
mandame	Manda-me	VMM02S0+PP1CS000	mandar+me
notisias	notícias	NCFP000	notícia
tuas	tuas	DP2FPS	teu
pa	para	SPS00	para
alivio	alívio	NCMS000	alívio
deste	deste	SPS00+DD0MS0	de+este
coracaõ	coração	NCMS000	coração
	,	Fc	,
que	que	CS	que
tanto	tanto	RC	tanto
suspiro	suspiro	NCMS000	suspiro
por	por	SPS00	por
te	te	PP2CS000	te
ber	ver	VMN0000	ver
e	e	CC	e
tanto	tanto	RC	tanto
empenhada	empenhada	VMP00SF	empenhar
esta	está	VMIP3S0	estar
em	em	SPS00	em
amarte	amar-te	VMN0000+PP2CS000	amar+te
	,	Fc	,
pois	pois	CS	pois
so	só	RF	só
tu	tu	PP2CSN00	tu
hes	és	VSIP2S0	ser
meresedor	merecedor	NCMS000	merecedor
de	de	SPS00	de
todo	todo	DI0MS0	todo
amor	amor	NCMS000	amor
	.	Fp	.
eu	Eu	PP1CSN00	eu
não	não	RN	não
quero	quero	VMIP1S0	querer
senão	senão	CC	senão
a	a	SPS00	a
ti	ti	PP2CSO00	ti
	.	Fp	.
aseita	Aceita	VMM02S0	aceitar
mtas	muitas	DI0FP0	muito
saudades	saudades	NCFP000	saudade
das	das	SPS00+DA0FP0	de+o
tuas	tuas	DP2FPS	teu
maminhas	maminhas	NCFP00D	mama
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
teu	teu	DP2MSS	teu
coninho	coninho	NCMS00D	cono
que	que	PR0CN000	que
more	morre	VMIP3S0	morrer
por	por	SPS00	por
foder	foder	VMN0000	foder
comtigo	contigo	SPS00+PP2CSO00	com+ti
e	e	CC	e
darte	dar-te	VMN0000+PP2CS000	dar+te
tanto	tanto	RC	tanto
leitinho	leitinho	NCMS00D	leite
ao	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
amorzinho	amorzinho	NCMS00D	amor
todo	todo	DI0MS0	todo
meu	meu	DP1MSS	meu
	.	Fp	.
adeos	Adeus	I	adeus
	,	Fc	,
meu	meu	DP1MSS	meu
Rico	rico	AQ0MS0	rico
filho	filho	NCMS000	filho
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
coracão	coração	NCMS000	coração
	.	Fp	.
Desta	Desta	Fp	.
sua	sua	Fp	.
molher	mulher	Fp	.
firme	firme	Fp	.
e	e	Fp	.
costante	constante	Fp	.
emthe	até	Fp	.
a	a	Fp	.
morte	morte	Fp	.
	,	Fp	.
Maria	Maria	Fp	.
gabriela	Gabriela	Fp	.
ahi	Aí	RG	aí
bai	vai	VMIP3S0	ir
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
coracão	coração	NCMS000	coração
pa	para	SPS00	para
ti	ti	PP2CSO00	ti
	.	Fp	.
ahi	Aí	RG	aí
bai	vai	VMIP3S0	ir
o	o	DA0MS0	o
teu	teu	DP2MSS	teu
coninho	coninho	NCMS00D	cono
	,	Fc	,
metelhe   	mete-lhe	Fc	,
meu	meu	DP1MSS	meu
menino	menino	NCMS000	menino
	.	Fp	.
