Meu	Meu	DP1MSS	meu
Snr	Senhor	NCMS000	senhor
	.	Fp	.
Oferese-se	Oferece-se	VMIP3S0+P00CN000	oferecer+se
esta	esta	DD0FS0	este
prociza	precisa	AQ0FS0	preciso
ocaziao	ocasião	NCFS000	ocasião
pa	para	SPS00	para
ter	ter	VMN0000	ter
novas	novas	NCFP000	nova
de	de	SPS00	de
vmce	VM	NP00000	VM
	,	Fc	,
q	que	PR0CN000	que
estimarei	estimarei	VMIF1S0	estimar
sejam	sejam	VSSP3P0	ser
boas	boas	AQ0FP0	bom
;	.	Fp	.
e	E	CC	e
quis	quis	VMIS3S0	querer
Ds	Deus	NP00000	deus
nosso	Nosso	DP1MSP	nosso
senhor	Senhor	NP00000	senhor
tello	tê-lo	VMN0000+PP3MSA00	ter+o
a	a	SPS00	a
vmce	VM	NP00000	VM
nesta	nesta	SPS00+DD0FS0	em+este
terra	terra	NCFS000	terra
pa	para	SPS00	para
acudir	acudir	VMN0000	acudir
a	a	SPS00	a
huã	uma	DI0FS0	um
ruinhã	ruinhã	DI0FS0	um
;	,	Fc	,
em	em	SPS00	em
q	que	PR0CN000	que
se	se	P00CN000	se
dis	diz	VMIP3S0	dizer
nesta	nesta	SPS00+DD0FS0	em+este
terra	terra	NCFS000	terra
se	se	P00CN000	se
mete	mete	VMIP3S0	meter
hũ	um	DI0MS0	um
mosso	moço	NCMS000	moço
mto	muito	RQ	muito
noso	nosso	DP1MSP	nosso
parente	parente	NCMS000	parente
,	,	Fc	,
q	que	PR0CN000	que
foi	foi	VMIS3S0	ir
desta	desta	SPS00+DD0FS0	de+este
terra	terra	NCFS000	terra
pa	para	SPS00	para
essa	essa	DD0FS0	esse
villa	vila	NCFS000	vila
	,	Fc	,
aonde	onde	PA000000	onde
disem	dizem	VMIP3P0	dizer
se	se	P00CN000	se
quer	quer	VMIP3S0	querer
cazar	casar	VMN0000	casar
,	,	Fc	,
e	e	CC	e
tem	tem	VMIP3S0	ter
nesta	nesta	SPS00+DD0FS0	em+este
sua	sua	DP3FS0	seu
molher	mulher	NCFS000	mulher
viva	viva	AQ0FS0	vivo
	.	Fp	.
este	Este	PD0MS000	este
chamão	chamam	VMIP3P0	chamar
Thomas	Tomás	NP00000	tomás
Ribro	Ribeiro	NP00000	ribeiro
e	e	CC	e
la	lá	RG	lá
mudou	mudou	VMIS3S0	mudar
o	o	DA0MS0	o
nome	nome	NCMS000	nome
pa	para	SPS00	para
Jozeph	José	NP00000	josé
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
,	.	Fp	.
este	Este	PD0MS000	este
está	está	VMIP3S0	estar
nesa	nessa	SPS00+DD0FS0	em+esse
vila	vila	NCFS000	vila
com	com	SPS00	com
hum	um	DI0MS0	um
mercador	mercador	NCMS000	mercador
a	a	SPS00	a
quem	quem	PR0CN000	quem
chamão	chamam	VMIP3P0	chamar
Mel	Manuel	NP00000	manuel
françisco	Francisco	NP00000	francisco
	,	Fc	,
que	que	PR0CN000	que
mora	mora	VMIP3S0	morar
junto	junto	RG	junto
ao	ao	SPS00+DA0MS0	a+o
chafaris	chafariz	NCMS000	chafariz
	.	Fp	.
pesso	Peço	VMIP1S0	pedir
a	a	SPS00	a
vmce	VM	NP00000	VM
mto	muito	RQ	muito
por	por	SPS00	por
nossa	nossa	DP1FSP	nosso
criação	criação	NCFS000	criação
e	e	CC	e
parentesco	parentesco	NCMS000	parentesco
acuda	acuda	VMSP0S0	acudir
a	a	SPS00	a
isto	isto	PD0NN000	isto
dando	dando	VMG0000	dar
notiçia	notícia	NCFS000	notícia
ao	ao	SPS00+DA0MS0	a+o
parecho	pároco	NCMS000	pároco
da	da	SPS00+DA0FS0	de+o
freguezia	freguesia	NCFS000	freguesia
,	,	Fc	,
em	em	SPS00	em
como	como	CS	como
este	este	DD0MS0	este
mosso	moço	NCMS000	moço
he	é	VSIP3S0	ser
cazado	casado	VMP00SM	casar
e	e	CC	e
tem	tem	VMIP3S0	ter
nesta	nesta	SPS00+DD0FS0	em+este
terra	terra	NCFS000	terra
a	a	DA0FS0	o
