Meu	Meu	DP1MSS	meu
snor	senhor	NCMS000	senhor
	,	Fc	,
Eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
escrevendo	escrevendo	VMG0000	escrever
pella	pela	SPS00+DA0FS0	por+o
quoal	qual	PR0CS000	qual
Rezão	razão	NCFS000	razão
não	não	RN	não
busco	busco	VMIP1S0	buscar
a	a	DA0FS0	o
Vm	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
vera	verá	VMIF3S0	ver
a	a	DA0FS0	o
encluza	inclusa	AQ0FSP	incluso
pe	para	SPS00	para
se	se	P00CN000	se
ver	ver	VMN0000	ver
con	com	SPS00	com
este	este	DD0MS0	este
sugto	sujeito	NCMS000	sujeito
	,	Fc	,
pois	pois	CS	pois
ve	vê	VMIP3S0	ver
o	o	DA0MS0	o
que	que	PR0CN000	que
dis	diz	VMIP3S0	dizer
e	e	CC	e
	,	Fc	,
do	do	SPS00+DA0MS0	de+o
modo	modo	NCMS000	modo
com	com	SPS00	com
que	que	PR0CN000	que
me	me	PP1CS000	me
fala	fala	VMIP3S0	falar
	,	Fc	,
pareçe	parece	VMIP3S0	parecer
quer	quer	VMIP3S0	querer
ja	já	RG	já
emvestir	investir	VMN0000	investir
comigo	comigo	SPS00+PP1CSO00	com+mim
aqueles	aqueles	DD0MP0	aquele
escritos	escritos	NCMP000	escrito
de	de	SPS00	de
Benavete	Benavente	NP00000	benavente
	,	Fc	,
que	que	CS	que
avia	havia	VAII0S0	haver
mdo	mandado	VMP0000	mandar
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
	.	Fp	.
fco	Francisco	NP00000	francisco
gomes	Gomes	NP00000	gomes
	,	Fc	,
que	que	PR0CN000	que
Ds	Deus	NP00000	deus
ten	tem	VMIP3S0	ter
	,	Fc	,
me	me	PP1CS000	me
fara	fará	VMIF3S0	fazer
mandar	mandar	VMN0000	mandar
e	e	CC	e
	,	Fc	,
dos	dos	SPS00+DA0MP0	de+o
dois	dois	Z	dois
que	que	PR0CN000	que
la	lá	RG	lá
fiquarão	ficaram	VMIS3P0	ficar
	,	Fc	,
nunqua	nunca	RN	nunca
tive	tive	VMIS1S0	ter
aviso	aviso	NCMS000	aviso
nenhũ	nenhum	DI0MS0	nenhum
	.	Fp	.
se	Se	CS	se
Vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
oz	os	DA0MP0	o
nomes	nomes	NCMP000	nome
doz	dos	SPS00+DA0MP0	de+o
escrivãez	escrivães	NCMP000	escrivão
	,	Fc	,
mo	mo	PP1CS000+PP3MSA00	me+o
avize	avise	VMSP0S0	avisar
	.	Fp	.
e	E	CC	e
fio	fio	VMIP1S0	fiar
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
orden	ordem	NCFS000	ordem
	,	Fc	,
posto	posto	VMP00SM	pôr
com	com	SPS00	com
seu	seu	DP3MS0	seu
mto	muito	DI0MS0	muito
cto	conhecimento	NCMS000	conhecimento
	.	Fp	.
Franco	Francisco	NP00000	francisco
Mendes	Mendes	NP00000	mendes
