M	Muito	RQ	muito
A	amado	VMP00SM	amado
I	Irmão	NP00000	irmão
Me	Mestre	NP00000	mestre
Leitor	Leitor	NP00000	leitor
Tendo	Tendo	VAG0000	ter
recebido	recebido	VMP0000	receber
por	por	SPS00	por
offo	ofício	NCMS000	ofício
do	do	SPS00+DA0MS0	de+o
Pe	Padre	NP00000	padre
Ião	Irmão	NP00000	irmão
a	a	DA0FS0	o
notisia	notícia	NCFS000	notícia
do	do	SPS00+DA0MS0	de+o
facto	facto	NCMS000	facto
e	e	CC	e
rezultados	resultados	NCMP000	resultado
acontecidos	acontecidos	VMP00PM	acontecer
nessa	nessa	SPS00+DD0FS0	em+esse
Comunide	comunidade	NCFS000	comunidade
no	no	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
8	8	Z	8
de	de	SPS00	de
9bro	novembro	NC00000	novembro
,	,	Fc	,
tentei	tentei	VMIS1S0	tentar
huma	uma	DI0FS0	um
pacificação	pacificação	NCFS000	pacificação
amigavel	amigável	AQ0CS0	amigável
e	e	CC	e
prudente	prudente	AQ0CS0	prudente
por	por	SPS00	por
dezejar	desejar	VMN0000	desejar
que	que	CS	que
no	no	SPS00+DA0MS0	em+o
fim	fim	NCMS000	fim
da	da	SPS00+DA0FS0	de+o
nossa	nossa	DP1FSP	nosso
Carreira	carreira	NCFS000	carreira
não	não	RN	não
fossemos	fôssemos	VSSI1P0	ser
dados	dados	VMP00PM	dar
em	em	SPS00	em
theatro	teatro	NCMS000	teatro
ao	ao	SPS00+DA0MS0	a+o
publico	público	NCMS000	público
,	,	Fc	,
tendo	tendo	VAG0000	ter
sido	sido	VSP0000	ser
ate	até	SPS00	até
agora	agora	RG	agora
tão	tão	RC	tão
felices	felizes	AQ0CP0	feliz
que	que	CS	que
ainda	ainda	RG	ainda
não	não	RN	não
figuramos	figuramos	VMIP3S0	figurar
nos	nos	SPS00+DA0MP0	em+o
periodicos	periódicos	NCMP000	periódico
por	por	SPS00	por
este	este	DD0MS0	este
Lado	lado	NCMS000	lado
:	.	Fp	.
Vejo	Vejo	VMIP1S0	ver
com	com	SPS00	com
Satisfação	satisfação	NCFS000	satisfação
pela	pela	SPS00+DA0FS0	por+o
sua	sua	DP3FS0	seu
conrespondencia	correspondência	NCFS000	correspondência
com	com	SPS00	com
o	o	DA0MS0	o
Leitor	Leitor	NP00000	leitor
deste	deste	SPS00+DD0MS0	de+este
Colegio	Colégio	NP00000	colégio
,	,	Fc	,
cujas	cujas	PU0FP000	cujo
cartas	cartas	NCFP000	carta
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
tem	tem	VAIP3S0	ter
mostrado	mostrado	VMP0000	mostrar
,	,	Fc	,
que	que	CS	que
o	o	DA0MS0	o
Pe	Padre	NP00000	padre
Me	Mestre	NP00000	mestre
,	,	Fc	,
pela	pela	SPS00+DA0FS0	por+o
doçura	doçura	NCFS000	doçura
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
genio	génio	NCMS000	génio
,	,	Fc	,
condescende	condescende	VMIP3S0	condescender
com	com	SPS00	com
a	a	DA0FS0	o
ma	minha	DP1FSS	meu
vonte	vontade	NCFS000	vontade
,	,	Fc	,
prontificandose	prontificando-se	VMG0000+P00CN000	prontificar+se
a	a	SPS00	a
dar	dar	VMN0000	dar
ao	ao	SPS00+DA0MS0	a+o
Ião	Irmão	NCMS000	irmão
huma	uma	DI0FS0	um
Satisfação	satisfação	NCFS000	satisfação
em	em	SPS00	em
par	particular	NCMS000	particular
ou	ou	CC	ou
em	em	SPS00	em
publico	público	AQ0MS0	público
,	.	Fp	.
e	E	CC	e
dezejando	desejando	VMG0000	desejar
eu	eu	PP1CSN00	eu
de	de	SPS00	de
huma	uma	DI0FS0	um
vez	vez	NCFS000	vez
consilia-los	conciliá-los	VMN0000+PP3MPA00	conciliar+o
com	com	SPS00	com
firmes	firmes	AQ0CP0	firme
Laços	laços	NCMP000	laço
de	de	SPS00	de
amizade	amizade	NCFS000	amizade
e	e	CC	e
fraternide	fraternidade	NCFS000	fraternidade
,	,	Fc	,
he	é	VSIP3S0	ser
da	da	SPS00+DA0FS0	de+o
ma	minha	DP1FSS	meu
vonte	vontade	NCFS000	vontade
que	que	CS	que
o	o	DA0MS0	o
Pe	Padre	NP00000	padre
Me	Mestre	NP00000	mestre
Leitor	Leitor	NP00000	Leitor
,	,	Fc	,
no	no	SPS00+DA0MS0	em+o
acto	ato	NCMS000	ato
mmo	mesmo	AQ0MS0	mesmo
do	do	SPS00+DA0MS0	de+o
Refeitorio	refeitório	NCMS000	refeitório
,	,	Fc	,
se	se	P00CN000	se
levantasse	levantasse	VMSI0S0	levantar
e	e	CC	e
desse	desse	VMSI0S0	dar
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
satisfação	satisfação	NCFS000	satisfação
uzando	usando	VMG0000	usar
daquellas	daquelas	SPS00+DD0FP0	de+aquele
mesmas	mesmas	AQ0FP0	mesmo
expressoens	expressões	NCFP000	expressão
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
com	com	SPS00	com
tanto	tanto	DI0MS0	tanto
gosto	gosto	NCMS000	gosto
Li	li	VMIS1S0	ler
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
ultima	última	AO0FS0	último
Carta	carta	NCFS000	carta
ao	ao	SPS00+DA0MS0	a+o
Pe	Padre	NP00000	padre
Me	Mestre	NP00000	mestre
Sta	Santa	NP00000	santa
Catharina	Catarina	NP00000	catarina
,	,	Fc	,
ficando	ficando	VMG0000	ficar
assim	assim	RG	assim
todos	todos	PI0MP000	todo
em	em	SPS00	em
boa	boa	AQ0FS0	bom
harmonia	harmonia	NCFS000	harmonia
e	e	CC	e
como	como	CS	como
se	se	CS	se
tal	tal	DD0CS0	tal
facto	facto	NCMS000	facto
não	não	RN	não
tivera	tivera	VAIM0S0	ter
acontecido	acontecido	VMP0000	acontecer
:	,	Fd	:
asseverando-lhe	asseverando-lhe	VMG0000+PP3CSD00	asseverar+lhe
que	que	CS	que
será	será	VSIF3S0	ser
este	este	DD0MS0	este
passo	passo	NCMS000	passo
,	,	Fc	,
nestes	nestes	SPS00+DD0MP0	em+este
ultimos	últimos	AQ0MP0	último
periodos	períodos	NCMP000	período
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
governo	governo	NCMS000	governo
,	,	Fc	,
da	da	SPS00+DA0FS0	de+o
maior	maior	AQ0CS0	maior
Satisfação	satisfação	NCFS000	satisfação
para	para	SPS00	para
mim	mim	PP1CSO00	mim
:	.	Fd	:
afianço lhe	Afianço-lhe	VMIP1S0+PP3CSD00	afiançar+lhe
o	o	DA0MS0	o
bom	bom	AQ0MS0	bom
acolhimto	acolhimento	NCMS000	acolhimento
do	do	SPS00+DA0MS0	de+o
Pe	Padre	NP00000	padre
Ião	Irmão	NP00000	irmão
e	e	CC	e
dezejo	desejo	VMIP1S0	desejar
se	se	P00CN000	se
conservem	conservem	VMSP3P0	conservar
sempre	sempre	RG	sempre
ambos	ambos	PI0MP000	ambos
na	na	SPS00+DA0FS0	em+o
milhor	melhor	AQ0CS0	melhor
harmonia	harmonia	NCFS000	harmonia
e	e	CC	e
concordia	concórdia	NCFS000	concórdia
,	,	Fc	,
concorrendo	concorrendo	VMG0000	concorrer
ambos	ambos	PI0MP000	ambos
de	de	SPS00	de
mãos	mãos	NCFP000	mão
dadas	dadas	VMP00PF	dar
pa	para	SPS00	para
o	o	DA0MS0	o
bom	bom	AQ0MS0	bom
regimen	regímen	NCMS000	regime
e	e	CC	e
conservação	conservação	NCFS000	conservação
dos	dos	SPS00+DA0MP0	de+o
Estudantes	estudantes	NCCP000	estudante
.	.	Fp	.
Estou	Estou	VMIP1S0	estar
certo	certo	AQ0MSP	certo
de	de	SPS00	de
não	não	RN	não
ficarem	ficarem	VMN03P0	ficar
frustradas	frustradas	VMP00PF	frustrar
as	as	DA0FP0	o
minhas	minhas	DP1FPS	meu
deligencias	diligências	NCFP000	diligência
e	e	CC	e
esperanças	esperanças	NCFP000	esperança
;	.	Fx	;
e	E	CC	e
dezejando	desejando	VMG0000	desejar
ao	ao	SPS00+DA0MS0	a+o
Pe	Padre	NP00000	padre
Me	Mestre	NP00000	mestre
Lor	Leitor	NP00000	Leitor
a	a	DA0FS0	o
milhor	melhor	AQ0CS0	melhor
saude	saúde	NCFS000	saúde
,	,	Fc	,
mostrarei	mostrarei	VMIF1S0	mostrar
sempre	sempre	RG	sempre
que	que	CS	que
sou	sou	VSIP1S0	ser
com	com	SPS00	com
verde	verdade	NCFS000	verdade
seu	seu	DP3MS0	seu
...	...	Fs	...
Ao	Amigo	NCMS000	amigo
affto	afetuoso	AQ0MS0	afetuoso
,	,	Fc	,
vor	venerador	NCMS000	venerador
,	,	Fc	,
I	Irmão	NCMS000	irmão
,	,	Fc	,
e	e	CC	e
Sr	servidor	NCMS000	servidor
,	,	Fc	,
Fr	Frei	NP00000	frei
Joze	José	NP00000	josé
de	de	SPS00	de
S	São	NP00000	são
Miguel	Miguel	NP00000	miguel
de	de	SPS00	de
Lobrigos	Lobrigos	NP00000	lobrigos
,	,	Fc	,
Valle	Vale	NP00000	vale
de	de	SPS00	de
Piede	Piedade	NP00000	piedade
,	,	Fc	,
16	16	Z	16
de	de	SPS00	de
9bro	novembro	NC00000	novembro
de	de	SPS00	de
1822	1822	Z	1822
.	.	Fp	.
PS	PS	NCMS000	ps
Eu	Eu	PP1CSN00	eu
dou	dou	VMIP1S0	dar
ao	ao	SPS00+DA0MS0	a+o
Pe	Padre	NP00000	padre
Ião	Irmão	NP00000	irmão
esta	esta	DD0FS0	este
mma	mesma	AQ0FS0	mesmo
parte	parte	NCFS000	parte
,	.	Fc	,
porem	Porém	RG	porém
,	,	Fc	,
será	será	VSIF3S0	ser
bom	bom	AQ0MS0	bom
q	que	CS	que
antes	antes	RG	antes
disso	disso	SPS00+PD0NN000	de+isso
o	o	DA0MS0	o
Pe	Padre	NP00000	padre
Me	Mestre	NP00000	mestre
o	o	PP3MSA00	o
previna	previna	VMSP0S0	prevenir
,	,	Fc	,
fazendo-lhe	fazendo-lhe	VMG0000+PP3CSD00	fazer+lhe
saber	saber	VMN0000	saber
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
rezolução	resolução	NCFS000	resolução
de	de	SPS00	de
dar	dar	VMN0000	dar
a	a	DA0FS0	o
Satisfação	satisfação	NCFS000	satisfação
na	na	SPS00+DA0FS0	em+o
referida	referida	VMP00SF	referir
occazião	ocasião	NCFS000	ocasião
;	,	Fx	;
etc	etc	NCMS000	etc
.	.	Fp	.
Proval	Provincial	NCMS000	provincial
