Exmo	Excelentíssimo	AQSMS0	excelente
Amigo	Amigo	NP00000	amigo
do	do	SPS00+DA0MS0	de+o
C	coração	NCMS000	coração
	,	Fc	,
Afinal	afinal	RG	afinal
vereficou-se	verificou-se	VMIS3S0+P00CN000	verificou-se
o	o	DA0MS0	o
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
tanto	tanto	CC	tanto
temia	temia	VMII0S0	temer
,	.	Fp	.
ja	Já	RG	já
não	não	RN	não
existe	existe	VMIP3S0	existir
minha	minha	DP1FSS	meu
Mulher	mulher	NCFS000	mulher
a	a	SPS00	a
qm	quem	PR0CN000	quem
tanto	tanto	RC	tanto
amava	amava	VMII0S0	amar
!	!	Fp	!
!	!	Fp	!
Eu	Eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
conforme	conforme	CS	conforme
com	com	SPS00	com
os	os	DA0MP0	o
Decretos	Decretos	NCMP000	decreto
da	da	SPS00+DA0FS0	de+o
Provida	Providência	NP00000	providência
	.	Fp	.
agora	Agora	RG	agora
ja	já	RG	já
não	não	RN	não
he	é	VSIP3S0	ser
remedio	remédio	NCMS000	remédio
,	.	Fp	.
ella	Ela	PP3FS000	ele
não	não	RN	não
seria	seria	VSIC0S0	ser
victima	vítima	NCFS000	vítima
se	se	CS	se
eu	eu	PP1CSN00	eu
tivesse	tivesse	VMSI0S0	ter
chigado	chegado	VMP00SM	chegar
a	a	SPS00	a
Lxa	Lxa	NP00000	lisboa
a	a	SPS00	a
tempo	tempo	NCMS000	tempo
de	de	SPS00	de
a	a	SPS00	a
poder	poder	VMN0000	poder
salvar	salvar	VMN0000	salvar
,	,	Fc	,
mas	mas	CC	mais
esta	esta	DD0FS0	este
dura	dura	VMIP3S0	durar
Ley	lei	NCFS000	lei
Militar	militar	AQ0CS0	militar
foi	foi	VMIS3S0	ir
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
assassino	assassino	NCMS000	assassino
,	.	Fp	.
e	E	CC	e
Ds	Deus	NP00000	deus
queira	queira	VMSP0S0	querer
não	não	RN	não
faça	faça	VMSP0S0	fazer
ainda	ainda	RG	ainda
mais	mais	RC	mais
victimas	vítimas	NCFP000	vítima
.	.	Fp	.
Ah	Ah	I	ah
	,	Fc	,
meu	meu	DP1MSS	meu
amigo	amigo	NCMS000	amigo
	,	Fc	,
sofrêr	sofrer	VMN0000	sofrer
tanto	tanto	CC	tanto
com	com	SPS00	com
huma	uma	DI0FS0	um
doença	doença	NCFS000	doença
tão	tão	RC	tão
impertinente	impertinente	AQ0CS0	impertinente
e	e	CC	e
doloróza	dolorosa	NCFS000	dolorosa
,	,	Fc	,
estar	estar	VMN0000	estar
ainda	ainda	RG	ainda
convalecendo	convalescendo	VMG0000	convalescer
e	e	CC	e
seportar	suportar	VMN0000	suportar
,	,	Fc	,
sobre	sobre	SPS00	sobre
tudo	tudo	PI0NN000	tudo
isto	isto	PD0NN000	isto
,	,	Fc	,
hum	um	DI0MS0	um
golpe	golpe	NCMS000	golpe
tão	tão	RC	tão
factal	fatal	AQ0CS0	fatal
pa	para	SPS00	para
mim	mim	PP1CSO00	mim
e	e	CC	e
ainda	ainda	RG	ainda
viver	viver	VMN0000	viver
he	é	VSIP3S0	ser
não	não	RN	não
ser	ser	VSN0000	ser
chorão	chorão	NCFS000	chorão
e	e	CC	e
babão	babão	NCFS000	babão
.	.	Fp	.
Os	Os	DA0MP0	o
meus	meus	DP1MPS	meu
cuidadosdesvelos	desvelos	NCMP000	desvelo
agora	agora	RG	agora
se	se	CS	se
empregãosão	empregam	VMIP3P0	empregar
sem	sem	SPS00	sem
ha	a	DA0FS0	o
rotina	rotina	NCFS000	rotina
,	.	Fp	.
sua	Sua	DP3FS0	seu
May	mãe	NCFS000	mãe
nos	nos	SPS00+DA0MP0	em+o
ultimos	últimos	AQ0MP0	último
instantes	instantes	NCMP000	instante
a	a	PP3FSA00	o
recommendou	recomendou	VMIS3S0	recomendar
aos	aos	SPS00+DA0MP0	a+o
meus	meus	DP1MPS	meu
cuidados	cuidados	NCMP000	cuidado
,	.	Fp	.
não	Não	RN	não
hera	era	VSII0S0	ser
precizo	preciso	AQ0MS0	preciso
