Illmo	Ilustríssimo	AQSMS0	ilustre
Recebeo	Recebeu	VMIS3S0	receber
Joze	José	NP00000	josé
Xavier	Xavier	NP00000	xavier
a	a	DA0FS0	o
sua	sua	PX3FS000	seu
e	e	CC	e
por	por	SPS00	por
elle	ele	PP3MS000	ele
não	não	RN	não
poder	poder	VMN0000	poder
escrevo	escrevo	VMIP1S0	escrever
eu	eu	PP1CSN00	eu
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
agradecer	agradecer	VMN0000	agradecer
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
expreçois	expressões	NCFP000	expressão
e	e	CC	e
dezer lhe	dizer-lhe	VMN0000+PP3CSD00	dizer+lhe
pela	pela	SPS00+DA0FS0	por+o
boca	boca	NCFS000	boca
de	de	SPS00	de
J	José	NP00000	josé
X	Xavier	NP00000	xavier
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
mais	mais	RC	mais
voltas	voltas	NCFP000	volta
q	que	PR0CN000	que
o	o	DA0MS0	o
Mundo	mundo	NCMS000	mundo
dei	dê	VMSP0S0	dar
e	e	CC	e
por	por	SPS00	por
mais	mais	RC	mais
empregos	empregos	NCMP000	emprego
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
tenha	tenha	VMSP0S0	ter
	,	Fc	,
nada	nada	PI0NN00N	nada
o	o	PP3MSA00	o
fara	fará	VMIF3S0	fazer
modar	mudar	VMN0000	mudar
	.	Fp	.
elle	Ele	PP3MS000	ele
he	é	VSIP3S0	ser
amigo	amigo	NCMS000	amigo
dos	dos	SPS00+DA0MP0	de+o
seus	seus	DP3MP0	seu
Amos	amigos	NCMP000	amigo
Como	como	CS	como
de	de	SPS00	de
antes	antes	RG	antes
:	.	Fp	.
como	Como	CS	como
de	de	SPS00	de
antes	antes	RG	antes
elle	ele	PP3MS000	ele
respeita	respeita	VMIP3S0	respeitar
os	os	DA0MP0	o
vertuozos	virtuosos	NCMP000	virtuoso
e	e	CC	e
detesta	detesta	VMIP3S0	detestar
os	os	DA0MP0	o
malvados	malvados	NCMP000	malvado
e	e	CC	e
como	como	CS	como
de	de	SPS00	de
antes	antes	RG	antes
elle	ele	PP3MS000	ele
reçebe	recebe	VMIP3S0	receber
os	os	DA0MP0	o
seos	seus	DP3MP0	seu
Amos	amigos	NCMP000	amigo
em	em	SPS00	em
sua	sua	DP3FS0	seu
caza	casa	NCFS000	casa
com	com	SPS00	com
a	a	DA0FS0	o
mesma	mesma	AQ0FS0	mesmo
franqueza	franqueza	NCFS000	franqueza
e	e	CC	e
com	com	SPS00	com
a	a	DA0FS0	o
mesma	mesma	AQ0FS0	mesmo
amizade	amizade	NCFS000	amizade
	.	Fp	.
portanto	Portanto	RG	portanto
	,	Fc	,
elle	ele	PP3MS000	ele
sabe	sabe	VMIP3S0	saber
q	que	CS	que
VSa	VSa	NP00000	VSa
he	é	VSIP3S0	ser
seu	seu	DP3MS0	seu
Amo	amigo	NCMS000	amigo
e	e	CC	e
por	por	SPS00	por
iso	isso	PD0NN000	isso
nunca	nunca	RN	nunca
se	se	P00CN000	se
podera	poderá	VMIF3S0	poder
esqueçer	esquecer	VMN0000	esquecer
de	de	SPS00	de
VSa	VSa	NP00000	VSa
nem	nem	CCN	nem
dos	dos	SPS00+DA0MP0	de+o
seos	seus	PX3MP000	seu
e	e	CC	e
quem	quem	PR0CN000	quem
nos	nos	PP2CP000	vos
recomendara	recomendara	VMIM0S0	recomendar
mto	muito	RQ	muito
e	e	CC	e
mto	muito	RQ	muito
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
seu	seu	DP3MS0	seu
mano	mano	NCMS000	mano
Joaqm	Joaquim	NP00000	joaquim
q	que	CS	que
não	não	RN	não
he	é	VSIP3S0	ser
agora	agora	RG	agora
tempo	tempo	NCMS000	tempo
de	de	SPS00	de
se	se	P00CN000	se
tratar	tratar	VMN0000	tratar
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
sabe	sabe	VMIP3S0	saber
	.	Fp	.
e	E	CC	e
logo	logo	RG	logo
q	que	CS	que
o	o	PP3MSA00	o
seja	seja	VSSP0S0	ser
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
avizaria	avisaria	VMIC0S0	avisar
	.	Fp	.
Mto	Muito	RQ	muito
lhe	lhe	PP3CSD00	lhe
agradeço	agradeço	VMIP1S0	agradecer
as	as	DA0FP0	o
noticias	notícias	NCFP000	notícia
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
caro	caro	AQ0MS0	caro
filho	filho	NCMS000	filho
e	e	CC	e
veja	veja	VMSP0S0	ver
se	se	CSI	se
mete	mete	VMIP3S0	meter
na	na	SPS00+DA0FS0	em+o
cabeça	cabeça	NCFS000	cabeça
do	do	SPS00+DA0MS0	de+o
Madeira	Madeira	NP00000	madeira
q	que	CS	que
o	o	PP3MSA00	o
vá	vá	VMSP0S0	ir
vaçinar	vacinar	VMN0000	vacinar
	.	Fp	.
e	E	CC	e
aDs	adeus	I	adeus
	.	Fp	.
creia	Creia	VMSP0S0	crer
q	que	CS	que
sou	sou	VSIP1S0	ser
De	de	SPS00	de
VSa	VSa	NP00000	VSa
mto	muito	RQ	muito
amiga	amiga	AQ0FS0	amigo
e	e	CC	e
obrigada	obrigada	VMP00SF	obrigar
	.	Fp	.
T.	T.	NP00000	t
G.	G.	NP00000	g
T.	T.	NP00000	t
M.	M.	NP00000	m
Lxa	Lxa	NP00000	lisboa
	,	Fc	,
18	18	Z	18
de	de	SPS00	de
Junho	junho	NCMS000	junho
de	de	SPS00	de
1823	1823	Z	1823
