Acha-se	Acha-se	VMIP3S0+P00CN000	achar+se
nesta	nesta	SPS00+DD0FS0	em+este
Cidade	cidade	NCFS000	cidade
ospedado	hospedado	VMP00SM	hospedar
na	na	SPS00+DA0FS0	em+o
Estalagem	estalagem	NCFS000	estalagem
dos	dos	SPS00+DA0MP0	de+o
Cami-los	Camilos	NP00000	camilos
hum	um	Z	um
Rdo	reverendo	NCMS000	reverendo
Pe	padre	NCMS000	padre
pr	por	SPS00	por
nome	nome	NCMS000	nome
Estevão	Estêvão	NP00000	estêvão
de	de	SPS00	de
tal	tal	PD0CS000	tal
q	que	PR0CN000	que
se	se	P00CN000	se
dis	diz	VMIP3S0	dizer
ser	ser	VSN0000	ser
Prior	prior	NCMS000	prior
do	do	SPS00+DA0MS0	de+o
Lugr	lugar	NCMS000	lugar
do	do	SPS00+DA0MS0	de+o
Paul	Paúl	NP00000	paúl
	,	Fc	,
termo	termo	NCMS000	termo
da	da	SPS00+DA0FS0	de+o
Va	vila	NCFS000	vila
da	da	SPS00+DA0FS0	de+o
Covilham	Covilhã	NP00000	covilhã
;	,	Fc	,
Ho-mem	homem	NCMS000	homem
sem	sem	SPS00	sem
duvida	dúvida	NCFS000	dúvida
o	o	DA0MS0	o
mais	mais	RC	mais
preverso	perverso	AQ0MS0	perverso
q	que	CS	que
nas	nas	SPS00+DA0FP0	em+o
atuais	atuais	AQ0CP0	atual
circunstancias	circunstâncias	NCFP000	circunstância
dar-se	dar-se	VMN0000+P00CN000	dar+se
pode	pode	VMIP3S0	poder
pois	pois	CS	pois
ali	ali	RG	ali
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
atual	atual	AQ0CS0	atual
reziden-cia	residência	NCFS000	residência
	,	Fc	,
clama	clama	VMIP3S0	clamar
constantemte	constantemente	RG	constantemente
contra	contra	SPS00	contra
o	o	DA0MS0	o
Cistema	sistema	NCMS000	sistema
Constitu-cional	constitucional	AQ0CS0	constitucional
a	a	SPS00	a
ponto	ponto	NCMS000	ponto
de	de	SPS00	de
precipitarem-se	precipitarem-se	VMSF3P0+P00CN000	precipitar+se
com	com	SPS00	com
elle	ele	PP3MS000	ele
	,	Fc	,
pr	por	SPS00	por
esta	esta	DD0FS0	este
cauza	causa	NCFS000	causa
	,	Fc	,
alguns	alguns	DI0MP0	algum
Ospedados	hospedados	VMP00PM	hospedar
q	que	PR0CN000	que
ali	ali	RG	ali
se	se	P00CN000	se
achão	acham	VMIP3P0	achar
	,	Fc	,
como	como	CS	como
antes	antes	RG	antes
d'	de	SPS00	de
ontem	ontem	RG	ontem
ia	ia	VMII0S0	ir
sucedendo	sucedendo	VMG0000	suceder
a	a	SPS00	a
hum	um	DI0MS0	um
sogeito	sujeito	NCMS000	sujeito
chamado	chamado	VMP00SM	chamar
Jo-aqm	Joaquim	NP00000	joaquim
Teixeira	Teixeira	NP00000	teixeira
	,	Fc	,
natural	natural	AQ0CS0	natural
de	de	SPS00	de
Covilham	Covilhã	NP00000	covilhã
	,	Fc	,
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
mmo	mesmo	AQ0MS0	mesmo
Dono	dono	NCMS000	dono
da	da	SPS00+DA0FS0	de+o
Estalagem	estalagem	NCFS000	estalagem
	,	Fc	,
dizendo	dizendo	VMG0000	dizer
que	que	CS	que
o	o	DA0MS0	o
Congresso	congresso	NCMS000	congresso
em	em	SPS00	em
Cortes	Cortes	NP00000	cortes
he-ra	era	VSII0S0	ser
hum	um	DI0MS0	um
congresso	congresso	NCMS000	congresso
de	de	SPS00	de
Predreiros	pedreiros	NCMP000	pedreiro
Livres	livres	AQ0CP0	livre
e	e	CC	e
q	que	CS	que
nada	nada	PI0NN00N	nada
mais	mais	RC	mais
a-li	ali	RG	ali
fazião	faziam	VMII3P0	fazer
nem	nem	CCN	nem
