Meu	Meu		
adorado	adorado		
bem	bem		
	.		
Ca	Cá		
recebi	recebi		
a	a		
cua	sua		
	,		
vejo	vejo		
o	o		
quanto	quanto		
me	me		
dis	diz		
	.		
ademirame	Admira-me	VMIP3S0+PP1CS000	admirar+me
Vmce	VM	NP00000	VM
diser	dizer	VMN0000	dizer
q	que	CS	que
eu	eu	PP1CSN00	eu
onte	ontem	RG	ontem
estava	estava	VMII0S0	estar
alegre	alegre	AQ0CS0	alegre
	.	Fp	.
pareceme	Parece-me	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
alegria	alegria	NCFS000	alegria
pa	para	SPS00	para
mim	mim	PP1CSO00	mim
ja	já	RG	já
ce	se	P00CN000	se
acabou	acabou	VMIS3S0	acabar
	.	Fp	.
o	O	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
poco	posso	VMIP1S0	poder
diser	dizer	VMN0000	dizer
q	que	CS	que
nunca	nunca	RN	nunca
em	em	SPS00	em
minha	minha	DP1FSS	meu
vida	vida	NCFS000	vida
não	não	RN	não
vi	vi	VMIS1S0	ver
nem	nem	CCN	nem
ovi	ouvi	VMIS1S0	ouvir
o	o	DA0MS0	o
q	que	PR0CN000	que
aqui	aqui	RG	aqui
te	tenho	VAIP1S0	ter
visto	visto	VMP00SM	ver
e	e	CC	e
ovisto	ouvisto	VMP00SM	ouvir
	.	Fp	.
onte	Ontem	RG	ontem
a	à	SPS00+DA0FS0	a+o
noite	noite	NCFS000	noite
veio	veio	VMIS3S0	vir
pa	para	SPS00	para
ca	cá	RG	cá
pa	para	SPS00	para
baixo	baixo	RG	baixo
16	16	Z	16
molheres	mulheres	NCFP000	mulher
tam	tão	RC	tão
perdidas	perdidas	VMP00PF	perder
q	que	CS	que
era	era	VSII0S0	ser
huma	uma	DI0FS0	um
conciencia	consciência	NCFS000	consciência
	.	Fp	.
não	Não	RN	não
ce	se	P00CN000	se
pode	pode	VMIP3S0	poder
durmir	dormir	VMN0000	dormir
nada	nada	PI0NN00N	nada
	.	Fp	.
eu	Eu	PP1CSN00	eu
estive	estive	VMIS1S0	estar
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
noite	noite	NCFS000	noite
como	como	PA000000	como
agora	agora	RG	agora
	.	Fp	.
do	Do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
Vmce	VM	NP00000	VM
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
d	de	SPS00	de
eu	eu	PP1CSN00	eu
pedir	pedir	VMN0000	pedir
merzircordia	misericórdia	NCFS000	misericórdia
	:	Fd	:
o	ao	SPS00+DA0MS0	a+o
diabo	Diabo	NP00000	diabo
	,	Fc	,
q	que	PT0CS000	que
ei	hei	VMIP1S0	haver
de	de	SPS00	de
eu	eu	PP1CSN00	eu
pedir	pedir	VMN0000	pedir
	?	Fit	?
c	Se	CS	se
ele	ele	PP3MS000	ele
he	é	VSIP3S0	ser
hum	um	DI0MS0	um
home	homem	NCMS000	homem
falto	falto	AQ0MS0	falto
de	de	SPS00	de
relegião	religião	NCFS000	religião
	,	Fc	,
como	como	PA000000	como
pode	pode	VMIP3S0	poder
ele	ele	PP3MS000	ele
ter	ter	VMN0000	ter
do	dó	NCMS000	dó
de	de	SPS00	de
nos	nós	PP1CP000	nós
	?	Fit	?
ele	Ele	PP3MS000	ele
fes	fez	VMIS3S0	fazer
isto	isto	PD0NN000	isto
pa	para	SPS00	para
ce	se	P00CN000	se
vingar	vingar	VMN0000	vingar
de	de	SPS00	de
Vmce	VM	NP00000	VM
	.	Fp	.
porq	Porque	CS	porque
lhe	lhe	PP3CSD00	lhe
dice	disse	VMIS3S0	dizer
o	o	DA0MS0	o
tomas	Tomás	NP00000	tomás
o	o	DA0MS0	o
q	que	PR0CN000	que
Vmce	VM	NP00000	VM
lhe	lhe	PP3CSD00	lhe
dice	disse	VMIS3S0	dizer
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
loje	loja	NCFS000	loja
	,	Fc	,
de	de	SPS00	de
mim	mim	PP1CSO00	mim
	,	Fc	,
porq	porque	CS	porque
vevia	vivia	VMII0S0	viver
na	na	SPS00+DA0FS0	em+o
disconfianca	desconfiança	NCFS000	desconfiança
q	que	CS	que
eu	eu	PP1CSN00	eu
falava	falava	VMII0S0	falar
aos	aos	SPS00+DA0MP0	a+o
meus	meus	DP1MPS	meu
parentes	parentes	NCCP000	parente
	.	Fp	.
aqui	Aqui	RG	aqui
esteve	esteve	VMIS3S0	estar
o	o	DA0MS0	o
francisco	Francisco	NP00000	francisco
das	das	SPS00+DA0FP0	de+o
moralhas	Muralhas	NP00000	muralhas
do	do	SPS00+DA0MS0	de+o
carmo	Carmo	NP00000	carmo
	,	Fc	,
onte	ontem	RG	ontem
	,	Fc	,
e	e	CC	e
me	me	PP1CS000	me
dice	disse	VMIS3S0	dizer
q	que	CS	que
ele	ele	PP3MS000	ele
hera	era	VSII0S0	ser
hum	um	DI0MS0	um
home	homem	NCMS000	homem
muito	muito	RQ	muito
máo	mau	AQ0MS0	mau
	,	Fc	,
q	que	CS	que
ningem	ninguém	PI0NN00N	ninguém
ce	se	P00CN000	se
capacita	capacita	VMIP3S0	capacitar
de	de	SPS00	de
