Illmo	Ilustríssimo	AQSMS0	ilustre
A	Amigo	NP00000	amigo
Snr	Senhor	NP00000	senhor
Silva	Silva	NP00000	silva
Recebi	Recebi	VMIS1S0	receber
a	a	SPS00	a
sua	sua	DP3FS0	seu
e	e	CC	e
sinto	sinto	VMIP1S0	sentir
que	que	CS	que
não	não	RN	não
tenha	tenha	VMSP0S0	ter
passado	passado	VMP0000	passar
bem	bem	RG	bem
,	.	Fp	.
eu	Eu	PP1CSN00	eu
vou	vou	VMIP1S0	ir
vivendo	vivendo	VMG0000	viver
conforme	conforme	SPS00	conforme
o	o	DA0MS0	o
tempo	tempo	NCMS000	tempo
permitte	permite	VMIP3S0	permitir
.	.	Fp	.
Os	Os	DA0MP0	o
sujeitos	sujeitos	NCMP000	sujeito
abaixo	abaixo	RG	abaixo
declarados	declarados	VMP00PM	declarar
são	são	VSIP3P0	ser
todos	todos	PI0MP000	todo
de	de	SPS00	de
confiança	confiança	NCFS000	confiança
e	e	CC	e
abonnados	abonados	NCMP000	abonado
;	.	Fp	.
oxalá	Oxalá	I	oxalá
que	que	CS	que
o	o	DA0MS0	o
soccorressem	socorressem	DA0MS0	o
assim	assim	RG	assim
como	como	CS	como
podem	podem	VMIP3P0	poder
,	.	Fp	.
portanto	Portanto	RG	portanto
	,	Fc	,
pode	pode	VMIP3S0	poder
derijir-se	dirigir-se	VMN0000+P00CN000	dirigir+se
a	a	SPS00	a
elles	eles	PP3MP000	ele
,	,	Fc	,
porem	porém	RG	porém
não	não	RN	não
mencionan-do	mencionando	VMG0000	mencionar
de	de	SPS00	de
maneira	maneira	NCFS000	maneira
alguma	alguma	DI0FS0	algum
o	o	CC	e
meo	meu	DP1MSS	meu
nome	nome	NCMS000	nome
:	.	Fp	.
Ezequiel	Ezequiel	NP00000	Ezequiel
Anto	António	NP00000	antónio
de	de	SPS00	de
Carvalho	Carvalho	NP00000	carvalho
:	,	Fc	,
Rocio	Rossio	NP00000	rossio
:	,	Fc	,
No	Número	NCMS000	número
51	51	Z	51
:	,	Fc	,
4o	quarto	NCMS000	quarto
andar	andar	VMN0000	andar
:	.	Fp	.
João	João	NP00000	joão
Cancio	Câncio	NP00000	Câncio
de	de	SPS00	de
Mattos	Matos	NP00000	matos
:	,	Fc	,
Rua	Rua	NP00000	rua
do	do	SPS00+DA0MS0	de+o
Ouro	Ouro	NCMS000	ouro
	,	Fc	,
No	Número	NP00000	número
	244	NP00000	244
:	,	Fc	,
2o	segundo	SPS00	segundo
andar	andar	VMN0000	andar
:	.	Fp	.
Manoel	Manuel	NP00000	manuel
de	de	SPS00	de
Campos	Campos	NP00000	campos
Pereira	Pereira	NP00000	pereira
:	,	Fc	,
Mercador	mercador	NCMS000	mercador
da	da	SPS00+DA0FS0	de+o
Rua	Rua	NP00000	rua
Augusta	Augusta	AQ0FS0	augusto
	,	Fc	,
loja	loja	NCFS000	loja
No	Número	NP00000	número
250	250	Z	250
:	.	Fp	.
Miguel	Miguel	NP00000	miguel
Antonio	António	NP00000	antónio
Trancozo	Trancoso	NP00000	trancoso
deve	deve	VMIP3S0	dever
ser	ser	VSN0000	ser
procurado	procurado	VMP00SM	procurar
na	na	SPS00+DA0FS0	em+o
Fabrica	Fábrica	NCFS000	fábrica
da	da	SPS00+DA0FS0	de+o
Rua	Rua	NP00000	rua
da	da	SPS00+DA0FS0	de+o
Rosa	Rosa	NP00000	rosa
das	das	SPS00+DA0FP0	de+o
Partilhas	Partilhas	NCFP000	partilha
	,	Fc	,
No	Número	NCMS000	número
122	122	Z	122
C	C	NP00000	c
:	,	Fc	,
Francisco	Francisco	NP00000	francisco
d'	de	SPS00	de
Azevedo	Azevedo	NP00000	azevedo
Barbuda	Barbuda	NP00000	Barbuda
:	,	Fc	,
Rua	Rua	NP00000	rua
dos	dos	SPS00+DA0MP0	de+o
Capellistas	Capelistas	NP00000	Capelistas
	,	Fc	,
loja	loja	NCFS000	loja
Nº	Nº	NP00000	Nº
27	27	Z	27
J	J	NP00000	j
:	.	Fp	.
são	São	NP00000	são
estas	estas	DD0FP0	este
as	as	DA0FP0	o
pessoas	pessoas	NCFP000	pessoa
do	do	SPS00+DA0MS0	de+o
meo	meu	DP1MSS	meu
conheci-mento	conhecimento	NCMS000	conhecimento
que	que	PR0CN000	que
podem	podem	VMIP3P0	poder
favorecello	favorecê-lo	VMIP3P0	poder
querendo	querendo	VMG0000	querer
.	.	Fp	.
Lembro-lhe	Lembro-lhe	VMIP1S0+PP3CSD00	lembrar+lhe
que	que	CS	que
muitos	muitos	DI0MP0	muito
em	em	SPS00	em
iguais	iguais	AQ0CP0	igual
circontancias	circunstâncias	NCFP000	circunstância
como	como	SPS00	como
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
,	,	Fc	,
tendo	tendo	VMG0000	ter
requerido	requerido	VMP00SM	requerer
ao	ao	SPS00+DA0MS0	a+o
Snr	Senhor	NP00000	senhor
Intendente	Intendente	NP00000	intendente
allegando	alegando	VMG0000	alegar
