Ilmo	Ilustríssimo	AQSMS0	ilustre
Bto	Bento	NP00000	bento
Joze	José	NP00000	josé
Pto	Pinto	NP00000	pinto
da	da	SPS00+DA0FS0	de+o
Motta	Mota	NP00000	mota
Amo	Amigo	NP00000	amigo
do	do	SPS00+DA0MS0	de+o
C	coração	NCMS000	coração
	,	Fc	,
estimo	estimo	VMIP1S0	estimar
q	que	CS	que
a	a	SPS00	a
sua	sua	DP3FS0	seu
saude	saúde	NCFS000	saúde
lhe	lhe	PP3CSD00	lhe
seja	seja	VSSP0S0	ser
grata	grata	AQ0FS0	grato
e	e	CC	e
qra	queira	VMSP0S0	querer
aseitar	aceitar	VMN0000	aceitar
mtos	muitos	DI0MP0	muito
voutos	votos	NCMP000	voto
de	de	SPS00	de
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
Fama	família	NCFS000	família
	.	Fp	.
Da	Da	SPS00+DA0FS0	de+o
Carta	carta	NCFS000	carta
q	que	PR0CN000	que
Remeto	remeto	VMIP1S0	remeter
	,	Fc	,
vera	verá	VMIF3S0	ver
que	que	CS	que
meu	meu	DP1MSS	meu
Pro	primo	NCMS000	primo
Joze	José	NP00000	josé
Igno	Inácio	NP00000	inácio
se	se	CS	se
empenha	empenha	VMIP3S0	empenhar
em	em	SPS00	em
obter	obter	VMN0000	obter
o	o	DA0MS0	o
perdam	perdão	NCMS000	perdão
q	que	PR0CN000	que
declara	declara	VMIP3S0	declarar
na	na	SPS00+DA0FS0	em+o
mma	mesma	AQ0FS0	mesmo
carta	carta	NCFS000	carta
	.	Fp	.
rogo	Rogo	VMIP1S0	rogar
lhe	lhe	PP3CSD00	lhe
deveras	deveras	RG	deveras
o	o	PP3MSA00	o
serva	sirva	VMSP0S0	servir
	,	Fc	,
pois	pois	CS	pois
he	é	VSIP3S0	ser
hum	um	DI0MS0	um
Pro	primo	NCMS000	primo
a	a	SPS00	a
qm	quem	PR0CN000	quem
estemo	estimo	VMIP1S0	estimar
	.	Fp	.
e	E	CC	e
espero	espero	VMIP1S0	esperar
não	não	RN	não
falte	falte	VMSP0S0	faltar
nisto	nisto	SPS00+PD0NN000	em+isto
	,	Fc	,
pois	pois	CS	pois
lhe	lhe	PP3CSD00	lhe
quero	quero	VMIP1S0	querer
mostrar	mostrar	VMN0000	mostrar
q	que	CS	que
se	se	CS	se
não	não	RN	não
emgana	engana	VMIP3S0	enganar
em	em	SPS00	em
me	me	PP1CS000	me
concederar	considerar	VMN0000	considerar
seo	seu	DP3MS0	seu
Amo	amigo	NCMS000	amigo
	.	Fp	.
e	E	CC	e
senterei	sentirei	VMIF1S0	sentir
q	que	CS	que
vmce	VM	NP00000	VM
me	me	PP1CS000	me
não	não	RN	não
serva	sirva	VMSP0S0	servir
e	e	CC	e
a	a	SPS00	a
elle	ele	PP3MS000	ele
	.	Fp	.
e	E	CC	e
se	se	CS	se
vmce	VM	NP00000	VM
tem	tem	VMIP3S0	ter
rezão	razão	NCFS000	razão
da	da	SPS00+DA0FS0	de+o
queixa	queixa	NCFS000	queixa
contra	contra	SPS00	contra
os	os	DA0MP0	o
tais	tais	AQ0CP0	tais
cavadas	Cavadas	NP00000	Cavadas
	,	Fc	,
tera	terá	VMIF3S0	ter
mta	muita	DI0FS0	muito
ocazião	ocasião	NCFS000	ocasião
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
mostrar	mostrar	PP1CS000+PP3MPA00	me+o
por	por	SPS00	por
outro	outro	DI0MS0	outro
modo	modo	NCMS000	modo
a	a	SPS00	a
sua	sua	DP3FS0	seu
ma	má	AQ0FS0	mau
conduta	conduta	NCFS000	conduta
	,	Fc	,
e	e	CC	e
não	não	RN	não
nesta	nesta	SPS00+DD0FS0	em+este
ocazião	ocasião	NCFS000	ocasião
em	em	SPS00	em
que	que	PR0CN000	que
me	me	PP1CS000	me
vejo	vejo	VMIP1S0	ver
tam	tão	RC	tão
empenhado	empenhado	VMP00SM	empenhar
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
ds	Deus	NP00000	deus
 q	,	Fc	,
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vmce	VM	NP00000	VM
	.	Fp	.
Fra	Feira	NP00000	feira
	,	Fc	,
22	22	Z	22
de	de	SPS00	de
Mco	março	NCMS000	março
de	de	SPS00	de
1818	1818	Z	1818
De	De	SPS00	de
Vmce	VM	NP00000	VM
Amo	Amigo	NP00000	amigo
att	atento	AQ0MS0	atento
e	e	CC	e
obro	obrigado	VMP00SM	obrigar
	,	Fc	,
João	João	NP00000	joão
d	de	SPS00	de
Castro	Castro	NP00000	castro
da	da	SPS00+DA0FS0	de+o
Rocha	Rocha	NP00000	rocha
