Sr	Senhor	NP00000	senhor
Padre	Padre	NP00000	padre
Antonio	António	NP00000	antónio
Estimarei	Estimarei	VMIF1S0	estimar
que	que	CS	que
estas	estas	DD0FP0	este
duas	duas	Z	duas
Regas	regras	NCFP000	regra
o	o	PP3MSA00	o
achê	achem	VMSP3P0	achar
com	com	SPS00	com
huma	uma	DI0FS0	um
Prefeita	perfeita	AQ0FS0	perfeito
saude	saúde	NCFS000	saúde
,	.	Fp	.
pois	Pois	CS	pois
eu	eu	PP1CSN00	eu
quero	quero	VMIP1S0	querer
que	que	CS	que
Vmce	VM	NP0S000	VM
me	me	PP1CS000	me
de	dê	VMSP0S0	dar
a	a	DA0FS0	o
Resposta	resposta	NCFS000	resposta
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
mandei	mandei	VMIS1S0	mandar
dizer	dizer	VMN0000	dizer
na	na	SPS00+DA0FS0	em+o
Carta	carta	NCFS000	carta
	,	Fc	,
de	de	SPS00	de
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
criturar	escriturar	VMN0000	escriturar
pelo	pelo	SPS00+DA0MS0	por+o
Real	Real	AQ0CS0	real
espirito	Espírito	NP00000	espírito
que	que	PR0CN000	que
he	é	VSIP3S0	ser
Redamanto	Radamanto	NP00000	radamanto
,	,	Fc	,
e	e	CC	e
mais	mais	RC	mais
dois	dois	Z	dois
da	da	SPS00+DA0FS0	de+o
Da	dita	VMP00SF	dizer
suçiadade	sociedade	NCFS000	sociedade
que	que	PR0CN000	que
he	é	VSIP3S0	ser
Maria	Maria	NP00000	maria
Joaquina	Joaquina	NP00000	joaquina
e	e	CC	e
Anto	António	NP00000	antónio
Carlos	Carlos	NP00000	carlos
	.	Fp	.
estes	Estes	PD0MP000	este
são	são	VSIP3P0	ser
os	os	DA0MP0	o
que	que	PR0CN000	que
querem	querem	VMIP3P0	querer
que	que	CS	que
Vmce	VM	NP0S000	VM
diga	diga	VMSP0S0	dizer
a	a	SPS00	a
Radamanto	Radamanto	NP00000	radamanto
que	que	CS	que
haja	haja	VMSP0S0	haver
de	de	SPS00	de
Escriturar	escriturar	VMN0000	escriturar
na	na	SPS00+DA0FS0	em+o
mesma	mesma	AQ0FS0	mesmo
seita	seita	NCFS000	seita
que	que	PR0CN000	que
Vmce	VM	NP0S000	VM
estâ	está	VMIP3S0	estar
	.	Fp	.
quando	Quando	CS	quando
não	não	RN	não
	,	Fc	,
o	o	PP3MSA00	o
matemos	matemos	VMSP1P0	matar
por	por	SPS00	por
amor	amor	NCMS000	amor
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
Preçieto	preceito	NCMS000	preceito
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
pom	põe	VMIP3S0	pôr
a	a	SPS00	a
Radamanto	Radamanto	NP00000	radamanto
,	.	Fp	.
ja	Já	RG	já
basta	basta	VMIP3S0	bastar
de	de	SPS00	de
andar	andar	VMN0000	andar
na	na	SPS00+DA0FS0	em+o
desgraçia	desgraça	NCFS000	desgraça
em	em	SPS00	em
que	que	PR0CN000	que
andamos	andamos	VMIP1P0	andar
todos	todos	DI0MP0	todo
Rotos	rotos	AQ0MP0	roto
e	e	CC	e
descalços	descalços	AQ0MP0	descalço
por	por	SPS00	por
amor	amor	NCMS000	amor
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
preçeito	preceito	NCMS000	preceito
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
pom	põe	VMIP3S0	pôr
o	o	DA0MS0	o
Real	Real	AQ0CS0	real
Esperito	Espírito	NP00000	espírito
,	,	Fc	,
pois	pois	CS	pois
nôs	nós	PP1CP000	nós
estemos	estamos	VMIP1P0	estar
ReZalutos	resolutos	AQ0MP0	resoluto
a	a	SPS00	a
dar	dar	VMN0000	dar
Cabo	cabo	NCMS000	cabo
de	de	SPS00	de
Vmce	VM	NP0S000	VM
que	que	PR0CN000	que
he	é	VSIP3S0	ser
Tirarlhe	tirar-lhe	VMN0000+PP3CSD00	tirar+lhe
a	a	DA0FS0	o
vida	vida	NCFS000	vida
fora	fora	RG	fora
para	para	SPS00	para
se	se	P00CN000	se
acabar	acabar	VMN0000	acabar
o	o	DA0MS0	o
