Serenissimo	Sereníssimo	AQSMS0	sereno
Senhor	Senhor	NP00000	senhor
Tenho	Tenho	VMIP1S0	ter
a	a	DA0FS0	o
honra	honra	NCFS000	honra
de	de	SPS00	de
partecipar	participar	VMN0000	participar
a	a	SPS00	a
Vossa	Vossa	DP2FSP	vosso
Alteza	Alteza	NP00000	alteza
Real	Real	AQ0CS0	real
que	que	CS	que
fui	fui	VSIS1S0	ser
hontem	ontem	RG	ontem
procurado	procurado	VMP00SM	procurar
em	em	SPS00	em
minha	minha	DP1FSS	meu
casa	casa	NCFS000	casa
por	por	SPS00	por
Candido	Cândido	NP00000	cândido
d'	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Sandoval	Sandoval	NP00000	sandoval
;	.	Fp	.
pedio-me	Pediu-me	VMIS3S0+PP1CS000	pedir+me
q	que	CS	que
sahisse	saísse	VMSI0S0	sair
com	com	SPS00	com
elle	ele	PP3MS000	ele
,	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
fiz	fiz	VMIS1S0	fazer
immediatamente	imediatamente	RG	imediatamente
,	,	Fc	,
e	e	CC	e
logo	logo	RG	logo
nos	nos	SPS00+DA0MP0	em+o
dirigimos	dirigimos	VMIS1P0	dirigir
á	à	SPS00+DA0FS0	a+o
muralha	muralha	NCFS000	muralha
da	da	SPS00+DA0FS0	de+o
rua	Rua	NP00000	rua
das	das	SPS00+DA0FP0	de+o
Taipas	Taipas	NP00000	Taipas
(	(	Fc	(
lugar	lugar	NCMS000	lugar
bastantemente	bastantemente	RG	bastantemente
solitario	solitário	AQ0MS0	solitário
)	)	Fbt	)
e	e	CC	e
alli	ali	RG	ali
me	me	PP1CS000	me
entregou	entregou	VMIS3S0	entregar
duas	duas	Z	duas
Cartas	cartas	NCFP000	carta
rogando-me	rogando-me	VMG0000+PP1CS000	rogar+me
lhe	lhe	PP3CSD00	lhe
fizesse	fizesse	VMSI0S0	fazer
favor	favor	NCMS000	favor
de	de	SPS00	de
entregar	entregar	VMN0000	entregar
huma	uma	PI0FS000	um
a	a	SPS00	a
Caetano	Caetano	NP00000	caetano
José	José	NP00000	josé
de	de	SPS00	de
Carvalho	Carvalho	NP00000	carvalho
,	,	Fc	,
Boticario	boticário	NCMS000	boticário
ao	ao	SPS00+DA0MS0	a+o
Poço	Poço	NP00000	poço
Novo	Novo	NP00000	novo
,	,	Fc	,
e	e	CC	e
outra	outra	PI0FS000	outro
a	a	SPS00	a
Joaquim	Joaquim	NP00000	joaquim
Ferreira	Ferreira	NP00000	ferreira
,	,	Fc	,
Picador	picador	NCMS000	picador
da	da	SPS00+DA0FS0	de+o
3a	terceira	AQ0FS0	terceiro
Companhia	Companhia	NP00000	companhia
de	de	SPS00	de
Cavallaria	Cavalaria	NP00000	cavalaria
de	de	SPS00	de
Policia	Polícia	NP00000	polícia
;	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
rogou	rogou	VMIS3S0	rogar
igualmente	igualmente	RG	igualmente
dissesse	dissesse	VMSI0S0	dizer
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
acto	ato	NCMS000	ato
de	de	SPS00	de
entregar	entregar	VMN0000	entregar
as	as	DA0FP0	o
Cartas	cartas	NCFP000	carta
tanto	tanto	CC	tanto
a	a	SPS00	a
hum	um	PI0MS000	um
como	como	CC	como
a	a	SPS00	a
outro	outro	PI0MS000	outro
,	,	Fc	,
q	que	CS	que
elle	ele	PP3MS000	ele
Sandoval	Sandoval	NP00000	sandoval
lhes	lhes	PP3CPD00	lhe
desejava	desejava	VMII0S0	desejar
fallar	falar	VMN0000	falar
com	com	SPS00	com
brevidade	brevidade	NCFS000	brevidade
,	,	Fc	,
e	e	CC	e
q	que	CS	que
para	para	SPS00	para
este	este	DD0MS0	este
fim	fim	NCMS000	fim
destinassem	destinassem	VMSI3P0	destinar
o	o	DA0MS0	o
dia	dia	NCMS000	dia
e	e	CC	e
a	a	DA0FS0	o
hora	hora	NCFS000	hora
e	e	CC	e
o	o	DA0MS0	o
lugar	lugar	NCMS000	lugar
;	.	Fp	.
fiz	Fiz	VMIS1S0	fazer
exactamente	exatamente	RG	exatamente
quanto	quanto	PR0MS000	quanto
Sandoval	Sandoval	NP00000	sandoval
me	me	PP1CS000	me
pedio	pediu	VMIS3S0	pedir
:	.	Fp	.
fallei	Falei	VMIS1S0	falar
a	a	SPS00	a
Caetano	Caetano	NP00000	caetano
José	José	NP00000	josé
de	de	SPS00	de
Carvalho	Carvalho	NP00000	carvalho
,	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CS000	qual
	,	Fc	,
depois	depois	RG	depois
de	de	SPS00	de
lêr	ler	VMN0000	ler
a	a	DA0FS0	o
Carta	carta	NCFS000	carta
,	,	Fc	,
me	me	PP1CS000	me
deo	deu	VMIS3S0	dar
em	em	SPS00	em
resposta	resposta	NCFS000	resposta
q	que	CS	que
dissesse	dissesse	VMSI0S0	dizer
a	a	SPS00	a
Sandoval	Sandoval	NP00000	sandoval
q	que	CS	que
apparecesse	aparecesse	VMSI0S0	aparecer
depois	depois	RG	depois
de	de	SPS00	de
ámanhã	amanhã	RG	amanhã
á	à	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
no	no	SPS00+DA0MS0	em+o
largo	largo	NCMS000	largo
de	de	SPS00	de
Santa	Santa	NP00000	santa
Catharina	Catarina	NP00000	catarina
e	e	CC	e
q	que	CS	que
lá	lá	RG	lá
lhe	lhe	PP3CSD00	lhe
fallaria	falaria	VMIC0S0	falar
;	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
Picador	picador	NCMS000	picador
Joaquim	Joaquim	NP00000	joaquim
ferreira	Ferreira	NP00000	ferreira
deo-me	deu-me	VMIS3S0+PP1CS000	dar+me
em	em	SPS00	em
resposta	resposta	NCFS000	resposta
q	que	CS	que
fosse	fosse	VMSI0S0	ir
hoje	hoje	RG	hoje
Sandoval	Sandoval	NP00000	sandoval
a	a	SPS00	a
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
logo	logo	RG	logo
depois	depois	RG	depois
de	de	SPS00	de
Ave	Ave	NP00000	ave
Marias	Marias	NP00000	maria
ou	ou	CC	ou
á	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
cocheira	cocheira	NCFS000	cocheira
.	.	Fp	.
Ora	Ora	RG	ora
como	como	CS	como
sandoval	Sandoval	NP00000	sandoval
me	me	PP1CS000	me
acompanhou	acompanhou	VMIS3S0	acompanhar
até	até	SPS00	até
ao	ao	SPS00+DA0MS0	a+o
sitio	sítio	NCMS000	sítio
da	da	SPS00+DA0FS0	de+o
habitação	habitação	NCFS000	habitação
de	de	SPS00	de
seus	seus	DP3MP0	seu
amigos	amigos	NCMP000	amigo
,	,	Fc	,
fomos	fomos	VMIS1P0	ir
conversando	conversando	VMG0000	conversar
sobre	sobre	SPS00	sobre
os	os	DA0MP0	o
preparativos	preparativos	NCMP000	preparativo
para	para	SPS00	para
a	a	DA0FS0	o
Revolução	Revolução	NCFS000	revolução
q	que	CS	que
elle	ele	PP3MS000	ele
pertende	pretende	VMIP3S0	pretender
effectuar	efetuar	VMN0000	efetuar
;	.	Fp	.
e	E	CC	e
delle	dele	SPS00+PP3MS000	de+ele
sube	soube	VMIS1S0	saber
q	que	CS	que
o	o	DA0MS0	o
Coronel	Coronel	NP00000	coronel
Antonio	António	NP00000	antónio
Pereira	Pereira	NP00000	pereira
Quinland	Quinland	NP00000	quinland
mandára	mandara	VMIM0S0	mandar
hontem	ontem	RG	ontem
a	a	SPS00	a
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
huma	uma	DI0FS0	um
carta	carta	NCFS000	carta
por	por	SPS00	por
hum	um	DI0MS0	um
homem	homem	NCMS000	homem
chamado	chamado	VMP00SM	chamar
Bento	Bento	NP00000	bento
,	,	Fc	,
Gallêgo	galego	AQ0MS0	galego
,	,	Fc	,
q	que	PR0CN000	que
tinha	tinha	VAII0S0	ter
servido	servido	VMP00SM	servir
a	a	DA0FS0	o
Loja	loja	NCFS000	loja
«	«	Fra	«
Regeneração	Regeneração	NP00000	regeneração
»	»	Frt	»
e	e	CC	e
q	que	CS	que
o	o	DA0MS0	o
Coronel	Coronel	NP00000	coronel
lhe	lhe	PP3CSD00	lhe
mandava	mandava	VMII0S0	mandar
dizer	dizer	VMN0000	dizer
em	em	SPS00	em
sua	sua	DP3FS0	seu
Carta	carta	NCFS000	carta
q	que	CS	que
