Ilmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Govor	Governador	NP00000	governador
das	das	SPS00+DA0FP0	de+o
armas	Armas	NP00000	arma
O	O	DA0MS0	o
Te Coronel	Tenente-Coronel	NP00000	tenente-coronel
Emilio	Emílio	NP00000	Emílio
Mel	Manuel	NP00000	manuel
Mora	Moreira	NP00000	moreira
de	de	SPS00	de
Figrdo	Figueiredo	NP00000	figueiredo
	,	Fc	,
prezo	preso	AQ0MSP	preso
em	em	SPS00	em
a	a	DA0FS0	o
Forta	Fortaleza	NP00000	fortaleza
da	da	SPS00+DA0FS0	de+o
Guia	Guia	NP00000	guia
contra	contra	SPS00	contra
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
leii	lei	NCFS000	lei
	,	Fc	,
protesta	protesta	VMIP3S0	protestar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
	,	Fc	,
unica	única	AQ0FS0	único
auctoride	autoridade	NCFS000	autoridade
pr	por	SPS00	por
elle	ele	PP3MS000	ele
respeitada	respeitada	VMP00SF	respeitar
	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
precizo	preciso	AQ0MS0	preciso
huma	uma	DI0FS0	um
nova	nova	AQ0FS0	novo
reforma	reforma	NCFS000	reforma
nos	nos	SPS00+DA0MP0	em+o
membros	membros	NCMP000	membro
do	do	SPS00+DA0MS0	de+o
senado	Senado	NP00000	senado
intruzo	intruso	AQ0MS0	intruso
	,	Fc	,
os	os	DA0MP0	o
qs	quais	PR0CP000	qual
alem	além	RG	além
são	são	VSIP3P0	ser
conhecidos	conhecidos	VMP00PM	conhecer
e	e	CC	e
apontados	apontados	VMP00PM	apontar
como	como	SPS00	como
anteconstitucionáes	anticonstitucionais	AQ0MP0	anticonstitucional
na	na	SPS00+DA0FS0	em+o
resposta	resposta	NCFS000	resposta
q	que	PR0CN000	que
pr	por	SPS00	por
escripto	escrito	NCMS000	escrito
dei	dei	VMIS1S0	dar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
na	na	SPS00+DA0FS0	em+o
noite	noite	NCFS000	noite
de	de	SPS00	de
hontem	ontem	RG	ontem
	.	Fp	.
VSa	VSa	NP00000	VSa
fará	fará	VMIF3S0	fazer
convocar	convocar	VMN0000	convocar
huma	uma	DI0FS0	um
grde	grande	AQ0CS0	grande
reunião	reunião	NCFS000	reunião
no	no	SPS00+DA0MS0	em+o
senado	Senado	NP00000	senado
segdo	segundo	SPS00	segundo
o	o	DA0MS0	o
antigo	antigo	AQ0MS0	antigo
,	,	Fc	,
composta	composta	VMP00SF	compor
dos	dos	SPS00+DA0MP0	de+o
principáes	principais	AQ0CP0	principal
moradores	moradores	NCMP000	morador
désta	desta	SPS00+DD0FS0	de+este
Cide	Cidade	NCFS000	cidade
	,	Fc	,
onde	onde	PA000000	onde
eu	eu	PP1CSN00	eu
devo	devo	VMIP1S0	dever
comparecer	comparecer	VMN0000	comparecer
ou	ou	CC	ou
solto	solto	VMP00SM	soltar
ou	ou	CC	ou
prezo	preso	AQ0MSP	preso
	,	Fc	,
segdo	segundo	SPS00	segundo
a	a	DA0FS0	o
vontade	vontade	NCFS000	vontade
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
a	a	SPS00	a
fim	fim	NCMS000	fim
de	de	SPS00	de
sustentar	sustentar	VMN0000	sustentar
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
Direitos	direitos	NCMP000	direito
;	.	Fp	.
noto	Noto	VMIP1S0	notar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
q	que	CS	que
	,	Fc	,
indo	indo	VMG0000	ir
prezo	preso	AQ0MSP	preso
	,	Fc	,
não	não	RN	não
serão	serão	VSIF3P0	ser
pr	por	SPS00	por
mim	mim	PP1CSO00	mim
respeitadas	respeitadas	VMP00PF	respeitar
ordens	ordens	NCFP000	ordem
q	que	PR0CN000	que
não	não	RN	não
sejão	sejam	VSSP3P0	ser
escriptas	escritas	VMP00PF	escrever
pr	por	SPS00	por
VSa	VSa	NP00000	VSa
	,	Fc	,
pois	pois	CS	pois
só	só	RG	só
hé	é	VSIP3S0	ser
qm	quem	PR0CN000	quem
mas	mas	PP1CS000+PP3FPA00	me+o
deve	deve	VMIP3S0	dever
dar	dar	VMN0000	dar
,	.	Fp	.
ratefico	Ratifico	VMIP1S0	ratificar
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
protestos	protestos	NCMP000	protesto
entregues	entregues	VMP00PM	entregar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
	,	Fc	,
q	que	PR0CN000	que
fica	fica	VMIP3S0	ficar
désde	desde	SPS00	desde
já	já	RG	já
com	com	SPS00	com
responçabelide	responsabilidade	NCFS000	responsabilidade
se	se	CS	se
não	não	RN	não
forem	forem	VMSF3P0	ir
entregues	entregues	VMP00PM	entregar
ao	ao	SPS00+DA0MS0	a+o
Juis	juiz	NCMS000	juiz
da	da	SPS00+DA0FS0	de+o
Policia	Polícia	NP00000	polícia
	.	Fp	.
NB	NB	NCMS000	NB
	:	Fd	:
Estou	Estou	VMIP1S0	estar
encomunicavel	incomunicável	AQ0CS0	incomunicável
à	à	SPS00+DA0FS0	a+o
