Serenissimo	Sereníssimo	AQSMS0	sereno
Senhor	Senhor	NP00000	senhor
Tenho	Tenho	VMIP1S0	ter
a	a	DA0FS0	o
destincta	distinta	AQ0FS0	distinto
honra	honra	NCFS000	honra
de	de	SPS00	de
partecipar	participar	VMN0000	participar
a	a	SPS00	a
Vossa	Vossa	DP2FPS	vosso
Alteza	Alteza	NP00000	alteza
Real	Real	AQ0CS0	real
que	que	CS	que
hontem	ontem	RG	ontem
	,	Fc	,
pelas	pelas	SPS00+DA0FP0	por+o
sete	sete	Z	sete
horas	horas	NCFP000	hora
e	e	CC	e
meia	meia	AQ0FS0	mau
da	da	SPS00+DA0FS0	de+o
noute	noite	NCFS000	noite
	,	Fc	,
veio	veio	VMIS3S0	vir
a	a	SPS00	a
minha	minha	DP1FSS	meu
casa	casa	NCFS000	casa
Candido	Cândido	NP00000	cândido
d'	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Sandoval	Sandoval	NP00000	sandoval
	.	Fp	.
e	E	CC	e
tratando	tratando	VMG0000	tratar
logo	logo	RG	logo
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
Projecto	projeto	NCMS000	projeto
revolucionario	revolucionário	AQ0MS0	revolucionário
,	,	Fc	,
de	de	SPS00	de
novo	novo	AQ0MS0	novo
repetio	repetiu	VMIS3S0	repetir
algumas	algumas	DI0FP0	algum
cousas	coisas	NCFP000	coisa
por	por	SPS00	por
mim	mim	PP1CSO00	mim
já	já	RG	já
sabidas	sabidas	VMP00PF	saber
(	(	Fc	(
e	e	CC	e
q	que	PR0CN000	que
se	se	P00CN000	se
achão	acham	VMIP3P0	achar
nas	nas	SPS00+DA0FP0	em+o
antecedentes	antecedentes	AQ0CS0	antecedente
Participações	participações	NCFP000	participação
que	que	PR0CN000	que
tenho	tenho	VAIP1S0	ter
tido	tido	VMP0000	ter
a	a	DA0FS0	o
honra	honra	NCFS000	honra
de	de	SPS00	de
dirigir	dirigir	VMN0000	dirigir
a	a	SPS00	a
Vossa	Vossa	DP2FPS	vosso
Alteza	Alteza	NP00000	alteza
Real	Real	AQ0CS0	real
)	)	Fbt	)
;	.	Fp	.
emfim	Enfim	RG	enfim
	,	Fc	,
nesta	nesta	SPS00+DD0FS0	em+este
entrevista	entrevista	NCFS000	entrevista
que	que	PR0CN000	que
tivemos	tivemos	VMIS1P0	ter
	,	Fc	,
não	não	RN	não
pude	pude	VMIS1S0	poder
adiantar	adiantar	VMN0000	adiantar
nada	nada	PI0NN00N	nada
as	às	SPS00+DA0FP0	a+o
minhas	minhas	DP1FPS	meu
indagações	indagações	NCFP000	indagação
relativas	relativas	AQ0FP0	relativo
à	à	SPS00+DA0FS0	a+o
descoberta	descoberta	VMP00SF	descobrir
da	da	SPS00+DA0FS0	de+o
Conspiração	conspiração	NCFS000	conspiração
.	.	Fp	.
Comtudo	Contudo	RG	contudo
,	,	Fc	,
não	não	RN	não
deixei	deixei	VMIS1S0	deixar
de	de	SPS00	de
fallar	falar	VMN0000	falar
a	a	SPS00	a
Sandoval	Sandoval	NP00000	sandoval
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
amigo	amigo	NCMS000	amigo
Joaqm	Joaquim	NP00000	joaquim
Ferreira	Ferreira	NP00000	ferreira
,	,	Fc	,
Picador	picador	NCMS000	picador
da	da	SPS00+DA0FS0	de+o
Policia	Polícia	NP00000	polícia
,	,	Fc	,
perguntando-lhe	perguntando-lhe	VMG0000+PP3CSD00	perguntar+lhe
se	se	CSI	se
contava	contava	VMII0S0	contar
com	com	SPS00	com
elle	ele	PP3MS000	ele
para	para	SPS00	para
entrar	entrar	VMN0000	entrar
na	na	SPS00+DA0FS0	em+o
Conspiração	conspiração	NCFS000	conspiração
:	.	Fp	.
respondeo-me	Respondeu-me	VMIS3S0+PP1CS000	responder+me
Sandoval	Sandoval	NP00000	sandoval
que	que	CS	que
não	não	RN	não
porq	porque	CS	porque
sabia	sabia	VMII0S0	saber
que	que	CS	que
Joaquim	Joaquim	NP00000	joaquim
Ferreira	Ferreira	NP00000	ferreira
era	era	VSII0S0	ser
Realista	realista	AQ0CS0	realista
.	.	Fp	.
depois	Depois	RG	depois
disto	disto	SPS00+PD0NN000	de+isto
,	,	Fc	,
tirando	tirando	VMG0000	tirar
Sandoval	Sandoval	NP00000	sandoval
d'	de	SPS00	de
algebeira	algibeira	NCFS000	algibeira
hum	um	DI0MS0	um
pequeno	pequeno	AQ0MS0	pequeno
manuscripto	manuscrito	NCMS000	manuscrito
	,	Fc	,
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
que	que	CS	que
era	era	VSII0S0	ser
principio	princípio	NCMS000	princípio
de	de	SPS00	de
huma	uma	DI0FS0	um
obra	obra	NCFS000	obra
que	que	PR0CN000	que
tentava	tentava	VMII0S0	tentar
escrever	escrever	VMN0000	escrever
contra	contra	SPS00	contra
o	o	DA0MS0	o
R	Reverendo	NP00000	reverendo
Pe	Padre	NP00000	padre
José	José	NP00000	josé
Agostinho	Agostinho	NP00000	agostinho
de	de	SPS00	de
Macedo	Macedo	NP00000	macedo
;	.	Fp	.
e	E	CC	e
dahi	daí	SPS00+RG	de+aí
a	a	SPS00	a
pouco	pouco	DI0MS0	pouco
despedio-se	despediu-se	VMIS3S0+P00CN000	despedir+se
e	e	CC	e
retirou-se	retirou-se	VMIS3S0+P00CN000	retirar+se
;	,	Fc	,
ficando	ficando	VMG0000	ficar
de	de	SPS00	de
voltar	voltar	VMN0000	voltar
a	a	SPS00	a
minha	minha	DP1FSS	meu
casa	casa	NCFS000	casa
em	em	SPS00	em
a	a	DA0FS0	o
noute	noite	NCFS000	noite
do	do	SPS00+DA0MS0	de+o
dia	dia	NCMS000	dia
nove	nove	Z	nove
do	do	SPS00+DA0MS0	de+o
corrente	corrente	AQ0CS0	corrente
mez	mês	NCMS000	mês
.	.	Fp	.
Remetto	Remeto	VMIP1S0	remeter
o	o	DA0MS0	o
pequeno	pequeno	AQ0MS0	pequeno
manuscripto	manuscrito	NCMS000	manuscrito
q	que	PR0CN000	que
recebi	recebi	VMIS1S0	receber
de	de	SPS00	de
Sandoval	Sandoval	NP00000	sandoval
por	por	SPS00	por
contêr	conter	VMN0000	conter
maximas	máximas	NCFP000	máxima
sediciosas	sediciosas	AQ0FP0	sedicioso
e	e	CC	e
julgar	julgar	VMN0000	julgar
que	que	CS	que
deve	deve	VMIP3S0	dever
servir	servir	VMN0000	servir
de	de	SPS00	de
corpo	corpo	NCMS000	corpo
de	de	SPS00	de
delicto	delito	NCMS000	delito
no	no	SPS00+DA0MS0	em+o
Processo	processo	NCMS000	processo
que	que	PR0CN000	que
se	se	P00CN000	se
ha	há	VMIP3S0	haver
de	de	SPS00	de
formar	formar	VMN0000	formar
a	a	SPS00	a
Sandoval	Sandoval	NP00000	sandoval
.	.	Fp	.
He	É	VSIP3S0	ser
quanto	quanto	PR0MS000	quanto
por	por	SPS00	por
agora	agora	RG	agora
tenho	tenho	VMIP1S0	ter
a	a	DA0FS0	o
honra	honra	NCFS000	honra
de	de	SPS00	de
participar	participar	VMN0000	participar
a	a	SPS00	a
Vossa	Vossa	DP2FPS	vosso
Alteza	Alteza	NP00000	alteza
Real	Real	AQ0CS0	real
lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
7	7	Z	7
de	de	SPS00	de
Setembro	setembro	NCMS000	setembro
de	de	SPS00	de
1823	1823	Z	1823
.	.	Fp	.
Sou	Sou	VSIP1S0	ser
	,	Fc	,
com	com	SPS00	com
a	a	DA0FS0	o
maior	maior	AQ0CS0	maior
veneração	veneração	NCFS000	veneração
	,	Fc	,
de	de	SPS00	de
Vossa	Vossa	DP2FPS	vosso
Alteza	Alteza	NP00000	alteza
Real	Real	AQ0CS0	real
Humilde	humilde	AQ0CS0	humilde
e	e	CC	e
fiel	fiel	AQ0CS0	fiel
Subdito	súbdito	NCMS000	súbdito
	,	Fc	,
Joaquim	Joaquim	NP00000	joaquim
Maria	Maria	NP00000	maria
Torres	Torres	NP00000	torres
