Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Nós	nós	PP1CP000	nós
	,	Fc	,
os	os	DA0MP0	o
Consticionaes	Constitucionais	NCMP000	constitucional
	,	Fc	,
damos	damos	VMIP1P0	dar
a	a	SPS00	a
VSa	VSa	NP0S000	VSa
mil	mil	Z	mil
Louvores	louvores	NCMP000	louvor
de	de	SPS00	de
agradecimto	agradecimento	NCMS000	agradecimento
pelo	pelo	SPS00+DA0MS0	por+o
bem	bem	NCMS000	bem
com	com	SPS00	com
q	que	PR0CN000	que
se	se	P00CN000	se
tem	tem	VAIP3S0	ter
portado	portado	VMP0000	portar
na	na	SPS00+DA0FS0	em+o
nossa	nossa	DP1FSP	nosso
legitima	legítima	AQ0FS0	legítimo
cauza	causa	NCFS000	causa
;	,	Fc	,
já	já	RG	já
descubrindo	descobrindo	VMG0000	descobrir
os	os	DA0MP0	o
Malvados	malvados	NCMP000	malvado
q	que	PR0CN000	que
tanto	tanto	RC	tanto
percêguem	perseguem	VMIP3P0	perseguir
as	as	DA0FP0	o
determinações	determinações	NCFP000	determinação
do	do	SPS00+DA0MS0	de+o
nosso	nosso	DP1MSP	nosso
Augusto	Augusto	NP00000	augusto
Soberano	Soberano	AQ0MS0	soberano
,	,	Fc	,
e	e	CC	e
até	até	SPS00	até
castigando-os	castigando-os	VMG0000+PP3MPA00	castigar+o
	,	Fc	,
como	como	CS	como
elles	eles	PP3MP000	ele
merecem	merecem	VMIP3P0	merecer
;	,	Fc	,
como	como	CS	como
á	há	VMIP3S0	haver
pouco	pouco	RQ	pouco
se	se	P00CN000	se
observou	observou	VMIS3S0	observar
com	com	SPS00	com
aquelles	aqueles	DD0MP0	aquele
máos	maus	AQ0MP0	mau
Cidadões	cidadões	NCMP000	cidadão
q	que	PR0CN000	que
VSa	VSa	NP0S000	VSa
tem	tem	VAIP3S0	ter
mandado	mandado	VMP0000	mandar
prender	prender	VMN0000	prender
por	por	SPS00	por
blasfemarem	blasfemarem	VMN03P0	blasfemar
da	da	SPS00+DA0FS0	de+o
Constituição	Constituição	NP00000	constituição
na	na	SPS00+DA0FS0	em+o
Quinta	Quinta	NP00000	quinta
de	de	SPS00	de
Manoel	Manuel	NP00000	manuel
Alves	Alves	NP00000	alves
	,	Fc	,
fogueteiro	fogueteiro	NCMS000	fogueteiro
,	,	Fc	,
medidas	medidas	NCFP000	medida
estas	estas	DD0FP0	este
bem	bem	RC	bem
adquadas	adequadas	AQ0FP0	adequado
e	e	CC	e
muito	muito	RQ	muito
louvaveis	louváveis	AQ0CP0	louvável
pa	para	SPS00	para
os	os	DA0MP0	o
abitantes	habitantes	NCMP000	habitante
de	de	SPS00	de
Lisboa	Lisboa	NP00000	lisboa
.	.	Fp	.
He	É	VSIP3S0	ser
certo	certo	AQ0MS0	certo
q	que	CS	que
VSa	VSa	NP0S000	VSa
não	não	RN	não
pode	pode	VMIP3S0	poder
conhecer	conhecer	VMN0000	conhecer
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
máos	maus	NCMP000	mau
e	e	CC	e
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
inimigos	inimigos	NCMP000	inimigo
do	do	SPS00+DA0MS0	de+o
nosso	nosso	DP1MSP	nosso
Cystema	Sistema	NCMS000	sistema
Constitucional	Constitucional	AQ0CS0	constitucional
;	,	Fc	,
mas	mas	CC	mais
eu	eu	PP1CSN00	eu
tenho	tenho	VAIP1S0	ter
declarado	declarado	VMP0000	declarar
guerra	guerra	NCFS000	guerra
contra	contra	SPS00	contra
esta	esta	DD0FS0	este
canhalha	canalha	NCFS000	canalha
de	de	SPS00	de
revolcionarios	revolucionários	NCMP000	revolucionário
e	e	CC	e
maldizentes	maldizentes	NCMP000	maldizente
,	,	Fc	,
de	de	SPS00	de
Sorte	sorte	NCFS000	sorte
q	que	CS	que
eu	eu	PP1CSN00	eu
não	não	RN	não
emcubrirei	encobrirei	VMIF1S0	encobrir
nenhum	nenhum	PI0MS00N	nenhum
tanto	tanto	RC	tanto
q	que	CS	que
o	o	PP3MSA00	o
descubra	descubra	VMSP0S0	descobrir
e	e	CC	e
logo	logo	RG	logo
darei	darei	VMIF1S0	dar
parte	parte	NCFS000	parte
a	a	SPS00	a
VSa	VSa	NP0S000	VSa
	,	Fc	,
como	como	CS	como
fiz	fiz	VMIS1S0	fazer
com	com	SPS00	com
a	a	DA0FS0	o
çúcia	súcia	NCFS000	súcia
da	da	SPS00+DA0FS0	de+o
loja	loja	NCFS000	loja
de	de	SPS00	de
bebidas	bebidas	NCFP000	bebida
da	da	SPS00+DA0FS0	de+o
Graça	Graça	NP00000	graça
,	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
essa	essa	DD0FS0	esse
mma	mesma	AQ0FS0	mesmo
q	que	CS	que
VSa	VSa	NP0S000	VSa
acaba	acaba	VMIP3S0	acabar
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
prender	prender	VMN0000	prender
,	.	Fp	.
mas	Mas	CC	mas
ainda	ainda	RG	ainda
faltão	faltam	VMIP3P0	faltar
alguns	alguns	DI0MP0	algum
q	que	PR0CN000	que
tem	têm	VAIP3P0	ter
escapado	escapado	VMP0000	escapar
pela	pela	SPS00+DA0FS0	por+o
soncidade	sonsidade	NCFS000	sonsidade
,	,	Fc	,
como	como	CS	como
eu	eu	PP1CSN00	eu
já	já	RG	já
annunciei	anunciei	VMIS1S0	anunciar
a	a	SPS00	a
VSa	VSa	NP0S000	VSa
em	em	SPS00	em
outra	outra	DI0FS0	outro
oucazião	ocasião	NCFS000	ocasião
;	.	Fp	.
estes	Estes	PD0MP000	este
são	são	VSIP3P0	ser
,	:	Fd	:
o	o	DA0MS0	o
dono	dono	NCMS000	dono
da	da	SPS00+DA0FS0	de+o
mma	mesma	AQ0FS0	mesmo
loja	loja	NCFS000	loja
,	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
Clerigo	clérigo	NCMS000	clérigo
,	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
Caixeiro	caixeiro	NCMS000	caixeiro
,	,	Fc	,
e	e	CC	e
mais	mais	RC	mais
hum	um	DI0MS0	um
certo	certo	AQ0MS0	certo
Inquiridor	Inquiridor	NCMS000	inquiridor
da	da	SPS00+DA0FS0	de+o
Real	Real	NP00000	real
Junta	Junta	NP00000	junta
do	do	SPS00+DA0MS0	de+o
Comercio	Comércio	NCMS000	comércio
	,	Fc	,
por	por	SPS00	por
nome	nome	NCMS000	nome
Joaqm	Joaquim	NP00000	joaquim
Marçal	Marçal	NP00000	marçal
da	da	SPS00+DA0FS0	de+o
Fonceca	Fonseca	NP00000	fonseca
,	,	Fc	,
morador	morador	NCMS000	morador
na	na	SPS00+DA0FS0	em+o
rua	Rua	NP00000	rua
da	da	SPS00+DA0FS0	de+o
Oliveira	Oliveira	NP00000	oliveira
,	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
páço	Paço	NP00000	paço
do	do	SPS00+DA0MS0	de+o
Bemformozo	Benformoso	NP00000	benformoso
no	número	NCMS000	número
27	27	Z	27
,	,	Fc	,
segundo	segundo	AO0MS0	segundo
andar	andar	NCMS000	andar
;	.	Fp	.
mas	Mas	CC	mas
só	só	RG	só
se	se	P00CN000	se
encontra	encontra	VMIP3S0	encontrar
em	em	SPS00	em
caza	casa	NCFS000	casa
pela	pela	SPS00+DA0FS0	por+o
manhãa	manhã	NCFS000	manhã
athé	até	SPS00	até
as	às	SPS00+DA0FP0	a+o
sete	sete	Z	sete
ó	ou	CC	ou
oito	oito	Z	oito
horas	horas	NCFP000	hora
	,	Fc	,
pois	pois	CS	pois
vive	vive	VMIP3S0	viver
só	só	AQ0CS0	só
e	e	CC	e
não	não	RN	não
tem	tem	VMIP3S0	ter
familia	família	NCFS000	família
;	.	Fp	.
este	Este	DD0MS0	este
homem	homem	NCMS000	homem
he	é	VSIP3S0	ser
mto	muito	RQ	muito
amigo	amigo	NCMS000	amigo
de	de	SPS00	de
hum	um	DI0MS0	um
certo	certo	DI0MS0	certo
Fialho	Fialho	NP00000	Fialho
q	que	PR0CN000	que
tambem	também	RG	também
está	está	VMIP3S0	estar
prezo	preso	AQ0MS0	preso
pela	pela	SPS00+DA0FS0	por+o
mesma	mesma	AQ0FS0	mesmo
sucia	súcia	NCFS000	súcia
da	da	SPS00+DA0FS0	de+o
dita	dita	VMP00SF	dizer
Quinta	Quinta	NP00000	quinta
,	.	Fp	.
e	E	CC	e
este	este	DD0MS0	este
tal	tal	DD0CS0	tal
Fonceca	Fonseca	NP00000	fonseca
he	é	VSIP3S0	ser
hum	um	DI0MS0	um
grande	grande	AQ0CS0	grande
revolcionario	revolucionário	NCMS000	revolucionário
,	,	Fc	,
e	e	CC	e
muito	muito	RQ	muito
contra	contra	SPS00	contra
a	a	DA0FS0	o
constituição	Constituição	NP00000	constituição
,	,	Fc	,
e	e	CC	e
hum	um	DI0MS0	um
socio	sócio	NCMS000	sócio
dos	dos	SPS00+DA0MP0	de+o
mesmos	mesmos	AQ0MP0	mesmo
prezos	presos	NCMP000	preso
:	.	Fp	.
he	É	VSIP3S0	ser
percizo	preciso	AQ0MS0	preciso
q	que	CS	que
VSa	VSa	NP0S000	VSa
tome	tome	VMSP0S0	tomar
algum	algum	DI0MS0	algum
conhecimento	conhecimento	NCMS000	conhecimento
disto	disto	SPS00+PD0NN000	de+isto
,	,	Fc	,
para	para	SPS00	para
q	que	CS	que
não	não	RN	não
vá	vá	VMSP0S0	ir
a	a	SPS00	a
pior	pior	RC	pior
.	.	Fp	.
Deos	Deus	NP00000	deus
Guarde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
VSa	VSa	NP0S000	VSa
por	por	SPS00	por
dilatados	dilatados	VMP00PM	dilatar
annos	anos	NCMP000	ano
	,	Fc	,
para	para	SPS00	para
nosso	nosso	DP1MSP	nosso
sucêgo	sossego	NCMS000	sossego
,	,	Fc	,
e	e	CC	e
punidor	punidor	NCMS000	punidor
dos	dos	SPS00+DA0MP0	de+o
rebeldes	rebeldes	NCCP000	rebelde
,	,	Fc	,
como	como	CS	como
esperemos	esperemos	VMSP1P0	esperar
do	do	SPS00+DA0MS0	de+o
Zello	zelo	NCMS000	zelo
e	e	CC	e
conduta	conduta	NCFS000	conduta
com	com	SPS00	com
q	que	PR0CN000	que
VSa	VSa	NP0S000	VSa
tem	tem	VAIP3S0	ter
mostrado	mostrado	VMP0000	mostrar
a	a	SPS00	a
esta	esta	DD0FS0	este
Corte	Corte	NP00000	corte
q	que	CS	que
excede	excede	VMIP3S0	exceder
aos	aos	SPS00+DA0MP0	a+o
seus	seus	DP3MP0	seu
antecessores	antecessores	NCMS000	antecessor
	.	Fp	.
PS	PS	NCMS000	ps
Advirto	Advirto	VMIP1S0	advertir
q	que	CS	que
o	o	DA0MS0	o
sobredito	sobredito	VMP00SM	sobredizer
Fonceca	Fonseca	NP00000	fonseca
he	é	VSIP3S0	ser
hum	um	DI0MS0	um
dos	dos	SPS00+DA0MP0	de+o
q	que	PR0CN000	que
tem	tem	VAIP3S0	ter
iludido	iludido	VMP0000	iludir
alguns	alguns	DI0MP0	algum
Soldados	soldados	NCMP000	soldado
,	,	Fc	,
q	que	PR0CN000	que
tem	tem	VAIP3S0	ter
chegado	chegado	VMP0000	chegar
a	a	SPS00	a
cometer	cometer	VMN0000	cometer
grandes	grandes	AQ0CP0	grande
attentados	atentados	NCMP000	atentado
.	.	Fp	.
