Ilmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Govor	Governador	NP00000	governador
das	das	SPS00+DA0FP0	de+o
armas	Armas	NP00000	arma
Partecipo	Participo	VMIP1S0	participar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
q	que	CS	que
o	o	DA0MS0	o
Capm	Capitão	NP00000	capitão
de	de	SPS00	de
Infra	Infantaria	NP00000	infantaria
Joaqm	Joaquim	NP00000	joaquim
Pedro	Pedro	NP00000	pedro
da	da	SPS00+DA0FS0	de+o
Costa	Costa	NP00000	costa
e	e	CC	e
Brito	Brito	NP00000	brito
me	me	PP1CS000	me
foi	foi	VMIS3S0	ir
prender	prender	VMN0000	prender
ao	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
Quartel	quartel	NCMS000	quartel
sem	sem	SPS00	sem
me	me	PP1CS000	me
dar	dar	VMN0000	dar
a	a	DA0FS0	o
culpa	culpa	NCFS000	culpa
	.	Fp	.
e	E	CC	e
proguntando	perguntando	VMG0000	perguntar
á	a	DA0FS0	o
cuja	cuja	DT0FS0	cujo
ordem	ordem	NCFS000	ordem
	,	Fc	,
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
dice	disse	VMIS3S0	dizer
	:	Fd	:
	«	Fra	«
venha	Venha	VMSP0S0	vir
	,	Fc	,
venha	venha	VMSP0S0	vir
	»	Frt	»
	!	Fa	!
dice lhe	Disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
q	que	CS	que
só	só	RG	só
á	à	SPS00+DA0FS0	a+o
ordem	ordem	NCFS000	ordem
de	de	SPS00	de
VSa	VSa	NP00000	VSa
iria	iria	VMIC0S0	ir
	.	Fp	.
saiu	Saiu	VMIS3S0	sair
e	e	CC	e
dahi	daí	SPS00+RG	de+aí
a	a	SPS00	a
pouco	pouco	NCMS000	pouco
entrou	entrou	VMIS3S0	entrar
dizendo-me	dizendo-me	VMG0000+PP1CS000	dizer+me
q	que	CS	que
	«	Fra	«
á	à	SPS00+DA0FS0	a+o
ordem	ordem	NCFS000	ordem
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	»	Frt	»
	.	Fp	.
sahi	Saí	VMIS1S0	sair
com	com	SPS00	com
elle	ele	PP3MS000	ele
e	e	CC	e
topei	topei	VMIS1S0	topar
o	o	DA0MS0	o
Major	Major	NP00000	major
Graduado	Graduado	VMP00SM	graduar
Clemte	Clemente	NP00000	clemente
de	de	SPS00	de
Noronha	Noronha	NP00000	noronha
com	com	SPS00	com
sua	sua	DP3FS0	seu
escolta	escolta	NCFS000	escolta
	,	Fc	,
armada	armada	VMP00SF	armar
com	com	SPS00	com
armas	armas	NCFP000	arma
	,	Fc	,
logo	logo	RG	logo
á	à	SPS00+DA0FS0	a+o
ma	minha	DP1FSS	meu
porta	porta	NCFS000	porta
	.	Fp	.
recuzei	Recusei	VMIS1S0	recusar
a	a	DA0FS0	o
escolta	escolta	NCFS000	escolta
e	e	CC	e
dice	disse	VMIS3S0	dizer
o	o	DA0MS0	o
Clemte	Clemente	NP00000	clemente
q	que	CS	que
elle	ele	PP3MS000	ele
era	era	VSII0S0	ser
o	o	DA0MS0	o
Comde	Comandante	NP00000	comandante
do	do	SPS00+DA0MS0	de+o
Rm	Regimento	NP00000	regimento
e	e	CC	e
iria	iria	VMIC0S0	ir
comigo	comigo	SPS00+PP1CSO00	com+mim
	.	Fp	.
recuzei	Recusei	VMIS1S0	recusar
em	em	SPS00	em
suma	suma	X	X
	.	Fp	.
só	Só	RG	só
com	com	SPS00	com
órdem	ordem	NCFS000	ordem
pr	por	SPS00	por
escrito	escrito	NCMS000	escrito
de	de	SPS00	de
VSa	VSa	NP00000	VSa
disse	disse	VMIS3S0	dizer
q	que	CS	que
iria	iria	VMIC0S0	ir
	.	Fp	.
e	E	CC	e
elle	ele	PP3MS000	ele
	,	Fc	,
Major	Major	NP00000	major
	,	Fc	,
indo	indo	VMG0000	ir
pa	para	SPS00	para
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
quartel	quartel	NCMS000	quartel
	,	Fc	,
mandou	mandou	VMIS3S0	mandar
buscar	buscar	VMN0000	buscar
a	a	DA0FS0	o
ordem	ordem	NCFS000	ordem
plo	pelo	SPS00+DA0MS0	por+o
2o	Segundo	AO0MS0	segundo
Capm	Capitão	NP00000	capitão
depois	depois	RG	depois
de	de	SPS00	de
retirar	retirar	VMN0000	retirar
a	a	DA0FS0	o
escolta	escolta	NCFS000	escolta
	.	Fp	.
eu	Eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
certo	certo	AQ0MS0	certo
VSa	VSa	NP00000	VSa
não	não	RN	não
abuzaria	abusaria	VMIC0S0	abusar
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
autoridade	autoridade	NCFS000	autoridade
em	em	SPS00	em
detrimto	detrimento	NCMS000	detrimento
da	da	SPS00+DA0FS0	de+o
ma	minha	DP1FSS	meu
patente	patente	NCMS000	patente
com	com	SPS00	com
tal	tal	DD0CS0	tal
procedimto	procedimento	NCMS000	procedimento
	,	Fc	,
pr	por	SPS00	por
isso	isso	PD0NN000	isso
protesto	protesto	VMIP1S0	protestar
segdo	segundo	CS	segundo
