Illmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Dou	Dou	VMIP1S0	dar
parte	parte	NCFS000	parte
a	a	SPS00	a
VaSa	VSa	NP00000	VSa
que	que	CS	que
na	na	SPS00+DA0FS0	em+o
caza	casa	NCFS000	casa
que	que	PR0CN000	que
esta	está	VMIP3S0	estar
fixada	fechada	VMP00SF	fechar
na	na	SPS00+DA0FS0	em+o
Rua	Rua	NP00000	rua
de	de	SPS00	de
S	São	NP00000	são
Bernardo	Bernardo	NP00000	bernardo
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Anto	António	NP00000	antónio
Pinheiro	Pinheiro	NP00000	pinheiro
	,	Fc	,
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
prezo	preso	AQ0MSP	preso
	,	Fc	,
veio	veio	VMIS3S0	vir
hum	um	DI0MS0	um
endevido	indivíduo	NCMS000	indivíduo
porguntar	perguntar	VMN0000	perguntar
pela	pela	SPS00+DA0FS0	por+o
chave	chave	NCFS000	chave
a	à	SPS00+DA0FS0	a+o
senhoria	senhoria	NCFS000	senhoria
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
lhe	lhe	PP3CSD00	lhe
respondeo	respondeu	VMIS3S0	responder
q	que	CS	que
as	as	DA0FP0	o
chaves	chaves	NCFP000	chave
estavão	estavam	VMII3P0	estar
nas	nas	SPS00+DA0FP0	em+o
maos	mãos	NCFP000	mão
do	do	SPS00+DA0MS0	de+o
poder	poder	NCMS000	poder
do	do	SPS00+DA0MS0	de+o
Senhor	Senhor	NP00000	senhor
Emtendente	Intendente	NP00000	intendente
	.	Fp	.
e	E	CC	e
fazendo	fazendo	VMG0000	fazer
varias	várias	DI0FP0	vários
porguntas	perguntas	NCFP000	pergunta
e	e	CC	e
dezendo	dizendo	VMG0000	dizer
que	que	CS	que
hera	era	VSII0S0	ser
seu	seu	DP3MS0	seu
cunhado	cunhado	NCMS000	cunhado
	...	Fs	...
e	E	CC	e
porguntou	perguntou	VMIS3S0	perguntar
se	se	CSI	se
lhe	lhe	PP3CSD00	lhe
mexerião	mexeriam	VMIC3P0	mexer
a	a	DA0FS0	o
cama	cama	NCFS000	cama
	,	Fc	,
q	que	CS	que
	,	Fc	,
se	se	CS	se
lhe	lhe	PP3CSD00	lhe
mixerão	mexeram	VMIS3P0	mexer
	,	Fc	,
q	que	CS	que
ficavão	ficavam	VMII3P0	ficar
perdidos	perdidos	VMP00PM	perder
	.	Fp	.
e	E	CC	e
se	se	CS	se
lhe	lhe	PP3CSD00	lhe
lovarião	levariam	VMIC3P0	levar
o	o	DA0MS0	o
dinheiro	dinheiro	NCMS000	dinheiro
q	que	PR0CN000	que
la	lá	RG	lá
tinhão	tinham	VMII3P0	ter
	.	Fp	.
e	E	CC	e
senhoria	senhoria	NCFS000	senhoria
lhe	lhe	PP3CSD00	lhe
respondeo	respondeu	VMIS3S0	responder
q	que	CS	que
tinha	tinha	VAIP3S0	ter
lovado	levado	VMP0000	levar
o	o	DA0MS0	o
menistro	ministro	NCMS000	ministro
onze	onze	Z	onze
curzados	cruzados	NCMP000	cruzado
novos	novos	AQ0MP0	novo
	.	Fp	.
e	E	CC	e
suppte	suplicante	NCMS000	suplicante
respondeo	respondeu	VMIS3S0	responder
	:	Fp	:
	«	Fra	«
milhor	Melhor	RC	melhor
	!	Fa	!
	»	Frt	»
	.	Fp	.
i	E	CC	e
disto	disto	SPS00+PD0NN000	de+este
dei	dei	VMIS1S0	dar
parte	parte	NCFS000	parte
o	ao	SPS00+DA0MS0	a+o
menistro	ministro	NCMS000	ministro
e	e	CC	e
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
respondeo	respondeu	VMIS3S0	responder
q	que	CS	que
não	não	RN	não
vinha	vinha	VMII0S0	vir
ca	cá	RG	cá
sem	sem	SPS00	sem
hordem	ordem	NCFS000	ordem
de	de	SPS00	de
VaSa	VSa	NP00000	VSa
	.	Fp	.
he	É	VSIP3S0	ser
quanto	quanto	PR0CN000	quanto
poso	posso	VMIP1S0	poder
emformar	informar	VMN0000	informar
a	a	DA0FS0	o
VaSa	VSa	NP00000	VSa
	.	Fp	.
9	9	Z	9
de	de	SPS00	de
Maio	maio	NCMS000	maio
de	de	SPS00	de
1819	1819	Z	1819
Antonio	António	NP00000	antónio
Nunes	Nunes	NP00000	nunes
