Meu	Meu	DP1MSS	meu
amigo	amigo	NCMS000	amigo
	,	Fc	,
Hoje	hoje	RG	hoje
vem	vem	VMIP3S0	vir
de	de	SPS00	de
tarde	tarde	NCFS000	tarde
o	o	DA0MS0	o
Avizo	aviso	NCMS000	aviso
respeito	respeito	NCMS000	respeito
do	do	SPS00+DA0MS0	de+o
dinheiro	dinheiro	NCMS000	dinheiro
de	de	SPS00	de
papel	papel	NCMS000	papel
,	.	Fp	.
amanhã	Amanhã	RG	amanhã
vou	vou	VMIP1S0	ir
a	a	SPS00	a
receber	receber	VMN0000	receber
o	o	DA0MS0	o
dinheiro	dinheiro	NCMS000	dinheiro
à	à	SPS00+DA0FS0	a+o
Thezouraria	Tesouraria	NP00000	tesouraria
,	.	Fp	.
não	Não	RN	não
posso	posso	VMIP1S0	poder
agora	agora	RG	agora
hir lhe	ir-lhe	VMN0000+PP3CSD00	ir+lhe
fallar	falar	VMN0000	falar
pelo	pelo	SPS00+DA0MS0	por+o
grande	grande	AQ0CS0	grande
trabalho	trabalho	NCMS000	trabalho
q	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
,	,	Fc	,
mas	mas	CC	mais
aDeos	adeus	NCMS000	adeus
	,	Fc	,
athe	até	SPS00	até
amanhã	amanhã	RG	amanhã
–	.	Fp	.
Seu	Seu	DP3MS0	seu
amigo	amigo	NCMS000	amigo
e	e	CC	e
Venor	venerador	NCMS000	venerador
	,	Fc	,
Nicolau	Nicolau	NP00000	nicolau
Murta	Murta	NP00000	murta
19	19	Z	19
de	de	SPS00	de
Dezembro	dezembro	NCMS000	dezembro
1816	1816	Z	1816
