Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Intende Gel	Intendente-Geral	NP00000	intendente-geral
da	da	SPS00+DA0FS0	de+o
Policia	Polícia	NP00000	polícia
Constando	Constando	VMG0000	constar
achar-se	achar-se	VMN0000+P00CN000	achar+se
prezo	preso	AQ0MSP	preso
em	em	SPS00	em
hua	uma	DI0FS0	um
das	das	SPS00+DA0FP0	de+o
cadeas	cadeias	NCFP000	cadeia
do	do	SPS00+DA0MS0	de+o
Limoeiro	Limoeiro	NP00000	limoeiro
d'	de	SPS00	de
ordem	ordem	NCFS000	ordem
do	do	SPS00+DA0MS0	de+o
Dr	Doutor	NP00000	doutor
Juiz	Juiz	NP00000	juiz
do	do	SPS00+DA0MS0	de+o
Cre	Crime	NP00000	crime
do	do	SPS00+DA0MS0	de+o
Bo	Bairro	NP00000	bairro
d'	de	SPS00	de
Andaluz	Andaluz	NP00000	andaluz
por	por	SPS00	por
comissão	comissão	NCFS000	comissão
de	de	SPS00	de
VS	VSa	NP0S000	VSa
hum	um	DI0MS0	um
Patife	patife	NCMS000	patife
	,	Fc	,
por	por	SPS00	por
nome	nome	NCMS000	nome
Franco	Francisco	NP00000	francisco
Joze	José	NP00000	josé
Roiz	Rodrigues	NP00000	rodrigues
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
execrando	execrando	AQ0MS0	execrando
attentado	atentado	NCMS000	atentado
de	de	SPS00	de
proferir	proferir	VMN0000	proferir
blasfemia	blasfémia	NCFS000	blasfémia
contra	contra	SPS00	contra
a	a	DA0FS0	o
sagrada	sagrada	AQ0FS0	sagrado
e	e	CC	e
Augusta	augusta	AQ0FS0	augusto
Pessoa	pessoa	NCFS000	pessoa
do	do	SPS00+DA0MS0	de+o
mais	mais	RC	mais
bom	bom	AQ0MS0	bom
dos	dos	SPS00+DA0MP0	de+o
Reys	reis	NCMP000	rei
e	e	CC	e
mais	mais	DI0CN0	mais
fama	Família	NP00000	família
Real	Real	AQ0CS0	real
:	,	Fc	,
Dignese	digne-se	VMSP0S0+P00CN000	dignar+se
VS	VSa	NP0S000	VSa
mandar	mandar	VMN0000	mandar
juntar	juntar	VMN0000	juntar
