Illmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Dor	Doutor	NP00000	doutor
Coregedor	Corregedor	NP00000	corregedor
tive	Tive	VMIS1S0	ter
a	a	DA0FS0	o
notiçia	notícia	NCFS000	notícia
q	que	CS	que
Joaqm	Joaquim	NP00000	joaquim
Malva	Malva	NP00000	malva
tinha	tinha	VAIP3S0	ter
sido	sido	VSP0000	ser
prezo	preso	AQ0MSP	preso
em	em	SPS00	em
alturas	alturas	NCFP000	altura
de	de	SPS00	de
Pombal	Pombal	NP00000	pombal
	.	Fp	.
e	E	CC	e
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
verde	verdade	NCFS000	verdade
	,	Fc	,
Foi	foi	VSIS3S0	ser
serto	certo	NCMS000	certo
	,	Fc	,
porque	porque	CS	porque
Fui	fui	VMIS1S0	ir
de	de	SPS00	de
propozito	propósito	NCMS000	propósito
conheselo	conhecê-lo	VMN0000+PP3MSA00	conhecer+o
	,	Fc	,
onde	onde	PA000000	onde
depus	depus	VMIS1S0	depor
a	a	DA0FS0	o
verde	verdade	NCFS000	verdade
deante	diante	RG	diante
do	do	SPS00+DA0MS0	de+o
Dor	Doutor	NP00000	doutor
Juis de  Fora	juiz-de-fora	NCMS000	juiz-de-fora
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
roguei	roguei	VMIS1S0	rogar
	,	Fc	,
por	por	SPS00	por
Bem	bem	RG	bem
do	do	SPS00+DA0MS0	de+o
R	R.	NP00000	r
S	S.	NP00000	s
	,	Fc	,
O	o	PP3MSA00	o
ouvese	houvesse	VMSI0S0	haver
de	de	SPS00	de
remeter	remeter	VMN0000	remeter
as	às	SPS00+DA0FP0	a+o
cadeias	cadeias	NCFP000	cadeia
desa	dessa	SPS00+DD0FS0	de+esse
side	cidade	NCFS000	cidade
pa	para	SPS00	para
onde	onde	PA000000	onde
Vsa	VSa	NP0S000	VSa
o	o	PP3MSA00	o
dezejava	desejava	VMII0S0	desejar
ver	ver	VMN0000	ver
e	e	CC	e
o	o	PP3MSA00	o
tinha	tinha	VAIP3S0	ter
mandado	mandado	VMP0000	mandar
pedir	pedir	VMN0000	pedir
por	por	SPS00	por
mtas	muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
,	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
prometeo	prometeu	VMIS3S0	prometer
de	de	SPS00	de
o	o	PP3MSA00	o
mandar	mandar	VMN0000	mandar
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
q	que	CS	que
promro	primeiro	RG	primeiro
queria	queria	VMII0S0	querer
tirar	tirar	VMN0000	tirar
a	a	DA0FS0	o
devaça	devassa	NCFS000	devassa
,	.	Fp	.
quanto	Quanto	PA000000	quanto
aos	aos	SPS00+DA0MP0	a+o
mais	mais	PI0CN000	mais
	,	Fc	,
an	hão	VMIP3P0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
agarados	agarrados	VMP00PM	agarrar
ou	ou	CC	ou
mais	mais	RC	mais
tarde	tarde	RG	tarde
ou	ou	CC	ou
mais	mais	RC	mais
sedo	cedo	RG	cedo
	.	Fp	.
Anto	António	NP00000	antónio
vas	Vaz	NP00000	vaz
tem	tem	VAIP3S0	ter
istado	estado	VMP0000	estar
Na	na	SPS00+DA0FS0	em+o
portela	Portela	NP00000	portela
de	de	SPS00	de
coembra	Coimbra	NP00000	coimbra
e	e	CC	e
Foi	foi	VSIS3S0	ser
remetido	remetido	VMP00SM	remeter
pa	para	SPS00	para
o	o	DA0MS0	o
Porto	Porto	NP00000	porto
hoje	hoje	RG	hoje
	.	Fp	.
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
Vsa	VSa	NP0S000	VSa
mtos	muitos	DI0MP0	muito
as	anos	NCMP000	ano
	.	Fp	.
Pombal	Pombal	NP00000	pombal
-	,	Fc	,
11	11	Z	11
de	de	SPS00	de
Maio	maio	NCMS000	maio
de	de	SPS00	de
1824	1824	Z	1824
	.	Fp	.
Franco	Francisco	NP00000	francisco
Simois	Simões	NP00000	simões
Pessoa	Pessoa	NCFS000	pessoa
Alfers	Alferes	NCMS000	alferes
emcaregado	encarregado	VMP00SM	encarregar
da	da	SPS00+DA0FS0	de+o
da	dita	VMP00SF	dizer
