Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Intendente Geral	Intendente-geral	NP00000	intendente-geral
da	da	SPS00+DA0FS0	de+o
Pa	Polícia	NP00000	polícia
Parteçipa	Participa	VMIP3S0	participar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
Manoel	Manuel	NP00000	manuel
Anto	António	NP00000	antónio
e	e	CC	e
Mello	Melo	NP00000	melo
que	que	CS	que
á	à	SPS00+DA0FS0	a+o
entrada	entrada	NCFS000	entrada
da	da	SPS00+DA0FS0	de+o
rua	rua	NCFS000	rua
dos	dos	SPS00+DA0MP0	de+o
Cavaleiros	Cavaleiros	NP00000	cavaleiros
	,	Fc	,
chamado	chamado	VMP00SM	chamar
o	o	DA0MS0	o
Patio	pátio	NCMS000	pátio
dos	dos	SPS00+DA0MP0	de+o
Sueiros	Soeiros	NCMP000	soeiro
	,	Fc	,
mora	mora	VMIP3S0	morar
hum	um	DI0MS0	um
sugeito	sujeito	NCMS000	sujeito
chamado	chamado	VMP00SM	chamar
Franco	Francisco	NP00000	francisco
de	de	SPS00	de
Mesquita	Mesquita	NP00000	mesquita
que	que	PR0CN000	que
handa	anda	VMIP3S0	andar
dizendo	dizendo	VMG0000	dizer
que	que	CS	que
jamais	jamais	RG	jamais
deixará	deixará	VMIF3S0	deixar
de	de	SPS00	de
seguir	seguir	VMN0000	seguir
o	o	DA0MS0	o
sistema	sistema	NCMS000	sistema
da	da	SPS00+DA0FS0	de+o
Constituição	Constituição	NP00000	constituição
	,	Fc	,
e	e	CC	e
	,	Fc	,
ó	ao	SPS00+DA0MS0	a+o
mesmo	mesmo	AQ0MS0	mesmo
tempo	tempo	NCMS000	tempo
	,	Fc	,
dizendo	dizendo	VMG0000	dizer
mto	muito	RQ	muito
mal	mal	RG	mal
do	do	SPS00+DA0MS0	de+o
Rei	Rei	NP00000	rei
e	e	CC	e
de	de	SPS00	de
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
familia	família	NCFS000	família
real	real	AQ0CS0	real
	.	Fp	.
e	E	CC	e
afinal	afinal	NCMS000	afinal
athé	até	SPS00	até
dis	diz	VMIP3S0	dizer
que	que	CS	que
o	o	DA0MS0	o
lugar	lugar	NCMS000	lugar
que	que	PR0CN000	que
VSa	VSa	NP00000	VSa
está	está	VMIP3S0	estar
servindo	servindo	VMG0000	servir
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
pertençia	pertencia	VMII0S0	pertencer
nem	nem	CCN	nem
lhe	lhe	PP3CSD00	lhe
deve	deve	VMIP3S0	dever
pertençer	pertencer	VMN0000	pertencer
porque	porque	CS	porque
não	não	RN	não
tem	tem	VMIP3S0	ter
mereçimentos	merecimentos	NCMP000	merecimento
para	para	SPS00	para
isso	isso	PD0NN000	isso
	.	Fp	.
logo	Logo	RG	logo
	,	Fc	,
portanto	portanto	CC	portanto
	,	Fc	,
avizo	aviso	VMIP1S0	avisar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
para	para	SPS00	para
que	que	CS	que
detremine	determine	VMSP0S0	determinar
o	o	DA0MS0	o
que	que	PR0CN000	que
milhor	melhor	RC	melhor
lhe	lhe	PP3CSD00	lhe
pareçer	parecer	VMN0000	parecer
;	.	Fp	.
de	De	SPS00	de
VSa	VSa	NP00000	VSa
o	o	DA0MS0	o
mais	mais	RC	mais
sinçero	sincero	AQ0MS0	sincero
criado	criado	NCMS000	criado
	,	Fc	,
Manoel	Manuel	NP00000	manuel
Anto	António	NP00000	antónio
de	de	SPS00	de
Mello	Melo	NP00000	melo
