Illmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
João	João	NP00000	joão
Gualberto	Gualberto	NP00000	Gualberto
de	de	SPS00	de
Alburq	Albuquerque	NP00000	albuquerque
Meu	Meu	DP1MSS	meu
Compe	compadre	NCMS000	compadre
e	e	CC	e
Amo	amigo	NCMS000	amigo
	,	Fc	,
vai	vai	VMIP3S0	ir
esse	esse	DD0MS0	esse
portador	portador	NCMS000	portador
pa	para	SPS00	para
Vmce	VM	NP00000	VM
me	me	PP1CS000	me
mandar	mandar	VMN0000	mandar
hum	um	DI0MS0	um
mandado	mandado	NCMS000	mandado
	,	Fc	,
cujo	cujo	PR0CN000	cujo
ha	há	VMIP3S0	haver
de	de	SPS00	de
vir	vir	VMN0000	vir
em	em	SPS00	em
nome	nome	NCMS000	nome
de	de	SPS00	de
meu	meu	DP1MSS	meu
Compe	compadre	NCMS000	compadre
Manoel	Manuel	NP00000	manuel
Travaco	Travaço	NP00000	Travaço
Sarinho	Sarinho	NP00000	Sarinho
,	.	Fp	.
eu	Eu	PP1CSN00	eu
me	me	PP1CS000	me
esplico	explico	VMIP1S0	explicar
melhor	melhor	RC	melhor
.	.	Fp	.
Manoel	Manuel	NP00000	manuel
Travaço	Travaço	NP00000	Travaço
Sarinho	Sarinho	NP00000	Sarinho
comprou	comprou	VMIS3S0	comprar
hũa	uma	DI0FS0	um
propriedade	propriedade	NCFS000	propriedade
chamada	chamada	VMP00SF	chamar
Ginipapo	Ginipapo	NP00000	Ginipapo
	,	Fc	,
a	a	SPS00	a
ql	qual	PR0CN000	qual
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
demarcada	demarcada	VMP00SF	demarcar
judicialmte	judicialmente	RG	judicialmente
	.	Fp	.
e	E	CC	e
como	como	CS	como
tem	tem	VMIP3S0	ter
dentro	dentro	RG	dentro
da	da	SPS00+DA0FS0	de+o
propriedade	propriedade	NCFS000	propriedade
alguns	alguns	DI0MP0	algum
foreiros	foreiros	NCMP000	foreiro
que	que	PR0CN000	que
elle	ele	PP3MS000	ele
senhor	senhor	NP00000	senhor
e	e	CC	e
posuidor	posuidor	VMN0000	posuidor
os	os	DA0MP0	o
não	não	RN	não
qr	quer	VMIP3S0	querer
dentro	dentro	RG	dentro
	,	Fc	,
de	de	SPS00	de
cujos	cujos	DT0MP0	cujo
foreiros	foreiros	NCMP000	foreiro
remetto	remeto	VMIP1S0	remeter
os	os	DA0MP0	o
nomes	nomes	NCMP000	nome
pa	para	SPS00	para
Vmce	VM	NP00000	VM
poder	poder	VMN0000	poder
requerer	requerer	VMN0000	requerer
mandado	mandado	NCMS000	mandado
ou	ou	CC	ou
mandados	mandados	NCMP000	mandado
de	de	SPS00	de
despejo	despejo	NCMS000	despejo
em	em	SPS00	em
continente	continente	NCMS000	continente
	.	Fp	.
e	E	CC	e
no	no	SPS00+DA0MS0	em+o
cazo	caso	NCMS000	caso
de	de	SPS00	de
não	não	RN	não
quererem	quererem	VMII3P0	querer
sahir	sair	VMN0000	sair
	,	Fc	,
ser	ser	VSN0000	ser
Lancado	lançado	VMP0000	lançar
por	por	SPS00	por
terra	terra	NCFS000	terra
os	os	DA0MP0	o
mucambos	mocambos	NCMP000	mocambo
dos	dos	SPS00+DA0MP0	de+o
ditos	ditos	VMP00PM	dizer
foreiros	foreiros	NCMP000	foreiro
,	.	Fp	.
emfim	Enfim	RG	enfim
	,	Fc	,
o	o	DA0MS0	o
melhor	melhor	RC	melhor
q	que	CS	que
poder	puder	VMSF0S0	poder
ser	ser	VSN0000	ser
,	.	Fp	.
o	O	DA0MS0	o
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
quero	quero	VMIP1S0	querer
he	é	VSIP3S0	ser
q	que	CS	que
venha	venha	VMSP0S0	vir
tudo	tudo	PI0NN000	tudo
bem	bem	RG	bem
feito	feito	VMP00SM	fazer
pois	pois	CS	pois
tenho	tenho	VMIP1S0	ter
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
empenho	empenho	NCMS000	empenho
de	de	SPS00	de
q	que	CS	que
o	o	DA0MS0	o
do	dito	NCMS000	o
meu	meu	DP1MSS	meu
Compe	compadre	NCMS000	compadre
Manoel	Manuel	NP00000	manuel
Travaço	Travaço	NP00000	Travaço
Sarinho	Sarinho	NP00000	Sarinho
fique	fique	VMSP0S0	ficar
bem	bem	RG	bem
servido	servido	VMP00SM	servir
,	.	Fp	.
e	E	CC	e
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
despeza	despesa	NCFS000	despesa
	,	Fc	,
qdo	quando	CS	quando
eu	eu	PP1CSN00	eu
for	for	VMSF0S0	ir
,	,	Fc	,
satisfarei	satisfarei	VMIF1S0	satisfazer
promptamte	prontamente	RG	prontamente
	.	Fp	.
mandeme	Mande-me	VMSP0S0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
o	o	DA0MS0	o
estado	estado	NCMS000	estado
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
cauza	causa	NCFS000	causa
.	.	Fp	.
Logre	Logre	VMSP0S0	lograr
saude	saúde	NCFS000	saúde
e	e	CC	e
felecides	felicidades	NCFP000	felicidade
	.	Fp	.
e	E	CC	e
sou	sou	VSIP1S0	ser
	...	Fc	...
De	De	SPS00	de
Vmce	VM	NP00000	VM
Compe	compadre	NCMS000	compadre
Amo	amigo	NCMS000	amigo
	,	Fc	,
Bom Jardim	Bom Jardim	NP00000	bom Jardim
	,	Fc	,
18	18	Z	18
de	de	SPS00	de
Maio	maio	NCMS000	maio
1821	1821	Z	1821
	,	Fc	,
Manoel	Manuel	NP00000	manuel
Ferra	Ferreira	NP00000	ferreira
da	da	SPS00+DA0FS0	de+o
Sa	Silva	NP00000	silva
Coutto	Couto	NP00000	couto
