Illmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Intendente	Intendente	NP00000	intendente
Geral	Geral	NP00000	geral
da	da	SPS00+DA0FS0	de+o
Policia	Polícia	NP00000	polícia
Os	Os	DA0MP0	o
desejos	desejos	NCMP000	desejo
que	que	PR0CN000	que
V Sa	VSa	NP00000	VSa
tem	tem	VAIP3S0	ter
feito	feito	VMP0000	fazer
bem	bem	RG	bem
patentes	patentes	AQ0MP0	patente
de	de	SPS00	de
manter	manter	VMN0000	manter
a	a	DA0FS0	o
segurança	segurança	NCFS000	segurança
e	e	CC	e
tranquilidade	tranquilidade	NCFS000	tranquilidade
dos	dos	SPS00+DA0MP0	de+o
habitantes	habitantes	NCMP000	habitante
desta	desta	SPS00+DD0FS0	de+este
capital	capital	NCFS000	capital
são	são	VSIP3P0	ser
os	os	DA0MP0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
obrigão	obrigam	VMIP3P0	obrigar
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
sciente	ciente	AQ0CS0	ciente
o	o	DA0MS0	o
seguinte	seguinte	AQ0CS0	seguinte
acontecimento	acontecimento	NCMS000	acontecimento
:	.	Fp	.
Acha-se	Acha-se	VMIP3S0+P00CN000	achar+se
prezo	preso	AQ0MSP	preso
na	na	SPS00+DA0FS0	em+o
Cadeia	Cadeia	NP00000	cadeia
do	do	SPS00+DA0MS0	de+o
Castello	Castelo	NP00000	castelo
o	o	DA0MS0	o
Dor	Doutor	NP00000	doutor
Joze	José	NP00000	josé
da	da	SPS00+DA0FS0	de+o
Cruz	Cruz	NP00000	cruz
Xavier	Xavier	NP00000	xavier
	,	Fc	,
Secretário	Secretário	NP00000	secretário
da	da	SPS00+DA0FS0	de+o
Real	Real	NP00000	real
Junta	Junta	NP00000	junta
da	da	SPS00+DA0FS0	de+o
Fazenda	Fazenda	NP00000	fazenda
dos	dos	SPS00+DA0MP0	de+o
Arsenaes	Arsenais	NP00000	arsenais
do	do	SPS00+DA0MS0	de+o
Exercito	Exército	NP00000	exército
;	.	Fp	.
sua	Sua	DP3FS0	seu
fama	família	NCFS000	família
	,	Fc	,
alem	além	RG	além
dos	dos	SPS00+DA0MP0	de+o
disgostos	desgostos	NCMP000	desgosto
que	que	PR0CN000	que
por	por	SPS00	por
este	este	DD0MS0	este
motivo	motivo	NCMS000	motivo
tem	tem	VAIP3S0	ter
soffrido	sofrido	VMP0000	sofrer
,	,	Fc	,
