Meu	Meu	DP1MSS	meu
querido	querido	VMP00SM	querer
Imo	Ilustríssimo	AQSMS0	ilustre
Estimo	Estimo	VMIP1S0	estimar
q	que	CS	que
Vme	VM	NP00000	VM
pase	passe	VMSP0S0	passar
bem	bem	RG	bem
	,	Fc	,
egualmt	igualmente	RG	igualmente
todos	todos	DI0MP0	todo
hus	os	DA0MP0	o
seus	seus	DP3MP0	seu
camaradas	camaradas	NCMP000	camarada
	.	Fp	.
Snr	Senhor	NP00000	senhor
Frco	Francisco	NP00000	francisco
	,	Fc	,
pur	por	SPS00	por
me	me	PP1CS000	me
cunstar	constar	VMN0000	constar
q	que	CS	que
Vme	VM	NP00000	VM
he	é	VSIP3S0	ser
mto	muito	RQ	muito
Rialista	realista	AQ0CS0	realista
	,	Fc	,
por	por	SPS00	por
iso	isso	PD0NN000	isso
lhe	lhe	PP3CSD00	lhe
participo	participo	VMIP1S0	participar
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
providencias	providências	NCFP000	providência
q	que	PR0CN000	que
se	se	P00CN000	se
estam	estão	VMIP3P0	estar
fazendo	fazendo	VMG0000	fazer
e	e	CC	e
dando	dando	VMG0000	dar
Em	em	SPS00	em
portugal	Portugal	NP00000	portugal
e	e	CC	e
hispanha	Espanha	NP00000	espanha
.	.	Fp	.
espero	Espero	VMIP1S0	esperar
q	que	CS	que
Vme	VM	NP00000	VM
me	me	PP1CS000	me
afianç	afiance	VMSP0S0	afiançar
todos	todos	DI0MP0	todo
hus	os	DA0MP0	o
assuntos	assuntos	NCMP000	assunto
de	de	SPS00	de
S	Sua	DP3FS0	seu
M	Majestade	NCFS000	majestade
ElReỹ	El-Rei	NP00000	el-rei
o	o	DA0MS0	o
Senhor	Senhor	NP00000	senhor
Dom	Dom	NP00000	dom
Miguel	Miguel	NP00000	miguel
1º	Primeiro	AO0MP0	primeiro
	,	Fc	,
q	que	CS	que
seus	seus	DP3MP0	seu
altos	altos	AQ0MP0	alto
serviços	serviços	NCMP000	serviço
serão	serão	VSIF3P0	ser
atendidos	atendidos	VMP00PM	atender
sigundo	segundo	SPS00	segundo
o	o	DA0MS0	o
seo	seu	DP3MS0	seu
merçimento	merecimento	NCMS000	merecimento
	,	Fc	,
asim	assim	RG	assim
dos	dos	SPS00+DA0MP0	de+o
justos	justos	NCMP000	justo
emmediatos	imediatos	AQ0MP0	imediato
	,	Fc	,
e	e	CC	e
dahi	daí	SPS00+RG	de+aí
podem	podem	VMIP3P0	poder
comtar	contar	VMN0000	contar
desde	desde	SPS00	desde
logo	logo	RG	logo
	.	Fp	.
outroasim	Outrossim	RG	outrossim
afiançara	afiançará	VMIF3S0	afiançar
aos	aos	SPS00+DA0MP0	a+o
soldados	soldados	NCMP000	soldado
q	que	CS	que
cada	cada	DI0CN0	cada
hum	um	DI0MS0	um
delles	deles	SPS00+PP3MP000	de+ele
q	que	CS	que
cada	cada	DI0CN0	cada
hum	um	DI0MS0	um
deles	deles	SPS00+PP3MP000	de+ele
recebera	receberá	VMIF3S0	receber
Meỹa	meia	AQ0FS0	mau
moeda	moeda	NCFS000	moeda
	,	Fc	,
2400	2400	Z	2400
r	réis	NCMP000	réis
de	de	SPS00	de
gratificaçam	gratificação	NCFS000	gratificação
	,	Fc	,
suas	suas	DP3FP0	seu
etaipas	etapas	NCFP000	etapa
e	e	CC	e
hu	o	DA0MS0	o
pre	pré	NCMS000	pré
de	de	SPS00	de
seis	seis	Z	seis
ventemis	vinténs	NCMP000	vintém
En	em	SPS00	em
dia	dia	NCMS000	dia
	.	Fp	.
e	E	CC	e
hispero	espero	VMIP1S0	esperar
q	que	CS	que
Vme	VM	NP00000	VM
faça	faça	VMSP0S0	fazer
de	de	SPS00	de
sua	sua	DP3FS0	seu
parte	parte	NCFS000	parte
q	que	PR0CN000	que
esteigão	estejam	VMIP3P0	estar
hus	os	DA0MP0	o
soldados	soldados	NCMP000	soldado
q	que	PR0CN000	que
hai	aí	RG	aí
estiverem	estiverem	VMSF3P0	estar
destacados	destacados	VMP00PM	destacar
pa	para	SPS00	para
se	se	CS	se
alCamar	aclamar	VMN0000	aclamar
o	o	DA0MS0	o
Snr	Senhor	NP00000	senhor
D	Dom	NP00000	dom
Miguel	Miguel	NP00000	miguel
1º	Primeiro	AO0MP0	primeiro
Em	em	SPS00	em
u	o	DA0MS0	o
dia	dia	NCMS000	dia
de	de	SPS00	de
domingo	domingo	NCMS000	domingo
	.	Fp	.
ỹ	E	CC	e
cuando	quando	CS	quando
não	não	RN	não
posa	possa	VMSP0S0	poder
ser	ser	VSN0000	ser
domingo	domingo	NCMS000	domingo
	,	Fc	,
me	me	PP1CS000	me
mandara	mandará	VMIF3S0	mandar
dizer	dizer	VMN0000	dizer
coando	quando	CS	quando
podra	poderá	VMIF3S0	poder
ser	ser	VSN0000	ser
	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
respondera	responderá	VMIF3S0	responder
da	da	SPS00+DA0FS0	de+o
mesma	mesma	AQ0FS0	mesmo
forma	forma	NCFS000	forma
	,	Fc	,
sem	sem	SPS00	sem
falta	falta	NCFS000	falta
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
mesmo	mesmo	AQ0MS0	mesmo
purcredor	procurador	NCMS000	procurador
	,	Fc	,
pois	pois	CS	pois
lhe	lhe	PP3CSD00	lhe
purmetemos	prometemos	VMIP1P0	prometer
a	a	SPS00	a
Vme	VM	NP00000	VM
q	que	CS	que
logo	logo	RG	logo
seiga	seja	VSSP0S0	ser
Nomiado	nomeado	VMP00SM	nomear
de	de	SPS00	de
alferes	alferes	NCCN000	alferes
	.	Fp	.
e	E	CC	e
logo	logo	RG	logo
q	que	CS	que
se	se	P00CN000	se
aclame	aclame	VMSP0S0	aclamar
	,	Fc	,
se	se	P00CN000	se
vai	vai	VMIP3S0	ir
ahi	aí	RG	aí
fazer	fazer	VMN0000	fazer
pagamento	pagamento	NCMS000	pagamento
e	e	CC	e
soldos	soldos	NCMP000	soldo
atrazados	atrasados	VMP00PM	atrasar
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
deverem	deverem	VMSF3P0	dever
heses	esses	DD0MP0	esse
seus	seus	DP3MP0	seu
comendadores	comendadores	NCMP000	comendador
	.	Fp	.
e	E	CC	e
dara	dará	VMIF3S0	dar
Vme	VM	NP00000	VM
parte	parte	NCFS000	parte
a	a	SPS00	a
hum	um	DI0MS0	um
tenente	tenente	NCMS000	tenente
q	que	PR0CN000	que
ahi	aí	RG	aí
esta	está	VMIP3S0	estar
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
Batalhão	batalhão	NCMS000	batalhão
q	que	PR0CN000	que
he	é	VSIP3S0	ser
munto	muito	RQ	muito
Rialista	realista	AQ0CS0	realista
	.	Fp	.
lhe	Lhe	PP3CSD00	lhe
mustrara	mostrará	VMIF3S0	mostrar
da	da	SPS00+DA0FS0	de+o
mesma	mesma	AQ0FS0	mesmo
forma	forma	NCFS000	forma
hus	os	DA0MP0	o
papeis	papéis	NCMP000	papel
	,	Fc	,
pois	pois	CS	pois
