Illmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Mel	Manuel	NP00000	manuel
Joze	José	NP00000	josé
Rebello	Rebelo	NP00000	rebelo
PaSando	Passando	VMG0000	passar
eu	eu	PP1CSN00	eu
neSa	nessa	SPS00+DD0FS0	em+esse
Villa	vila	NCFS000	vila
o	o	DA0MS0	o
dia	dia	NCMS000	dia
30	30	Z	30
de	de	SPS00	de
Abril	abril	NCMS000	abril
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
qui	quis	VMIS3S0	querer
falar	falar	VMN0000	falar
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
como	como	CS	como
na	na	SPS00+DA0FS0	em+o
ma	minha	PX1FS0S0	meu
compa	companhia	NCFS000	companhia
hiã	iam	VMII3P0	ir
peSoas	pessoas	NCFP000	pessoa
Suas	suas	DP3FP0	seu
Conhecidas	conhecidas	VMP00PF	conhecer
q	que	CS	que
não	não	RN	não
Convinha	convinha	VMII0S0	convir
falar  lhe	falar-lhe	VMN0000+PP3CSD00	falar+lhe
Diante	diante	RG	diante
delles	deles	SPS00+PP3MP000	de+ele
	,	Fc	,
paSei	passei	VMIS1S0	passar
aDiante	adiante	RG	adiante
	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
acho	acho	VMIP1S0	achar
nesta	nesta	SPS00+DD0FS0	em+este
Cide	cidade	NCFS000	cidade
de	de	SPS00	de
Lamego	Lamego	NP00000	lamego
	,	Fc	,
aonde	onde	PA000000	onde
Recebi	recebi	VMIS1S0	receber
aVizo	aviso	NCMS000	aviso
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
Camarada	camarada	NCCS000	camarada
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
mto	muito	RQ	muito
estimava	estimava	VMII0S0	estimar
q	que	PR0CN000	que
Se	se	P00CN000	se
acha	acha	VMIP3S0	achar
prezo	preso	VMP00SM	preso
no	no	SPS00+DA0MS0	em+o
Limoeiro	Limoeiro	NP00000	limoeiro
	.	Fp	.
elle	Ele	PP3MS000	ele
me	me	PP1CS000	me
aViza	avisa	VMIP3S0	avisar
de	de	SPS00	de
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
