Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Muito	Muito	RQ	muito
sou	sou	VSN0000	ser
obrigada	obrigada	VMP00SF	obrigar
a	a	SPS00	a
vsa	VSa	NP00000	VSa
pelo	pelo	SPS00+DA0MS0	por+o
mto	muito	NCMS000	muito
q	que	PR0CN000	que
le	lhe	PP3CSD00	lhe
deve	deve	VMIP3S0	dever
pesoa	pessoa	NCFS000	pessoa
qm	quem	PR0CN000	quem
pertence	pertence	VMIP3S0	pertencer
	.	Fp	.
avizo	Aviso	VMIP1S0	avisar
a	a	SPS00	a
vsa	VSa	NP00000	VSa
q	que	CS	que
na	na	SPS00+DA0FS0	em+o
sala	Sala	NP00000	sala
se	se	CS	se
trata	trata	VMIP3S0	tratar
de	de	SPS00	de
couza	coisa	NCFS000	coisa
pa	para	SPS00	para
emtrigar	intrigar	VMN0000	intrigar
	,	Fc	,
aruinar	arruinar	VMN0000	arruinar
a	a	SPS00	a
vsa	VSa	NP00000	VSa
	.	Fp	.
e	E	CC	e
são	são	VSIP3P0	ser
os	os	DA0MP0	o
q	que	PR0CN000	que
tem	tem	VMIP3S0	ter
dado	dado	VMP0000	dar
as	as	DA0FP0	o
maos	mãos	NCFP000	mão
para	para	SPS00	para
iço	isso	PD0NN000	isso
o	o	DA0MS0	o
Venancio	Venâncio	NP00000	venâncio
	,	Fc	,
o	o	DA0MS0	o
Cravalho	Carvalho	NP00000	carvalho
de	de	SPS00	de
vinte	Vinte	Z	vinte
dois	Dois	Z	dois
	,	Fc	,
Cardozo	Cardoso	NP00000	cardoso
de	de	SPS00	de
Casadores	Caçadores	NP00000	caçadores
	,	Fc	,
o	o	DA0MS0	o
Caldeira	Caldeira	NP00000	caldeira
	,	Fc	,
o	o	DA0MS0	o
Silva	Silva	NP00000	silva
dezaseis	Dezasseis	Z	dezasseis
e	e	CC	e
o	o	DA0MS0	o
Costa	Costa	NP00000	costa
de	de	SPS00	de
Casadores	Caçadores	NP00000	caçadores
	.	Fp	.
eu	Eu	PP1CSN00	eu
mesmo	mesmo	RG	mesmo
le	lhe	PP3CSD00	lhe
houvi	ouvi	VMIS1S0	ouvir
dizer	dizer	VMN0000	dizer
	:	Fp	:
	«	Fra	«
gastese	Gaste-se	VMSP0S0+P00CN000	gastar+se
o	o	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
gastar	gastar	VMN0000	gastar
	,	Fc	,
nos	nós	PP1CP000	nós
havemos	havemos	VMIP1P0	haver
livrarnos	livrar-nos	VMIP1P0	haver
deste	deste	SPS00+DD0MS0	de+este
trigre	tigre	NCMS000	tigre
e	e	CC	e
deposta	déspota	NCFS000	déspota
	,	Fc	,
fraidador	fraudador	NCMS000	fraudador
do	do	SPS00+DA0MS0	de+o
genoro	género	NCMS000	género
humano	humano	AQ0MS0	humano
	,	Fc	,
e	e	CC	e
defender	defender	VMN0000	defender
os	os	DA0MP0	o
nossos	nossos	DP1MPP	nosso
