Illmo	Ilustríssimo	AQSMS0	ilustre
Joze	José	NP00000	josé
Xavier	Xavier	NP00000	xavier
me	me	PP1CS000	me
pede	pede	VMIP3S0	pedir
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
escreva	escreva	VMSP0S0	escrever
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
diga	diga	VMSP0S0	dizer
q	que	CS	que
tudo	tudo	PI0NN000	tudo
aqui	aqui	RG	aqui
esta	está	VMIP3S0	estar
soçigado	sossegado	VMP00SM	sossegar
,	,	Fc	,
mas	mas	CC	mas
,	,	Fc	,
meu	meu	DP1MSS	meu
Amo	amigo	NCMS000	amigo
,	,	Fc	,
para	para	SPS00	para
isto	isto	PD0NN000	isto
chegar	chegar	VMN0000	chegar
o	ao	SPS00+DA0MS0	a+o
estado	estado	NCMS000	estado
em	em	SPS00	em
q	que	PR0CN000	que
está	está	VMIP3S0	estar
,	,	Fc	,
q	que	CS	que
sustos	sustos	NCMP000	susto
,	,	Fc	,
q	que	CS	que
lagrimas	lágrimas	NCFP000	lágrima
e	e	CC	e
q	que	CS	que
disgostos	desgostos	NCMP000	desgosto
nós	nós	PP1CP000	nós
tivemos	tivemos	VMIS1P0	ter
!	!	Fa	!
o	O	DA0MS0	o
Infante	Infante	NP00000	infante
fogio	fugiu	VMIS3S0	fugir
,	,	Fc	,
como	como	CS	como
sabe	sabe	VMIP3S0	saber
,	,	Fc	,
e	e	CC	e
apos	após	SPS00	após
delle	dele	SPS00+PP3MS000	de+ele
foi	foi	VMIS3S0	ir
hindo	indo	VMG0000	ir
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
tropa	tropa	NCFS000	tropa
.	.	Fp	.
outro	Outro	PI0MS000	outro
tanto	tanto	DI0MS0	tanto
fes	fez	VMIS3S0	fazer
o	o	DA0MS0	o
Rei	Rei	NP00000	rei
e	e	CC	e
nós	nós	PP1CP000	nós
ficamos	ficamos	VMIP1P0	ficar
sem	sem	SPS00	sem
tropa	tropa	NCFS000	tropa
sem	sem	SPS00	sem
Rei	Rei	NP00000	rei
e	e	CC	e
sem	sem	SPS00	sem
Governo	governo	NCMS000	governo
:	.	Fd	:
estiverão	Estiveram	VMIS3P0	estar
os	os	DA0MP0	o
prezos	presos	NCMP000	preso
do	do	SPS00+DA0MS0	de+o
Castello	Castelo	NP00000	castelo
proximos	próximos	AQ0MP0	próximo
a	a	SPS00	a
sahir	sair	VMN0000	sair
e	e	CC	e
os	os	DA0MP0	o
