Illmo	Ilustríssimo	AQSMS0	ilustre
e	e	CC	e
Bom	bom	AQ0MS0	bom
Amigo	amigo	NCMS000	amigo
	,	Fc	,
recebi	recebi	VMIS1S0	receber
a	a	DA0FS0	o
relação	relação	NCFS000	relação
das	das	SPS00+DA0FP0	de+o
Comtas	contas	NCFP000	conta
i	e	CC	e
a	a	DA0FS0	o
ultima	última	AO0FS0	último
Carta	carta	NCFS000	carta
em	em	SPS00	em
q	que	PR0CN000	que
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
tem	tem	VMIP3S0	ter
desconfiança	desconfiança	NCFS000	desconfiança
	.	Fp	.
vem	Vem	VMIP3S0	vir
a	a	SPS00	a
Elvas	Elvas	NP00000	elvas
e	e	CC	e
na	na	SPS00+DA0FS0	em+o
passage	passagem	NCFS000	passagem
o	o	PP3MSA00	o
espero	espero	VMIP1S0	esperar
em	em	SPS00	em
ma	minha	DP1FSS	meu
casa	casa	NCFS000	casa
	,	Fc	,
aonde	onde	PA000000	onde
tera	terá	VMIF3S0	ter
seu	seu	DP3MS0	seu
Quartel	quartel	NCMS000	quartel
i	e	CC	e
os	os	DA0MP0	o
braços	braços	NCMP000	braço
abertos	abertos	VMP00PM	abrir
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
Amigo	amigo	NCMS000	amigo
pa	para	SPS00	para
o	o	PP3MSA00	o
receber	receber	VMN0000	receber
.	.	Fp	.
Estimo	Estimo	VMIP1S0	estimar
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
boas	boas	AQ0FP0	bom
notiçias	notícias	NCFP000	notícia
e	e	CC	e
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
qto	quanto	PR0CN000	quanto
lhe	lhe	PP3CSD00	lhe
pertence	pertence	VMIP3S0	pertencer
e	e	CC	e
a	a	SPS00	a
todos	todos	DI0MP0	todo
V	vossos	DP2MPP	vosso
Sos	subordinados	NCMP000	subordinado
	.	Fp	.
as	As	DA0FP0	o
boas	Boas	AQ0FP0	bom
festas	Festas	NCFP000	festa
	,	Fc	,
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
deso	desejo	VMIP1S0	desejar
tam	tão	RC	tão
felizes	felizes	AQ0CP0	feliz
como	como	CS	como
pa	para	SPS00	para
mim	mim	PP1CSO00	mim
.	.	Fp	.
Sou	Sou	VSIP1S0	ser
seu	seu	DP3MS0	seu
	...	Fs	...
Amigo	amigo	NCMS000	amigo
Verdeiro	verdadeiro	AQ0MS0	verdadeiro
	.	Fp	.
Estremoz	Estremoz	NP00000	estremoz
	,	Fc	,
5	5	Z	5
de	de	SPS00	de
Abril	abril	NCMS000	abril
de	de	SPS00	de
1833	1833	Z	1833
