Ilmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Fallarei	Falarei	VMIF1S0	falar
ao	ao	SPS00+DA0MS0	a+o
Quintella	Quintela	NP00000	quintela
e	e	CC	e
darei	darei	VMIF1S0	dar
parte	parte	NCFS000	parte
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
se	se	P00CN000	se
decidir	decidir	VMN0000	decidir
:	.	Fp	.
veja	Veja	VMSP0S0	ver
se	se	CSI	se
preciza	precisa	VMIP3S0	precisar
alguma	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
ou	ou	CC	ou
se	se	CSI	se
quer	quer	VMIP3S0	querer
que	que	CS	que
la	lá	RG	lá
vá	vá	VMSP0S0	ir
o	o	DA0MS0	o
José	José	NP00000	josé
.	.	Fp	.
De	De	SPS00	de
VSa	VSa	NP0S000	VSa
Cro	criado	NCMS000	criado
	,	Fc	,
Miranda	Miranda	NP00000	miranda
